pptname;invariant;invariantType;variables;tp;fp;enter;bug
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::ENTER;All the elements of input.hotelIds[] have LENGTH=8;daikon.inv.unary.stringsequence.SequenceFixedLengthString;(input.hotelIds[..]);0;0;1;0
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::ENTER;"input.checkInDate one of { ""2022-09-20"", ""2022-09-21"", ""2022-09-22"" }";daikon.inv.unary.string.OneOfString;(input.checkInDate);0;0;1;0
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::ENTER;input.checkInDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(input.checkInDate);0;0;1;0
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::ENTER;input.checkOutDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(input.checkOutDate);0;0;1;0
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::ENTER;"input.countryOfResidence one of { ""CL"", ""GB"", ""NZ"" }";daikon.inv.unary.string.OneOfString;(input.countryOfResidence);0;0;1;0
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::ENTER;LENGTH(input.countryOfResidence)==2;daikon.inv.unary.string.FixedLengthString;(input.countryOfResidence);0;0;1;0
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::ENTER;"input.priceRange one of { ""100"", ""15-10000"", ""300"" }";daikon.inv.unary.string.OneOfString;(input.priceRange);0;0;1;0
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::ENTER;LENGTH(input.currency)==3;daikon.inv.unary.string.FixedLengthString;(input.currency);0;0;1;0
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::ENTER;"input.paymentPolicy one of { ""DEPOSIT"", ""GUARANTEE"", ""NONE"" }";daikon.inv.unary.string.OneOfString;(input.paymentPolicy);0;0;1;0
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::ENTER;"input.boardType one of { ""BREAKFAST"", ""ROOM_ONLY"" }";daikon.inv.unary.string.OneOfString;(input.boardType);0;0;1;0
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::ENTER;LENGTH(input.boardType)==9;daikon.inv.unary.string.FixedLengthString;(input.boardType);0;0;1;0
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT;All the elements of input.hotelIds[] have LENGTH=8;daikon.inv.unary.stringsequence.SequenceFixedLengthString;(input.hotelIds[..]);0;0;1;0
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT;"input.checkInDate one of { ""2022-09-20"", ""2022-09-21"", ""2022-09-22"" }";daikon.inv.unary.string.OneOfString;(input.checkInDate);0;0;1;0
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT;input.checkInDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(input.checkInDate);0;0;1;0
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT;input.checkOutDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(input.checkOutDate);0;0;1;0
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT;"input.countryOfResidence one of { ""CL"", ""GB"", ""NZ"" }";daikon.inv.unary.string.OneOfString;(input.countryOfResidence);0;0;1;0
