ID;pptname;invariant;invariantType;variables;tp;fp;enter;bug
0;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT;"return.pricingFrequency one of { ""PER_NIGHT"", ""PER_STAY"" }";daikon.inv.unary.string.OneOfString;(return.pricingFrequency);1.0;0.0;0.0;0.0
1;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT;"return.pricingMode one of { ""PER_OCCUPANT"", ""PER_PRODUCT"" }";daikon.inv.unary.string.OneOfString;(return.pricingMode);1.0;0.0;0.0;0.0
2;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&variations&changes(main.getMultiHotelOffers&Input):::EXIT;return.total == return.base;daikon.inv.binary.twoString.StringEqual;(return.total, return.base);0.0;1.0;0.0;0.0
3;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&variations&changes(main.getMultiHotelOffers&Input):::EXIT;return.markups == null;daikon.inv.unary.scalar.OneOfScalar;(return.markups);0.0;1.0;0.0;0.0
4;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;input.adults == return.guests.adults;daikon.inv.binary.twoScalar.IntEqual;(input.adults, return.guests.adults);1.0;0.0;0.0;0.0
5;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;input.adults == size(return.policies.deposit.acceptedPayments.methods[]);daikon.inv.binary.twoScalar.IntEqual;(input.adults, size(return.policies.deposit.acceptedPayments.methods[..]));0.0;1.0;0.0;0.0
6;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;input.checkInDate == return.checkInDate;daikon.inv.binary.twoString.StringEqual;(input.checkInDate, return.checkInDate);1.0;0.0;0.0;0.0
7;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;input.checkOutDate == return.checkOutDate;daikon.inv.binary.twoString.StringEqual;(input.checkOutDate, return.checkOutDate);1.0;0.0;0.0;0.0
8;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;input.boardType == return.boardType;daikon.inv.binary.twoString.StringEqual;(input.boardType, return.boardType);0.0;1.0;0.0;0.0
9;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.rateCode == return.category;daikon.inv.binary.twoString.StringEqual;(return.rateCode, return.category);0.0;1.0;0.0;0.0
10;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.rateFamilyEstimated.code == return.category;daikon.inv.binary.twoString.StringEqual;(return.rateFamilyEstimated.code, return.category);0.0;1.0;0.0;0.0
11;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.description == return.commission.description;daikon.inv.binary.twoScalar.IntEqual;(return.description, return.commission.description);0.0;1.0;0.0;0.0
12;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.description == return.policies.guarantee.description;daikon.inv.binary.twoScalar.IntEqual;(return.description, return.policies.guarantee.description);0.0;1.0;0.0;0.0
13;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.description == return.policies.deposit.description;daikon.inv.binary.twoScalar.IntEqual;(return.description, return.policies.deposit.description);0.0;1.0;0.0;0.0
14;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.description == return.policies.prepay.description;daikon.inv.binary.twoScalar.IntEqual;(return.description, return.policies.prepay.description);0.0;1.0;0.0;0.0
15;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.room.typeEstimated.beds == size(return.policies.deposit.acceptedPayments.methods[]);daikon.inv.binary.twoScalar.IntEqual;(return.room.typeEstimated.beds, size(return.policies.deposit.acceptedPayments.methods[..]));0.0;1.0;0.0;0.0
16;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.price.markups == return.price.variations.average.markups;daikon.inv.binary.twoScalar.IntEqual;(return.price.markups, return.price.variations.average.markups);0.0;1.0;0.0;0.0
17;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.policies.prepay.acceptedPayments.creditCards == return.policies.prepay.acceptedPayments.methods;daikon.inv.binary.twoScalar.IntEqual;(return.policies.prepay.acceptedPayments.creditCards, return.policies.prepay.acceptedPayments.methods);0.0;1.0;0.0;0.0
18;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;"return.checkInDate one of { ""2022-09-20"", ""2022-09-21"", ""2022-09-22"" }";daikon.inv.unary.string.OneOfString;(return.checkInDate);0.0;1.0;0.0;0.0
19;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;"return.rateFamilyEstimated.type one of { ""C"", ""P"" }";daikon.inv.unary.string.OneOfString;(return.rateFamilyEstimated.type);0.0;1.0;0.0;0.0
20;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;"return.category == ""GOV""";daikon.inv.unary.string.OneOfString;(return.category);0.0;1.0;0.0;0.0
21;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.description == null;daikon.inv.unary.scalar.OneOfScalar;(return.description);0.0;1.0;0.0;0.0
22;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;"return.boardType one of { ""BREAKFAST"", ""ROOM_ONLY"" }";daikon.inv.unary.string.OneOfString;(return.boardType);0.0;1.0;0.0;0.0
23;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.room != null;daikon.inv.unary.scalar.NonZero;(return.room);1.0;0.0;0.0;0.0
24;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.room.typeEstimated != null;daikon.inv.unary.scalar.NonZero;(return.room.typeEstimated);0.0;1.0;0.0;0.0
25;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.room.typeEstimated.beds one of { 1, 2 };daikon.inv.unary.scalar.OneOfScalar;(return.room.typeEstimated.beds);0.0;1.0;0.0;0.0
26;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.room.description != null;daikon.inv.unary.scalar.NonZero;(return.room.description);1.0;0.0;0.0;0.0
27;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.guests != null;daikon.inv.unary.scalar.NonZero;(return.guests);1.0;0.0;0.0;0.0
28;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.guests.childAges == null;daikon.inv.unary.scalar.OneOfScalar;(return.guests.childAges);0.0;1.0;0.0;0.0
29;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.price != null;daikon.inv.unary.scalar.NonZero;(return.price);1.0;0.0;0.0;0.0
30;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.price.taxes[] elements != null;daikon.inv.unary.sequence.EltNonZero;(return.price.taxes[..]);1.0;0.0;0.0;0.0
31;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.price.markups == null;daikon.inv.unary.scalar.OneOfScalar;(return.price.markups);0.0;1.0;0.0;0.0
32;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;"return.price.variations.average.total == ""126.73""";daikon.inv.unary.string.OneOfString;(return.price.variations.average.total);0.0;1.0;0.0;0.0
33;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.price.variations.changes[] elements != null;daikon.inv.unary.sequence.EltNonZero;(return.price.variations.changes[..]);1.0;0.0;0.0;0.0
34;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.policies != null;daikon.inv.unary.scalar.NonZero;(return.policies);0.0;1.0;0.0;0.0
35;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;"return.policies.paymentType one of { ""deposit"", ""guarantee"" }";daikon.inv.unary.string.OneOfString;(return.policies.paymentType);0.0;1.0;0.0;0.0
36;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.policies.guarantee.acceptedPayments.methods[] == [CREDIT_CARD];daikon.inv.unary.stringsequence.OneOfStringSequence;(return.policies.guarantee.acceptedPayments.methods[..]);0.0;1.0;0.0;0.0
37;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;"return.policies.guarantee.acceptedPayments.methods[] elements == ""CREDIT_CARD""";daikon.inv.unary.stringsequence.EltOneOfString;(return.policies.guarantee.acceptedPayments.methods[..]);0.0;1.0;0.0;0.0
38;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.policies.deposit.acceptedPayments.creditCards[] one of { [AX, CA, DC, EC, IK, JC, VI], [VI, AX, CA, DC, EC, JC, CU, MC, IK] };daikon.inv.unary.stringsequence.OneOfStringSequence;(return.policies.deposit.acceptedPayments.creditCards[..]);0.0;1.0;0.0;0.0
39;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;"return.policies.deposit.acceptedPayments.methods[] elements one of { ""ADVANCE_DEPOSIT"", ""CREDIT_CARD"" }";daikon.inv.unary.stringsequence.EltOneOfString;(return.policies.deposit.acceptedPayments.methods[..]);0.0;1.0;0.0;0.0
40;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.policies.deposit.acceptedPayments.methods[] one of { [CREDIT_CARD], [CREDIT_CARD, ADVANCE_DEPOSIT] };daikon.inv.unary.stringsequence.OneOfStringSequence;(return.policies.deposit.acceptedPayments.methods[..]);0.0;1.0;0.0;0.0
41;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.policies.prepay == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.prepay);0.0;1.0;0.0;0.0
42;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.policies.prepay.acceptedPayments == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.prepay.acceptedPayments);0.0;1.0;0.0;0.0
43;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.policies.prepay.acceptedPayments.creditCards == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.prepay.acceptedPayments.creditCards);0.0;1.0;0.0;0.0
44;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.policies.holdTime == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.holdTime);0.0;1.0;0.0;0.0
45;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;"return.policies.cancellation.type == ""FULL_STAY""";daikon.inv.unary.string.OneOfString;(return.policies.cancellation.type);1.0;0.0;0.0;0.0
46;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.policies.cancellation.numberOfNights one of { 1, 3 };daikon.inv.unary.scalar.OneOfScalar;(return.policies.cancellation.numberOfNights);0.0;1.0;0.0;0.0
47;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;"return.policies.cancellation.description.text one of { ""NON-REFUNDABLE RATE"", ""Plus Taxes and fees where appropriate."" }";daikon.inv.unary.string.OneOfString;(return.policies.cancellation.description.text);0.0;1.0;0.0;0.0
48;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.policies.checkInOut == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.checkInOut);0.0;1.0;0.0;0.0
49;main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.policies.checkInOut.checkInDescription == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.checkInOut.checkInDescription);0.0;1.0;0.0;0.0
