ID;pptname;invariant;invariantType;variables;tp;fp;enter;bug
0;main.orgs{org}repos.createOrganizationRepository&201(main.createOrganizationRepository&Input):::EXIT;input.org == return.owner.login;daikon.inv.binary.twoString.StringEqual;(input.org, return.owner.login);1.0;0.0;0.0;0.0
1;main.orgs{org}repos.createOrganizationRepository&201(main.createOrganizationRepository&Input):::EXIT;input.org == return.organization.login;daikon.inv.binary.twoString.StringEqual;(input.org, return.organization.login);1.0;0.0;0.0;0.0
2;main.orgs{org}repos.createOrganizationRepository&201(main.createOrganizationRepository&Input):::EXIT;input.description == return.description;daikon.inv.binary.twoString.StringEqual;(input.description, return.description);1.0;0.0;0.0;0.0
3;main.orgs{org}repos.createOrganizationRepository&201(main.createOrganizationRepository&Input):::EXIT;input.homepage == return.homepage;daikon.inv.binary.twoString.StringEqual;(input.homepage, return.homepage);1.0;0.0;0.0;0.0
4;main.orgs{org}repos.createOrganizationRepository&201(main.createOrganizationRepository&Input):::EXIT;input.visibility == return.visibility;daikon.inv.binary.twoString.StringEqual;(input.visibility, return.visibility);1.0;0.0;0.0;0.0
5;main.orgs{org}repos.createOrganizationRepository&201(main.createOrganizationRepository&Input):::EXIT;input.has_issues == return.has_issues;daikon.inv.binary.twoScalar.IntEqual;(input.has_issues, return.has_issues);1.0;0.0;0.0;0.0
6;main.orgs{org}repos.createOrganizationRepository&201(main.createOrganizationRepository&Input):::EXIT;input.has_projects == return.has_projects;daikon.inv.binary.twoScalar.IntEqual;(input.has_projects, return.has_projects);1.0;0.0;0.0;0.0
7;main.orgs{org}repos.createOrganizationRepository&201(main.createOrganizationRepository&Input):::EXIT;input.has_wiki == return.has_wiki;daikon.inv.binary.twoScalar.IntEqual;(input.has_wiki, return.has_wiki);1.0;0.0;0.0;0.0
8;main.orgs{org}repos.createOrganizationRepository&201(main.createOrganizationRepository&Input):::EXIT;input.is_template == return.is_template;daikon.inv.binary.twoScalar.IntEqual;(input.is_template, return.is_template);1.0;0.0;0.0;0.0
9;main.orgs{org}repos.createOrganizationRepository&201(main.createOrganizationRepository&Input):::EXIT;input.license_template == return.license.key;daikon.inv.binary.twoString.StringEqual;(input.license_template, return.license.key);1.0;0.0;0.0;0.0
