pptname;invariant;invariantType;variables;tp;fp;enter;bug
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::ENTER;input != null;daikon.inv.unary.scalar.NonZero;(input);0;0;1;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::ENTER;"input.direction one of { ""asc"", ""desc"" }";daikon.inv.unary.string.OneOfString;(input.direction);0;0;1;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::ENTER;input.page >= 1;daikon.inv.unary.scalar.LowerBound;(input.page);0;0;1;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.owner.site_admin == return.disabled;daikon.inv.binary.twoScalar.IntEqual;(return.owner.site_admin, return.disabled);0;1;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.html_url == return.svn_url;daikon.inv.binary.twoString.StringEqual;(return.html_url, return.svn_url);0;1;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.forks_count == return.forks;daikon.inv.binary.twoScalar.IntEqual;(return.forks_count, return.forks);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.stargazers_count == return.watchers_count;daikon.inv.binary.twoScalar.IntEqual;(return.stargazers_count, return.watchers_count);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.stargazers_count == return.watchers;daikon.inv.binary.twoScalar.IntEqual;(return.stargazers_count, return.watchers);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.open_issues_count == return.open_issues;daikon.inv.binary.twoScalar.IntEqual;(return.open_issues_count, return.open_issues);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.permissions.admin == return.permissions.maintain;daikon.inv.binary.twoScalar.IntEqual;(return.permissions.admin, return.permissions.maintain);0;1;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.permissions.push == return.permissions.triage;daikon.inv.binary.twoScalar.IntEqual;(return.permissions.push, return.permissions.triage);0;1;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.template_repository == return.template_repository.template_repository;daikon.inv.binary.twoScalar.IntEqual;(return.template_repository, return.template_repository.template_repository);0;0;0;1
