pptname;invariant;invariantType;variables;tp;fp;enter;bug
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::ENTER;"input.direction one of { ""asc"", ""desc"" }";daikon.inv.unary.string.OneOfString;(input.direction);0;0;1;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::ENTER;input.page >= 1;daikon.inv.unary.scalar.LowerBound;(input.page);0;0;1;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.owner.site_admin == return.disabled;daikon.inv.binary.twoScalar.IntEqual;(return.owner.site_admin, return.disabled);0;1;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.html_url == return.svn_url;daikon.inv.binary.twoString.StringEqual;(return.html_url, return.svn_url);0;1;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.forks_count == return.forks;daikon.inv.binary.twoScalar.IntEqual;(return.forks_count, return.forks);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.stargazers_count == return.watchers_count;daikon.inv.binary.twoScalar.IntEqual;(return.stargazers_count, return.watchers_count);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.stargazers_count == return.watchers;daikon.inv.binary.twoScalar.IntEqual;(return.stargazers_count, return.watchers);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.open_issues_count == return.open_issues;daikon.inv.binary.twoScalar.IntEqual;(return.open_issues_count, return.open_issues);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.permissions.admin == return.permissions.maintain;daikon.inv.binary.twoScalar.IntEqual;(return.permissions.admin, return.permissions.maintain);0;1;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.permissions.push == return.permissions.triage;daikon.inv.binary.twoScalar.IntEqual;(return.permissions.push, return.permissions.triage);0;1;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.template_repository == return.template_repository.template_repository;daikon.inv.binary.twoScalar.IntEqual;(return.template_repository, return.template_repository.template_repository);0;0;0;1
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.template_repository.permissions == return.template_repository.template_repository.permissions;daikon.inv.binary.twoScalar.IntEqual;(return.template_repository.permissions, return.template_repository.template_repository.permissions);0;0;0;1
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.template_repository.owner == return.template_repository.template_repository.owner;daikon.inv.binary.twoScalar.IntEqual;(return.template_repository.owner, return.template_repository.template_repository.owner);0;0;0;1
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.template_repository.topics == return.template_repository.template_repository.topics;daikon.inv.binary.twoScalar.IntEqual;(return.template_repository.topics, return.template_repository.template_repository.topics);0;0;0;1
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;"input.direction one of { ""asc"", ""desc"" }";daikon.inv.unary.string.OneOfString;(input.direction);0;0;1;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;input.page >= 1;daikon.inv.unary.scalar.LowerBound;(input.page);0;0;1;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.owner.avatar_url is Url;daikon.inv.unary.string.IsUrl;(return.owner.avatar_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;"return.owner.gravatar_id == """"";daikon.inv.unary.string.OneOfString;(return.owner.gravatar_id);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;LENGTH(return.owner.gravatar_id)==0;daikon.inv.unary.string.FixedLengthString;(return.owner.gravatar_id);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.owner.url is Url;daikon.inv.unary.string.IsUrl;(return.owner.url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.owner.html_url is Url;daikon.inv.unary.string.IsUrl;(return.owner.html_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.owner.followers_url is Url;daikon.inv.unary.string.IsUrl;(return.owner.followers_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.owner.following_url is Url;daikon.inv.unary.string.IsUrl;(return.owner.following_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.owner.gists_url is Url;daikon.inv.unary.string.IsUrl;(return.owner.gists_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.owner.starred_url is Url;daikon.inv.unary.string.IsUrl;(return.owner.starred_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.owner.subscriptions_url is Url;daikon.inv.unary.string.IsUrl;(return.owner.subscriptions_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.owner.organizations_url is Url;daikon.inv.unary.string.IsUrl;(return.owner.organizations_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.owner.repos_url is Url;daikon.inv.unary.string.IsUrl;(return.owner.repos_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.owner.events_url is Url;daikon.inv.unary.string.IsUrl;(return.owner.events_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.owner.received_events_url is Url;daikon.inv.unary.string.IsUrl;(return.owner.received_events_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;"return.owner.type == ""Organization""";daikon.inv.unary.string.OneOfString;(return.owner.type);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;LENGTH(return.owner.type)==12;daikon.inv.unary.string.FixedLengthString;(return.owner.type);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.html_url is Url;daikon.inv.unary.string.IsUrl;(return.html_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.url is Url;daikon.inv.unary.string.IsUrl;(return.url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.archive_url is Url;daikon.inv.unary.string.IsUrl;(return.archive_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.assignees_url is Url;daikon.inv.unary.string.IsUrl;(return.assignees_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.blobs_url is Url;daikon.inv.unary.string.IsUrl;(return.blobs_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.branches_url is Url;daikon.inv.unary.string.IsUrl;(return.branches_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.collaborators_url is Url;daikon.inv.unary.string.IsUrl;(return.collaborators_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.comments_url is Url;daikon.inv.unary.string.IsUrl;(return.comments_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.commits_url is Url;daikon.inv.unary.string.IsUrl;(return.commits_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.compare_url is Url;daikon.inv.unary.string.IsUrl;(return.compare_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.contents_url is Url;daikon.inv.unary.string.IsUrl;(return.contents_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.contributors_url is Url;daikon.inv.unary.string.IsUrl;(return.contributors_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.deployments_url is Url;daikon.inv.unary.string.IsUrl;(return.deployments_url);1;0;0;0
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.downloads_url is Url;daikon.inv.unary.string.IsUrl;(return.downloads_url);1;0;0;0
