ID;pptname;invariant;invariantType;variables;tp;fp;enter;bug
0;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;input.org == return.owner.login;daikon.inv.binary.twoString.StringEqual;(input.org, return.owner.login);0.0;1.0;0.0;0.0
1;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.owner.site_admin == return.disabled;daikon.inv.binary.twoScalar.IntEqual;(return.owner.site_admin, return.disabled);0.0;1.0;0.0;0.0
2;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.html_url == return.svn_url;daikon.inv.binary.twoString.StringEqual;(return.html_url, return.svn_url);0.0;1.0;0.0;0.0
3;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.forks_count == return.forks;daikon.inv.binary.twoScalar.IntEqual;(return.forks_count, return.forks);1.0;0.0;0.0;0.0
4;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.stargazers_count == return.watchers_count;daikon.inv.binary.twoScalar.IntEqual;(return.stargazers_count, return.watchers_count);1.0;0.0;0.0;0.0
5;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.stargazers_count == return.watchers;daikon.inv.binary.twoScalar.IntEqual;(return.stargazers_count, return.watchers);1.0;0.0;0.0;0.0
6;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.open_issues_count == return.open_issues;daikon.inv.binary.twoScalar.IntEqual;(return.open_issues_count, return.open_issues);1.0;0.0;0.0;0.0
7;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.permissions.admin == return.permissions.push;daikon.inv.binary.twoScalar.IntEqual;(return.permissions.admin, return.permissions.push);0.0;1.0;0.0;0.0
8;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.permissions.admin == return.permissions.maintain;daikon.inv.binary.twoScalar.IntEqual;(return.permissions.admin, return.permissions.maintain);0.0;1.0;0.0;0.0
9;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.permissions.admin == return.permissions.triage;daikon.inv.binary.twoScalar.IntEqual;(return.permissions.admin, return.permissions.triage);0.0;1.0;0.0;0.0
10;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.owner != null;daikon.inv.unary.scalar.NonZero;(return.owner);1.0;0.0;0.0;0.0
11;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;"return.owner.gravatar_id == """"";daikon.inv.unary.string.OneOfString;(return.owner.gravatar_id);1.0;0.0;0.0;0.0
12;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;"return.owner.type == ""Organization""";daikon.inv.unary.string.OneOfString;(return.owner.type);1.0;0.0;0.0;0.0
13;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.forks_count >= 0;daikon.inv.unary.scalar.LowerBound;(return.forks_count);1.0;0.0;0.0;0.0
14;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.stargazers_count >= 0;daikon.inv.unary.scalar.LowerBound;(return.stargazers_count);1.0;0.0;0.0;0.0
15;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.size >= 0;daikon.inv.unary.scalar.LowerBound;(return.size);1.0;0.0;0.0;0.0
16;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.open_issues_count >= 0;daikon.inv.unary.scalar.LowerBound;(return.open_issues_count);1.0;0.0;0.0;0.0
17;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.topics != null;daikon.inv.unary.scalar.NonZero;(return.topics);1.0;0.0;0.0;0.0
18;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.disabled == false;daikon.inv.unary.scalar.OneOfScalar;(return.disabled);0.0;1.0;0.0;0.0
19;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;"return.visibility one of { ""private"", ""public"" }";daikon.inv.unary.string.OneOfString;(return.visibility);1.0;0.0;0.0;0.0
20;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.permissions != null;daikon.inv.unary.scalar.NonZero;(return.permissions);1.0;0.0;0.0;0.0
21;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.permissions.pull == true;daikon.inv.unary.scalar.OneOfScalar;(return.permissions.pull);1.0;0.0;0.0;0.0
22;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;input.per_page < return.id;daikon.inv.binary.twoScalar.IntLessThan;(input.per_page, return.id);0.0;1.0;0.0;0.0
23;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;input.per_page < return.owner.id;daikon.inv.binary.twoScalar.IntLessThan;(input.per_page, return.owner.id);0.0;1.0;0.0;0.0
24;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;input.per_page != return.forks_count;daikon.inv.binary.twoScalar.IntNonEqual;(input.per_page, return.forks_count);0.0;1.0;0.0;0.0
25;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;input.per_page > size(return.topics[]);daikon.inv.binary.twoScalar.IntGreaterThan;(input.per_page, size(return.topics[..]));0.0;1.0;0.0;0.0
26;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;input.page < return.id;daikon.inv.binary.twoScalar.IntLessThan;(input.page, return.id);0.0;1.0;0.0;0.0
27;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;input.page < return.owner.id;daikon.inv.binary.twoScalar.IntLessThan;(input.page, return.owner.id);0.0;1.0;0.0;0.0
28;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.id != return.owner.id;daikon.inv.binary.twoScalar.IntNonEqual;(return.id, return.owner.id);0.0;1.0;0.0;0.0
29;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.id > return.forks_count;daikon.inv.binary.twoScalar.IntGreaterThan;(return.id, return.forks_count);0.0;1.0;0.0;0.0
30;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.id > return.stargazers_count;daikon.inv.binary.twoScalar.IntGreaterThan;(return.id, return.stargazers_count);0.0;1.0;0.0;0.0
31;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.id != return.size;daikon.inv.binary.twoScalar.IntNonEqual;(return.id, return.size);0.0;1.0;0.0;0.0
32;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.id > return.open_issues_count;daikon.inv.binary.twoScalar.IntGreaterThan;(return.id, return.open_issues_count);0.0;1.0;0.0;0.0
33;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.id > size(return.topics[]);daikon.inv.binary.twoScalar.IntGreaterThan;(return.id, size(return.topics[..]));0.0;1.0;0.0;0.0
34;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.owner.id > return.forks_count;daikon.inv.binary.twoScalar.IntGreaterThan;(return.owner.id, return.forks_count);0.0;1.0;0.0;0.0
35;main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT;return.owner.id != return.stargazers_count;daikon.inv.binary.twoScalar.IntNonEqual;(return.owner.id, return.stargazers_count);0.0;1.0;0.0;0.0
