ID;pptname;invariant;invariantType;variables;tp;fp;enter;bug
0;main.v1publiccomics{comicId}.getComicIndividual&200&data&results&images(main.getComicIndividual&Input):::EXIT;"return.extension == ""jpg""";daikon.inv.unary.string.OneOfString;(return.extension);0.0;1.0;0.0;0.0
1;main.v1publiccomics{comicId}.getComicIndividual&200&data&results&prices(main.getComicIndividual&Input):::EXIT;"return.type one of { ""digitalPurchasePrice"", ""printPrice"" }";daikon.inv.unary.string.OneOfString;(return.type);1.0;0.0;0.0;0.0
2;main.v1publiccomics{comicId}.getComicIndividual&200&data&results&prices(main.getComicIndividual&Input):::EXIT;return.price >= 0.0;daikon.inv.unary.scalar.LowerBoundFloat;(return.price);1.0;0.0;0.0;0.0
3;main.v1publiccomics{comicId}.getComicIndividual&200&data&results&textObjects(main.getComicIndividual&Input):::EXIT;"return.type one of { ""70th_winner_desc"", ""issue_preview_text"", ""issue_solicit_text"" }";daikon.inv.unary.string.OneOfString;(return.type);0.0;1.0;0.0;0.0
4;main.v1publiccomics{comicId}.getComicIndividual&200&data&results&textObjects(main.getComicIndividual&Input):::EXIT;"return.language == ""en-us""";daikon.inv.unary.string.OneOfString;(return.language);0.0;1.0;0.0;0.0
5;main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT;input.comicId == return.id;daikon.inv.binary.twoScalar.IntEqual;(input.comicId, return.id);1.0;0.0;0.0;0.0
6;main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT;return.creators.returned == size(return.creators.items[]);daikon.inv.binary.twoScalar.IntEqual;(return.creators.returned, size(return.creators.items[..]));1.0;0.0;0.0;0.0
7;main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT;return.characters.available == return.characters.returned;daikon.inv.binary.twoScalar.IntEqual;(return.characters.available, return.characters.returned);0.0;1.0;0.0;0.0
8;main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT;return.characters.available == size(return.characters.items[]);daikon.inv.binary.twoScalar.IntEqual;(return.characters.available, size(return.characters.items[..]));0.0;1.0;0.0;0.0
9;main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT;return.stories.available == return.stories.returned;daikon.inv.binary.twoScalar.IntEqual;(return.stories.available, return.stories.returned);0.0;1.0;0.0;0.0
10;main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT;return.stories.available == size(return.stories.items[]);daikon.inv.binary.twoScalar.IntEqual;(return.stories.available, size(return.stories.items[..]));0.0;1.0;0.0;0.0
11;main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT;return.events.available == return.events.returned;daikon.inv.binary.twoScalar.IntEqual;(return.events.available, return.events.returned);0.0;1.0;0.0;0.0
12;main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT;return.events.available == size(return.collectedIssues[]);daikon.inv.binary.twoScalar.IntEqual;(return.events.available, size(return.collectedIssues[..]));0.0;1.0;0.0;0.0
13;main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT;return.events.available == size(return.events.items[]);daikon.inv.binary.twoScalar.IntEqual;(return.events.available, size(return.events.items[..]));0.0;1.0;0.0;0.0
14;main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT;return.digitalId >= 0;daikon.inv.unary.scalar.LowerBound;(return.digitalId);1.0;0.0;0.0;0.0
15;main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT;return.issueNumber >= 0.0;daikon.inv.unary.scalar.LowerBoundFloat;(return.issueNumber);0.0;1.0;0.0;0.0
16;main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT;"return.variantDescription one of { ""GARNER VARIANT"", ""WHITE VARIANT"" }";daikon.inv.unary.string.OneOfString;(return.variantDescription);0.0;1.0;0.0;0.0
17;main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT;return.textObjects != null;daikon.inv.unary.scalar.NonZero;(return.textObjects);1.0;0.0;0.0;0.0
18;main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT;return.textObjects[] elements != null;daikon.inv.unary.sequence.EltNonZero;(return.textObjects[..]);1.0;0.0;0.0;0.0
19;main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT;return.urls != null;daikon.inv.unary.scalar.NonZero;(return.urls);1.0;0.0;0.0;0.0
20;main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT;return.urls[] elements != null;daikon.inv.unary.sequence.EltNonZero;(return.urls[..]);1.0;0.0;0.0;0.0
21;main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT;return.series != null;daikon.inv.unary.scalar.NonZero;(return.series);1.0;0.0;0.0;0.0
