pptname;invariant;invariantType;variables;tp;fp;enter;bug
main..searchByIdOrTitle&200&Ratings(main.searchByIdOrTitle&Input):::ENTER;"input.type one of { ""episode"", ""movie"", ""series"" }";daikon.inv.unary.string.OneOfString;(input.type);0;0;1;0
main..searchByIdOrTitle&200&Ratings(main.searchByIdOrTitle&Input):::ENTER;"input.plot one of { ""full"", ""short"" }";daikon.inv.unary.string.OneOfString;(input.plot);0;0;1;0
main..searchByIdOrTitle&200&Ratings(main.searchByIdOrTitle&Input):::ENTER;"input.r == ""json""";daikon.inv.unary.string.OneOfString;(input.r);0;0;1;0
main..searchByIdOrTitle&200&Ratings(main.searchByIdOrTitle&Input):::ENTER;LENGTH(input.r)==4;daikon.inv.unary.string.FixedLengthString;(input.r);0;0;1;0
main..searchByIdOrTitle&200&Ratings(main.searchByIdOrTitle&Input):::EXIT;"input.type one of { ""episode"", ""movie"", ""series"" }";daikon.inv.unary.string.OneOfString;(input.type);0;0;1;0
main..searchByIdOrTitle&200&Ratings(main.searchByIdOrTitle&Input):::EXIT;"input.plot one of { ""full"", ""short"" }";daikon.inv.unary.string.OneOfString;(input.plot);0;0;1;0
main..searchByIdOrTitle&200&Ratings(main.searchByIdOrTitle&Input):::EXIT;"input.r == ""json""";daikon.inv.unary.string.OneOfString;(input.r);0;0;1;0
main..searchByIdOrTitle&200&Ratings(main.searchByIdOrTitle&Input):::EXIT;LENGTH(input.r)==4;daikon.inv.unary.string.FixedLengthString;(input.r);0;0;1;0
main..searchByIdOrTitle&200&Ratings(main.searchByIdOrTitle&Input):::EXIT;"return.Source one of { ""Internet Movie Database"", ""Metacritic"", ""Rotten Tomatoes"" }";daikon.inv.unary.string.OneOfString;(return.Source);1;0;0;0
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::ENTER;"input.type one of { ""episode"", ""movie"", ""series"" }";daikon.inv.unary.string.OneOfString;(input.type);0;0;1;0
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::ENTER;"input.plot one of { ""full"", ""short"" }";daikon.inv.unary.string.OneOfString;(input.plot);0;0;1;0
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::ENTER;"input.r == ""json""";daikon.inv.unary.string.OneOfString;(input.r);0;0;1;0
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::ENTER;LENGTH(input.r)==4;daikon.inv.unary.string.FixedLengthString;(input.r);0;0;1;0
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;input.i == return.imdbID;daikon.inv.binary.twoString.StringEqual;(input.i, return.imdbID);1;0;0;0
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;"input.type one of { ""episode"", ""movie"", ""series"" }";daikon.inv.unary.string.OneOfString;(input.type);0;0;1;0
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;"input.plot one of { ""full"", ""short"" }";daikon.inv.unary.string.OneOfString;(input.plot);0;0;1;0
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;"input.r == ""json""";daikon.inv.unary.string.OneOfString;(input.r);0;0;1;0
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;LENGTH(input.r)==4;daikon.inv.unary.string.FixedLengthString;(input.r);0;0;1;0
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;"return.Response == ""True""";daikon.inv.unary.string.OneOfString;(return.Response);1;0;0;0
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT;LENGTH(return.Response)==4;daikon.inv.unary.string.FixedLengthString;(return.Response);1;0;0;0
