ID;pptname;invariant;invariantType;variables;tp;fp;enter;bug
0;main.users{user_id}playlists.createPlaylist&201(main.createPlaylist&Input):::EXIT;input.user_id == return.owner.id;daikon.inv.binary.twoString.StringEqual;(input.user_id, return.owner.id);1.0;0.0;0.0;0.0
1;main.users{user_id}playlists.createPlaylist&201(main.createPlaylist&Input):::EXIT;input.name == return.name;daikon.inv.binary.twoString.StringEqual;(input.name, return.name);1.0;0.0;0.0;0.0
2;main.users{user_id}playlists.createPlaylist&201(main.createPlaylist&Input):::EXIT;input.description == return.description;daikon.inv.binary.twoString.StringEqual;(input.description, return.description);1.0;0.0;0.0;0.0
3;main.users{user_id}playlists.createPlaylist&201(main.createPlaylist&Input):::EXIT;input.public == return.public;daikon.inv.binary.twoScalar.IntEqual;(input.public, return.public);1.0;0.0;0.0;0.0
4;main.users{user_id}playlists.createPlaylist&201(main.createPlaylist&Input):::EXIT;input.collaborative == return.collaborative;daikon.inv.binary.twoScalar.IntEqual;(input.collaborative, return.collaborative);1.0;0.0;0.0;0.0
5;main.users{user_id}playlists.createPlaylist&201(main.createPlaylist&Input):::EXIT;return.followers.total == return.tracks.offset;daikon.inv.binary.twoScalar.IntEqual;(return.followers.total, return.tracks.offset);1.0;0.0;0.0;0.0
6;main.users{user_id}playlists.createPlaylist&201(main.createPlaylist&Input):::EXIT;return.followers.total == return.tracks.total;daikon.inv.binary.twoScalar.IntEqual;(return.followers.total, return.tracks.total);1.0;0.0;0.0;0.0
7;main.users{user_id}playlists.createPlaylist&201(main.createPlaylist&Input):::EXIT;return.followers.total == size(return.images[]);daikon.inv.binary.twoScalar.IntEqual;(return.followers.total, size(return.images[..]));1.0;0.0;0.0;0.0
8;main.users{user_id}playlists.createPlaylist&201(main.createPlaylist&Input):::EXIT;return.followers.total == size(return.tracks.items[]);daikon.inv.binary.twoScalar.IntEqual;(return.followers.total, size(return.tracks.items[..]));1.0;0.0;0.0;0.0
9;main.users{user_id}playlists.createPlaylist&201(main.createPlaylist&Input):::EXIT;return.external_urls != null;daikon.inv.unary.scalar.NonZero;(return.external_urls);1.0;0.0;0.0;0.0
10;main.users{user_id}playlists.createPlaylist&201(main.createPlaylist&Input):::EXIT;return.followers != null;daikon.inv.unary.scalar.NonZero;(return.followers);1.0;0.0;0.0;0.0
11;main.users{user_id}playlists.createPlaylist&201(main.createPlaylist&Input):::EXIT;return.images != null;daikon.inv.unary.scalar.NonZero;(return.images);1.0;0.0;0.0;0.0
