ID;pptname;invariant;invariantType;variables;tp;fp;enter;bug
0;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.categories != null;daikon.inv.unary.scalar.NonZero;(return.categories);1.0;0.0;0.0;0.0
1;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.categories[] elements != null;daikon.inv.unary.sequence.EltNonZero;(return.categories[..]);1.0;0.0;0.0;0.0
2;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.coordinates != null;daikon.inv.unary.scalar.NonZero;(return.coordinates);1.0;0.0;0.0;0.0
3;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.coordinates.latitude != 0;daikon.inv.unary.scalar.NonZeroFloat;(return.coordinates.latitude);0.0;1.0;0.0;0.0
4;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.coordinates.longitude != 0;daikon.inv.unary.scalar.NonZeroFloat;(return.coordinates.longitude);0.0;1.0;0.0;0.0
5;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.is_closed == false;daikon.inv.unary.scalar.OneOfScalar;(return.is_closed);0.0;1.0;0.0;0.0
6;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.review_count >= 1;daikon.inv.unary.scalar.LowerBound;(return.review_count);0.0;1.0;0.0;0.0
7;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.transactions != null;daikon.inv.unary.scalar.NonZero;(return.transactions);1.0;0.0;0.0;0.0
8;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;"return.transactions[] elements one of { ""delivery"", ""pickup"", ""restaurant_reservation"" }";daikon.inv.unary.stringsequence.EltOneOfString;(return.transactions[..]);1.0;0.0;0.0;0.0
9;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.location != null;daikon.inv.unary.scalar.NonZero;(return.location);1.0;0.0;0.0;0.0
10;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.location.display_address != null;daikon.inv.unary.scalar.NonZero;(return.location.display_address);1.0;0.0;0.0;0.0
11;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;size(return.categories[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(return.categories[..]));0.0;1.0;0.0;0.0
12;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;size(return.location.display_address[]) >= 2;daikon.inv.unary.scalar.LowerBound;(size(return.location.display_address[..]));0.0;1.0;0.0;0.0
13;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;input.radius > return.review_count;daikon.inv.binary.twoScalar.IntGreaterThan;(input.radius, return.review_count);0.0;1.0;0.0;0.0
14;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;input.radius > size(return.categories[]);daikon.inv.binary.twoScalar.IntGreaterThan;(input.radius, size(return.categories[..]));0.0;1.0;0.0;0.0
15;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;input.radius > size(return.transactions[]);daikon.inv.binary.twoScalar.IntGreaterThan;(input.radius, size(return.transactions[..]));0.0;1.0;0.0;0.0
16;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;input.radius > size(return.location.display_address[]);daikon.inv.binary.twoScalar.IntGreaterThan;(input.radius, size(return.location.display_address[..]));0.0;1.0;0.0;0.0
17;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;input.limit >= size(return.categories[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(input.limit, size(return.categories[..]));0.0;1.0;0.0;0.0
18;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;input.limit >= size(return.transactions[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(input.limit, size(return.transactions[..]));0.0;1.0;0.0;0.0
19;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;input.offset >= size(return.transactions[])-1;daikon.inv.binary.twoScalar.IntGreaterEqual;(input.offset, size(return.transactions[..])-1);0.0;1.0;0.0;0.0
20;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.coordinates.latitude != return.coordinates.longitude;daikon.inv.binary.twoScalar.FloatNonEqual;(return.coordinates.latitude, return.coordinates.longitude);0.0;1.0;0.0;0.0
21;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.coordinates.latitude < return.distance;daikon.inv.binary.twoScalar.FloatLessThan;(return.coordinates.latitude, return.distance);0.0;1.0;0.0;0.0
22;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.coordinates.latitude != return.rating;daikon.inv.binary.twoScalar.FloatNonEqual;(return.coordinates.latitude, return.rating);0.0;1.0;0.0;0.0
23;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.coordinates.longitude < return.distance;daikon.inv.binary.twoScalar.FloatLessThan;(return.coordinates.longitude, return.distance);0.0;1.0;0.0;0.0
24;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.coordinates.longitude != return.rating;daikon.inv.binary.twoScalar.FloatNonEqual;(return.coordinates.longitude, return.rating);0.0;1.0;0.0;0.0
25;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.distance > return.rating;daikon.inv.binary.twoScalar.FloatGreaterThan;(return.distance, return.rating);0.0;1.0;0.0;0.0
26;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.review_count >= size(input.price[])-1;daikon.inv.binary.twoScalar.IntGreaterEqual;(return.review_count, size(input.price[..])-1);0.0;1.0;0.0;0.0
27;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.review_count >= size(input.attributes[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(return.review_count, size(input.attributes[..]));0.0;1.0;0.0;0.0
28;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.review_count > size(return.transactions[]);daikon.inv.binary.twoScalar.IntGreaterThan;(return.review_count, size(return.transactions[..]));0.0;1.0;0.0;0.0
29;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.location.address1 in return.location.display_address[];daikon.inv.binary.sequenceString.MemberString;(return.location.address1, return.location.display_address[..]);1.0;0.0;0.0;0.0
30;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.location.address2 in return.location.display_address[];daikon.inv.binary.sequenceString.MemberString;(return.location.address2, return.location.display_address[..]);1.0;0.0;0.0;0.0
31;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;return.location.address3 in return.location.display_address[];daikon.inv.binary.sequenceString.MemberString;(return.location.address3, return.location.display_address[..]);1.0;0.0;0.0;0.0
32;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;size(return.transactions[]) % size(input.categories[]) == 0;daikon.inv.binary.twoScalar.NumericInt$Divides;(size(input.categories[..]), size(return.transactions[..]));0.0;1.0;0.0;0.0
33;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;size(input.categories[]) % size(return.transactions[])-1 == 0;daikon.inv.binary.twoScalar.NumericInt$Divides;(size(input.categories[..]), size(return.transactions[..])-1);0.0;1.0;0.0;0.0
34;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;size(input.categories[])-1 >= size(return.transactions[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(size(input.categories[..])-1, size(return.transactions[..]));0.0;1.0;0.0;0.0
35;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;size(input.categories[])-1 % size(return.transactions[])-1 == 0;daikon.inv.binary.twoScalar.NumericInt$Divides;(size(input.categories[..])-1, size(return.transactions[..])-1);0.0;1.0;0.0;0.0
36;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;size(input.categories[])-1 <= size(return.location.display_address[]);daikon.inv.binary.twoScalar.IntLessEqual;(size(input.categories[..])-1, size(return.location.display_address[..]));0.0;1.0;0.0;0.0
37;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;size(input.price[])-1 <= size(return.location.display_address[]);daikon.inv.binary.twoScalar.IntLessEqual;(size(input.price[..])-1, size(return.location.display_address[..]));0.0;1.0;0.0;0.0
38;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;size(input.attributes[])-1 <= size(return.categories[]);daikon.inv.binary.twoScalar.IntLessEqual;(size(input.attributes[..])-1, size(return.categories[..]));0.0;1.0;0.0;0.0
39;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;size(input.attributes[])-1 <= size(return.transactions[]);daikon.inv.binary.twoScalar.IntLessEqual;(size(input.attributes[..])-1, size(return.transactions[..]));0.0;1.0;0.0;0.0
40;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;size(input.attributes[])-1 <= size(return.location.display_address[]);daikon.inv.binary.twoScalar.IntLessEqual;(size(input.attributes[..])-1, size(return.location.display_address[..]));0.0;1.0;0.0;0.0
41;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;size(return.categories[])-1 <= size(return.location.display_address[]);daikon.inv.binary.twoScalar.IntLessEqual;(size(return.categories[..])-1, size(return.location.display_address[..]));0.0;1.0;0.0;0.0
42;main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT;size(return.transactions[])-1 <= size(return.location.display_address[]);daikon.inv.binary.twoScalar.IntLessEqual;(size(return.transactions[..])-1, size(return.location.display_address[..]));0.0;1.0;0.0;0.0
43;main.businessessearch.getBusinesses&200(main.getBusinesses&Input):::EXIT;return.total >= 0;daikon.inv.unary.scalar.LowerBound;(return.total);1.0;0.0;0.0;0.0
44;main.businessessearch.getBusinesses&200(main.getBusinesses&Input):::EXIT;return.region != null;daikon.inv.unary.scalar.NonZero;(return.region);1.0;0.0;0.0;0.0
45;main.businessessearch.getBusinesses&200(main.getBusinesses&Input):::EXIT;return.region.center != null;daikon.inv.unary.scalar.NonZero;(return.region.center);1.0;0.0;0.0;0.0
