pptname;invariant;invariantType;variables;tp;fp;enter;bug
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;"input.chart == ""mostPopular""";daikon.inv.unary.string.OneOfString;(input.chart);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;LENGTH(input.chart)==11;daikon.inv.unary.string.FixedLengthString;(input.chart);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxResults >= 1;daikon.inv.unary.scalar.LowerBound;(input.maxResults);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;"input.myRating one of { ""dislike"", ""like"" }";daikon.inv.unary.string.OneOfString;(input.myRating);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;LENGTH(input.regionCode)==2;daikon.inv.unary.string.FixedLengthString;(input.regionCode);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.videoCategoryId is Numeric;daikon.inv.unary.string.IsNumeric;(input.videoCategoryId);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;size(input.part[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.part[..]));0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;size(input.id[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.id[..]));0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxHeight > input.maxResults;daikon.inv.binary.twoScalar.IntGreaterThan;(input.maxHeight, input.maxResults);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxHeight > size(input.part[]);daikon.inv.binary.twoScalar.IntGreaterThan;(input.maxHeight, size(input.part[..]));0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxHeight > size(input.id[]);daikon.inv.binary.twoScalar.IntGreaterThan;(input.maxHeight, size(input.id[..]));0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxResults < input.maxWidth;daikon.inv.binary.twoScalar.IntLessThan;(input.maxResults, input.maxWidth);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxWidth > size(input.part[]);daikon.inv.binary.twoScalar.IntGreaterThan;(input.maxWidth, size(input.part[..]));0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxWidth > size(input.id[]);daikon.inv.binary.twoScalar.IntGreaterThan;(input.maxWidth, size(input.id[..]));0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.contentDetails.contentRating.djctqRatingReasons == return.suggestions.editorSuggestions;daikon.inv.binary.twoScalar.IntEqual;(return.contentDetails.contentRating.djctqRatingReasons, return.suggestions.editorSuggestions);0;1;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.contentDetails.contentRating.fpbRatingReasons == return.suggestions.editorSuggestions;daikon.inv.binary.twoScalar.IntEqual;(return.contentDetails.contentRating.fpbRatingReasons, return.suggestions.editorSuggestions);0;1;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.contentDetails.countryRestriction.exception == return.suggestions.editorSuggestions;daikon.inv.binary.twoScalar.IntEqual;(return.contentDetails.countryRestriction.exception, return.suggestions.editorSuggestions);0;1;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.contentDetails.hasCustomThumbnail == return.contentDetails.licensedContent;daikon.inv.binary.twoScalar.IntEqual;(return.contentDetails.hasCustomThumbnail, return.contentDetails.licensedContent);0;1;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.monetizationDetails.access.exception == return.suggestions.editorSuggestions;daikon.inv.binary.twoScalar.IntEqual;(return.monetizationDetails.access.exception, return.suggestions.editorSuggestions);0;1;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.snippet.thumbnails.high.width == return.snippet.thumbnails.standard.height;daikon.inv.binary.twoScalar.IntEqual;(return.snippet.thumbnails.high.width, return.snippet.thumbnails.standard.height);1;0;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.statistics.commentCount == return.statistics.dislikeCount;daikon.inv.binary.twoString.StringEqual;(return.statistics.commentCount, return.statistics.dislikeCount);0;1;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.statistics.dislikeCount == return.statistics.favoriteCount;daikon.inv.binary.twoString.StringEqual;(return.statistics.dislikeCount, return.statistics.favoriteCount);0;1;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.statistics.dislikeCount == return.statistics.likeCount;daikon.inv.binary.twoString.StringEqual;(return.statistics.dislikeCount, return.statistics.likeCount);0;1;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.status.madeForKids == return.status.selfDeclaredMadeForKids;daikon.inv.binary.twoScalar.IntEqual;(return.status.madeForKids, return.status.selfDeclaredMadeForKids);1;0;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.suggestions.editorSuggestions == return.suggestions.processingErrors;daikon.inv.binary.twoScalar.IntEqual;(return.suggestions.editorSuggestions, return.suggestions.processingErrors);1;0;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.suggestions.editorSuggestions == return.suggestions.processingHints;daikon.inv.binary.twoScalar.IntEqual;(return.suggestions.editorSuggestions, return.suggestions.processingHints);1;0;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.suggestions.editorSuggestions == return.suggestions.processingWarnings;daikon.inv.binary.twoScalar.IntEqual;(return.suggestions.editorSuggestions, return.suggestions.processingWarnings);1;0;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.suggestions.editorSuggestions == return.topicDetails.relevantTopicIds;daikon.inv.binary.twoScalar.IntEqual;(return.suggestions.editorSuggestions, return.topicDetails.relevantTopicIds);1;0;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.suggestions.editorSuggestions == return.topicDetails.topicIds;daikon.inv.binary.twoScalar.IntEqual;(return.suggestions.editorSuggestions, return.topicDetails.topicIds);1;0;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;"input.chart == ""mostPopular""";daikon.inv.unary.string.OneOfString;(input.chart);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;LENGTH(input.chart)==11;daikon.inv.unary.string.FixedLengthString;(input.chart);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;input.maxResults >= 1;daikon.inv.unary.scalar.LowerBound;(input.maxResults);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;"input.myRating one of { ""dislike"", ""like"" }";daikon.inv.unary.string.OneOfString;(input.myRating);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;LENGTH(input.regionCode)==2;daikon.inv.unary.string.FixedLengthString;(input.regionCode);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;input.videoCategoryId is Numeric;daikon.inv.unary.string.IsNumeric;(input.videoCategoryId);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.ageGating == null;daikon.inv.unary.scalar.OneOfScalar;(return.ageGating);1;0;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;"return.contentDetails.caption one of { ""false"", ""true"" }";daikon.inv.unary.string.OneOfString;(return.contentDetails.caption);1;0;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;"return.contentDetails.contentRating.ytRating == ""ytAgeRestricted""";daikon.inv.unary.string.OneOfString;(return.contentDetails.contentRating.ytRating);1;0;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;LENGTH(return.contentDetails.contentRating.ytRating)==15;daikon.inv.unary.string.FixedLengthString;(return.contentDetails.contentRating.ytRating);1;0;0;0
