pptname;invariant;invariantType;variables;tp;fp;enter;bug
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input != null;daikon.inv.unary.scalar.NonZero;(input);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.part != null;daikon.inv.unary.scalar.NonZero;(input.part);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;"input.chart == ""mostPopular""";daikon.inv.unary.string.OneOfString;(input.chart);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxResults >= 1;daikon.inv.unary.scalar.LowerBound;(input.maxResults);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;"input.myRating one of { ""dislike"", ""like"" }";daikon.inv.unary.string.OneOfString;(input.myRating);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;size(input.part[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.part[..]));0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;size(input.id[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.id[..]));0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.chart in input.id[];daikon.inv.binary.sequenceString.MemberString;(input.chart, input.id[..]);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.myRating in input.id[];daikon.inv.binary.sequenceString.MemberString;(input.id[..], input.myRating);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.regionCode in input.id[];daikon.inv.binary.sequenceString.MemberString;(input.id[..], input.regionCode);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.videoCategoryId in input.id[];daikon.inv.binary.sequenceString.MemberString;(input.id[..], input.videoCategoryId);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxHeight > input.maxResults;daikon.inv.binary.twoScalar.IntGreaterThan;(input.maxHeight, input.maxResults);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxHeight > size(input.part[]);daikon.inv.binary.twoScalar.IntGreaterThan;(input.maxHeight, size(input.part[..]));0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxHeight > size(input.id[]);daikon.inv.binary.twoScalar.IntGreaterThan;(input.maxHeight, size(input.id[..]));0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxResults < input.maxWidth;daikon.inv.binary.twoScalar.IntLessThan;(input.maxResults, input.maxWidth);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxWidth > size(input.part[]);daikon.inv.binary.twoScalar.IntGreaterThan;(input.maxWidth, size(input.part[..]));0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxWidth > size(input.id[]);daikon.inv.binary.twoScalar.IntGreaterThan;(input.maxWidth, size(input.id[..]));0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.contentDetails.contentRating.djctqRatingReasons == return.suggestions.editorSuggestions;daikon.inv.binary.twoScalar.IntEqual;(return.contentDetails.contentRating.djctqRatingReasons, return.suggestions.editorSuggestions);0;1;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.contentDetails.contentRating.fpbRatingReasons == return.suggestions.editorSuggestions;daikon.inv.binary.twoScalar.IntEqual;(return.contentDetails.contentRating.fpbRatingReasons, return.suggestions.editorSuggestions);0;1;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.contentDetails.countryRestriction.exception == return.suggestions.editorSuggestions;daikon.inv.binary.twoScalar.IntEqual;(return.contentDetails.countryRestriction.exception, return.suggestions.editorSuggestions);0;1;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.contentDetails.hasCustomThumbnail == return.contentDetails.licensedContent;daikon.inv.binary.twoScalar.IntEqual;(return.contentDetails.hasCustomThumbnail, return.contentDetails.licensedContent);0;1;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.monetizationDetails.access.exception == return.suggestions.editorSuggestions;daikon.inv.binary.twoScalar.IntEqual;(return.monetizationDetails.access.exception, return.suggestions.editorSuggestions);0;1;0;0
