pptname;invariant;invariantType;variables;tp;fp;enter;bug
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input != null;daikon.inv.unary.scalar.NonZero;(input);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.part != null;daikon.inv.unary.scalar.NonZero;(input.part);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;"input.chart == ""mostPopular""";daikon.inv.unary.string.OneOfString;(input.chart);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;"input.myRating one of { ""dislike"", ""like"" }";daikon.inv.unary.string.OneOfString;(input.myRating);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;size(input.part[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.part[..]));0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;size(input.id[]) one of { 1, 2, 3 };daikon.inv.unary.scalar.OneOfScalar;(size(input.id[..]));0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.chart in input.id[];daikon.inv.binary.sequenceString.MemberString;(input.chart, input.id[..]);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.myRating in input.id[];daikon.inv.binary.sequenceString.MemberString;(input.id[..], input.myRating);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.regionCode in input.id[];daikon.inv.binary.sequenceString.MemberString;(input.id[..], input.regionCode);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.videoCategoryId in input.id[];daikon.inv.binary.sequenceString.MemberString;(input.id[..], input.videoCategoryId);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxHeight > input.maxResults;daikon.inv.binary.twoScalar.IntGreaterThan;(input.maxHeight, input.maxResults);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxHeight != input.maxWidth;daikon.inv.binary.twoScalar.IntNonEqual;(input.maxHeight, input.maxWidth);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxHeight > size(input.part[]);daikon.inv.binary.twoScalar.IntGreaterThan;(input.maxHeight, size(input.part[..]));0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxHeight > size(input.id[]);daikon.inv.binary.twoScalar.IntGreaterThan;(input.maxHeight, size(input.id[..]));0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxResults < input.maxWidth;daikon.inv.binary.twoScalar.IntLessThan;(input.maxResults, input.maxWidth);0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxResults >= size(input.part[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(input.maxResults, size(input.part[..]));0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxWidth > size(input.part[]);daikon.inv.binary.twoScalar.IntGreaterThan;(input.maxWidth, size(input.part[..]));0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;input.maxWidth > size(input.id[]);daikon.inv.binary.twoScalar.IntGreaterThan;(input.maxWidth, size(input.id[..]));0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;size(input.part[])-1 != size(input.id[]);daikon.inv.binary.twoScalar.IntNonEqual;(size(input.part[..])-1, size(input.id[..]));0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::ENTER;size(input.part[])-1 % size(input.id[]) == 0;daikon.inv.binary.twoScalar.NumericInt$Divides;(size(input.part[..])-1, size(input.id[..]));0;0;1;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.contentDetails.contentRating.djctqRatingReasons == return.suggestions.editorSuggestions;daikon.inv.binary.twoScalar.IntEqual;(return.contentDetails.contentRating.djctqRatingReasons, return.suggestions.editorSuggestions);0;1;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.contentDetails.contentRating.fpbRatingReasons == return.suggestions.editorSuggestions;daikon.inv.binary.twoScalar.IntEqual;(return.contentDetails.contentRating.fpbRatingReasons, return.suggestions.editorSuggestions);0;1;0;0
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.contentDetails.countryRestriction.exception == return.suggestions.editorSuggestions;daikon.inv.binary.twoScalar.IntEqual;(return.contentDetails.countryRestriction.exception, return.suggestions.editorSuggestions);0;1;0;0
