ID;pptname;invariant;invariantType;variables;tp;fp;enter;bug
0;main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.contentDetails.contentRating.djctqRatingReasons == return.suggestions.editorSuggestions;daikon.inv.binary.twoScalar.IntEqual;(return.contentDetails.contentRating.djctqRatingReasons, return.suggestions.editorSuggestions);0.0;1.0;0.0;0.0
1;main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.contentDetails.contentRating.fpbRatingReasons == return.suggestions.editorSuggestions;daikon.inv.binary.twoScalar.IntEqual;(return.contentDetails.contentRating.fpbRatingReasons, return.suggestions.editorSuggestions);0.0;1.0;0.0;0.0
2;main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.contentDetails.countryRestriction.exception == return.suggestions.editorSuggestions;daikon.inv.binary.twoScalar.IntEqual;(return.contentDetails.countryRestriction.exception, return.suggestions.editorSuggestions);0.0;1.0;0.0;0.0
3;main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.monetizationDetails.access.exception == return.suggestions.editorSuggestions;daikon.inv.binary.twoScalar.IntEqual;(return.monetizationDetails.access.exception, return.suggestions.editorSuggestions);0.0;1.0;0.0;0.0
4;main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.snippet.description == return.snippet.localized.description;daikon.inv.binary.twoString.StringEqual;(return.snippet.description, return.snippet.localized.description);0.0;1.0;0.0;0.0
5;main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.snippet.localized.title == return.snippet.title;daikon.inv.binary.twoString.StringEqual;(return.snippet.localized.title, return.snippet.title);0.0;1.0;0.0;0.0
6;main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.snippet.thumbnails.high.width == return.snippet.thumbnails.standard.height;daikon.inv.binary.twoScalar.IntEqual;(return.snippet.thumbnails.high.width, return.snippet.thumbnails.standard.height);1.0;0.0;0.0;0.0
7;main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.suggestions.editorSuggestions == return.suggestions.processingErrors;daikon.inv.binary.twoScalar.IntEqual;(return.suggestions.editorSuggestions, return.suggestions.processingErrors);1.0;0.0;0.0;0.0
8;main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.suggestions.editorSuggestions == return.suggestions.processingHints;daikon.inv.binary.twoScalar.IntEqual;(return.suggestions.editorSuggestions, return.suggestions.processingHints);1.0;0.0;0.0;0.0
9;main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.suggestions.editorSuggestions == return.suggestions.processingWarnings;daikon.inv.binary.twoScalar.IntEqual;(return.suggestions.editorSuggestions, return.suggestions.processingWarnings);1.0;0.0;0.0;0.0
10;main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.suggestions.editorSuggestions == return.topicDetails.relevantTopicIds;daikon.inv.binary.twoScalar.IntEqual;(return.suggestions.editorSuggestions, return.topicDetails.relevantTopicIds);1.0;0.0;0.0;0.0
11;main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.suggestions.editorSuggestions == return.topicDetails.topicIds;daikon.inv.binary.twoScalar.IntEqual;(return.suggestions.editorSuggestions, return.topicDetails.topicIds);1.0;0.0;0.0;0.0
12;main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;size(input.id[]) == size(return.topicDetails.topicCategories[]);daikon.inv.binary.twoScalar.IntEqual;(size(input.id[..]), size(return.topicDetails.topicCategories[..]));0.0;1.0;0.0;0.0
13;main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT;return.ageGating == null;daikon.inv.unary.scalar.OneOfScalar;(return.ageGating);1.0;0.0;0.0;0.0
