ID;invariantType;classification;GPT_verdict;promptTokens;completionTokens;totalTokens
0;daikon.inv.unary.string.OneOfString;TP;FP;485;202;687
1;daikon.inv.unary.string.OneOfString;TP;TP;486;222;708
2;daikon.inv.binary.twoString.StringEqual;FP;FP;484;143;627
3;daikon.inv.unary.scalar.OneOfScalar;FP;FP;569;108;677
4;daikon.inv.binary.twoScalar.IntEqual;TP;FP;481;281;762
5;daikon.inv.binary.twoScalar.IntEqual;FP;FP;715;245;960
6;daikon.inv.binary.twoString.StringEqual;TP;FP;526;247;773
7;daikon.inv.binary.twoString.StringEqual;TP;FP;506;227;733
8;daikon.inv.binary.twoString.StringEqual;FP;FP;573;197;770
9;daikon.inv.binary.twoString.StringEqual;FP;FP;644;179;823
10;daikon.inv.binary.twoString.StringEqual;FP;FP;493;120;613
11;daikon.inv.binary.twoScalar.IntEqual;FP;FP;460;231;691
12;daikon.inv.binary.twoScalar.IntEqual;FP;FP;497;241;738
13;daikon.inv.binary.twoScalar.IntEqual;FP;FP;504;275;779
14;daikon.inv.binary.twoScalar.IntEqual;FP;FP;505;203;708
15;daikon.inv.binary.twoScalar.IntEqual;FP;FP;741;221;962
16;daikon.inv.binary.twoScalar.IntEqual;FP;FP;615;156;771
17;daikon.inv.binary.twoScalar.IntEqual;FP;FP;719;220;939
18;daikon.inv.unary.string.OneOfString;FP;FP;495;258;753
19;daikon.inv.unary.string.OneOfString;FP;TP;494;104;598
20;daikon.inv.unary.string.OneOfString;FP;FP;440;110;550
21;daikon.inv.unary.scalar.OneOfScalar;FP;FP;440;106;546
22;daikon.inv.unary.string.OneOfString;FP;TP;525;208;733
23;daikon.inv.unary.scalar.NonZero;TP;TP;389;204;593
24;daikon.inv.unary.scalar.NonZero;FP;FP;439;204;643
25;daikon.inv.unary.scalar.OneOfScalar;FP;FP;496;113;609
26;daikon.inv.unary.scalar.NonZero;TP;TP;428;202;630
27;daikon.inv.unary.scalar.NonZero;TP;FP;391;227;618
28;daikon.inv.unary.scalar.OneOfScalar;FP;FP;475;209;684
29;daikon.inv.unary.scalar.NonZero;TP;FP;395;210;605
30;daikon.inv.unary.sequence.EltNonZero;TP;FP;642;212;854
31;daikon.inv.unary.scalar.OneOfScalar;FP;FP;507;252;759
32;daikon.inv.unary.string.OneOfString;FP;FP;496;283;779
33;daikon.inv.unary.sequence.EltNonZero;TP;FP;600;240;840
34;daikon.inv.unary.scalar.NonZero;FP;FP;396;203;599
35;daikon.inv.unary.string.OneOfString;FP;TP;505;243;748
36;daikon.inv.unary.stringsequence.OneOfStringSequence;FP;FP;681;229;910
37;daikon.inv.unary.stringsequence.EltOneOfString;FP;TP;694;219;913
38;daikon.inv.unary.stringsequence.OneOfStringSequence;FP;FP;592;91;683
39;daikon.inv.unary.stringsequence.EltOneOfString;FP;TP;711;233;944
40;daikon.inv.unary.stringsequence.OneOfStringSequence;FP;FP;701;282;983
41;daikon.inv.unary.scalar.OneOfScalar;FP;TP;459;234;693
42;daikon.inv.unary.scalar.OneOfScalar;FP;FP;494;249;743
43;daikon.inv.unary.scalar.OneOfScalar;FP;FP;555;202;757
44;daikon.inv.unary.scalar.OneOfScalar;FP;FP;442;187;629
45;daikon.inv.unary.string.OneOfString;TP;FP;474;113;587
46;daikon.inv.unary.scalar.OneOfScalar;FP;TP;469;234;703
47;daikon.inv.unary.string.OneOfString;FP;TP;514;199;713
48;daikon.inv.unary.scalar.OneOfScalar;FP;TP;434;208;642
49;daikon.inv.unary.scalar.OneOfScalar;FP;FP;477;229;706
50;daikon.inv.unary.scalar.OneOfScalar;FP;FP;477;196;673
51;daikon.inv.unary.scalar.OneOfScalar;FP;FP;667;49;716
52;daikon.inv.unary.scalar.LowerBound;TP;TP;588;195;783
53;daikon.inv.unary.scalar.OneOfScalar;FP;FP;678;242;920
54;daikon.inv.unary.scalar.OneOfScalar;FP;FP;562;272;834
55;daikon.inv.unary.scalar.OneOfScalar;FP;TP;690;243;933
56;daikon.inv.unary.scalar.OneOfScalar;FP;FP;723;267;990
57;daikon.inv.unary.scalar.OneOfScalar;FP;FP;725;267;992
58;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;692;283;975
59;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;583;54;637
60;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;709;197;906
61;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;508;236;744
62;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;676;109;785
63;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;678;123;801
64;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;636;225;861
65;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;695;225;920
66;daikon.inv.binary.sequenceString.MemberString;FP;FP;572;258;830
67;daikon.inv.binary.sequenceString.MemberString;FP;FP;700;209;909
68;daikon.inv.binary.sequenceString.MemberString;FP;TP;579;222;801
69;daikon.inv.binary.sequenceString.MemberString;FP;FP;707;234;941
70;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;718;100;818
71;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;609;286;895
72;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;735;105;840
73;daikon.inv.binary.sequenceString.MemberString;FP;FP;634;258;892
74;daikon.inv.binary.sequenceString.MemberString;FP;FP;762;271;1033
75;daikon.inv.binary.sequenceString.MemberString;FP;FP;588;254;842
76;daikon.inv.binary.sequenceString.MemberString;FP;FP;716;150;866
77;daikon.inv.binary.sequenceString.MemberString;FP;FP;595;250;845
78;daikon.inv.binary.sequenceString.MemberString;FP;FP;578;208;786
79;daikon.inv.binary.sequenceString.MemberString;FP;FP;620;55;675
80;daikon.inv.binary.sequenceString.MemberString;FP;FP;723;260;983
81;daikon.inv.binary.sequenceString.MemberString;FP;FP;706;195;901
82;daikon.inv.binary.sequenceString.MemberString;FP;FP;748;291;1039
83;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;689;144;833
84;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;580;276;856
85;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;706;197;903
86;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;710;254;964
87;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;777;94;871
88;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;903;285;1188
89;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;827;139;966
90;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;907;136;1043
91;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;733;264;997
92;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;861;136;997
93;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;737;293;1030
94;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;865;116;981
95;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;718;242;960
96;daikon.inv.unary.string.OneOfString;TP;TP;416;224;640
97;daikon.inv.unary.sequence.EltNonZero;TP;TP;785;233;1018
98;daikon.inv.unary.scalar.NonZero;TP;TP;383;185;568
99;daikon.inv.unary.string.OneOfString;TP;FP;425;221;646
100;daikon.inv.unary.scalar.LowerBound;TP;TP;773;223;996
101;daikon.inv.binary.sequenceString.MemberString;TP;TP;501;174;675
102;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;835;288;1123
103;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;821;124;945
104;daikon.inv.binary.twoScalar.FloatNonEqual;FP;TP;412;160;572
105;daikon.inv.unary.scalar.NonZero;TP;FP;389;229;618
106;daikon.inv.unary.sequence.EltNonZero;TP;FP;399;80;479
107;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;FP;444;115;559
108;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;FP;448;124;572
109;daikon.inv.unary.string.IsNumeric;TP;FP;423;202;625
110;daikon.inv.unary.string.FixedLengthString;TP;FP;464;225;689
111;daikon.inv.unary.string.FixedLengthString;FP;FP;447;229;676
112;daikon.inv.unary.string.IsNumeric;TP;FP;441;190;631
113;daikon.inv.unary.string.dates.IsDateYYYYMMDD;TP;FP;521;250;771
114;daikon.inv.unary.string.dates.IsDateYYYYMMDD;TP;FP;521;193;714
115;daikon.inv.unary.string.IsNumeric;TP;FP;474;126;600
116;daikon.inv.unary.string.IsNumeric;TP;FP;463;143;606
117;daikon.inv.unary.string.FixedLengthString;TP;FP;473;227;700
118;daikon.inv.unary.string.dates.IsDateYYYYMMDD;TP;FP;481;226;707
119;daikon.inv.unary.string.dates.IsDateYYYYMMDD;TP;FP;480;236;716
120;daikon.inv.unary.string.FixedLengthString;FP;FP;408;182;590
121;daikon.inv.unary.string.IsNumeric;TP;FP;402;227;629
122;daikon.inv.unary.string.FixedLengthString;TP;TP;615;239;854
123;daikon.inv.unary.string.FixedLengthString;TP;FP;464;238;702
124;daikon.inv.unary.string.FixedLengthString;TP;FP;462;272;734
125;daikon.inv.unary.string.IsNumeric;TP;TP;419;218;637
126;daikon.inv.unary.string.FixedLengthString;FP;FP;491;244;735
127;daikon.inv.unary.string.FixedLengthString;TP;TP;484;211;695
128;daikon.inv.unary.string.FixedLengthString;TP;FP;456;226;682
129;daikon.inv.unary.string.FixedLengthString;TP;FP;420;195;615
130;daikon.inv.unary.string.IsNumeric;TP;FP;412;212;624
131;daikon.inv.unary.string.IsNumeric;TP;FP;401;180;581
132;daikon.inv.unary.string.IsNumeric;TP;FP;452;200;652
133;daikon.inv.unary.stringsequence.SequenceFixedLengthString;TP;TP;536;255;791
134;daikon.inv.unary.stringsequence.SequenceFixedLengthString;FP;FP;664;272;936
135;daikon.inv.unary.stringsequence.SequenceFixedLengthString;TP;TP;543;247;790
136;daikon.inv.unary.string.FixedLengthString;TP;FP;447;262;709
137;daikon.inv.unary.string.IsNumeric;TP;FP;424;198;622
138;daikon.inv.unary.string.FixedLengthString;TP;FP;547;206;753
139;daikon.inv.unary.string.IsUrl;TP;TP;461;209;670
140;daikon.inv.binary.twoString.StdString$SubString;TP;FP;557;236;793
141;daikon.inv.binary.twoString.StdString$SubString;TP;FP;562;193;755
142;daikon.inv.binary.twoString.StdString$SubString;FP;FP;489;232;721
