ID;invariantType;classification;GPT_verdict;promptTokens;completionTokens;totalTokens
0;daikon.inv.unary.string.OneOfString;TP;TP;482;298;780
1;daikon.inv.unary.string.OneOfString;TP;TP;482;321;803
2;daikon.inv.binary.twoString.StringEqual;FP;FP;480;375;855
3;daikon.inv.unary.scalar.OneOfScalar;FP;FP;566;435;1001
4;daikon.inv.binary.twoScalar.IntEqual;TP;FP;475;452;927
5;daikon.inv.binary.twoScalar.IntEqual;FP;FP;708;451;1159
6;daikon.inv.binary.twoString.StringEqual;TP;FP;521;382;903
7;daikon.inv.binary.twoString.StringEqual;TP;FP;502;468;970
8;daikon.inv.binary.twoString.StringEqual;FP;FP;565;416;981
9;daikon.inv.binary.twoString.StringEqual;FP;FP;637;392;1029
10;daikon.inv.binary.twoString.StringEqual;FP;FP;487;378;865
11;daikon.inv.binary.twoScalar.IntEqual;FP;FP;456;330;786
12;daikon.inv.binary.twoScalar.IntEqual;FP;FP;493;354;847
13;daikon.inv.binary.twoScalar.IntEqual;FP;FP;499;394;893
14;daikon.inv.binary.twoScalar.IntEqual;FP;FP;501;392;893
15;daikon.inv.binary.twoScalar.IntEqual;FP;FP;734;414;1148
16;daikon.inv.binary.twoScalar.IntEqual;FP;FP;612;382;994
17;daikon.inv.binary.twoScalar.IntEqual;FP;FP;714;387;1101
18;daikon.inv.unary.string.OneOfString;FP;FP;492;382;874
19;daikon.inv.unary.string.OneOfString;FP;FP;491;304;795
20;daikon.inv.unary.string.OneOfString;FP;FP;436;386;822
21;daikon.inv.unary.scalar.OneOfScalar;FP;FP;436;342;778
22;daikon.inv.unary.string.OneOfString;FP;FP;522;338;860
23;daikon.inv.unary.scalar.NonZero;TP;FP;385;351;736
24;daikon.inv.unary.scalar.NonZero;FP;FP;435;319;754
25;daikon.inv.unary.scalar.OneOfScalar;FP;FP;492;321;813
26;daikon.inv.unary.scalar.NonZero;TP;FP;424;316;740
27;daikon.inv.unary.scalar.NonZero;TP;FP;386;359;745
28;daikon.inv.unary.scalar.OneOfScalar;FP;FP;470;387;857
29;daikon.inv.unary.scalar.NonZero;TP;FP;391;356;747
30;daikon.inv.unary.sequence.EltNonZero;TP;FP;636;383;1019
31;daikon.inv.unary.scalar.OneOfScalar;FP;FP;503;413;916
32;daikon.inv.unary.string.OneOfString;FP;FP;493;319;812
33;daikon.inv.unary.sequence.EltNonZero;TP;FP;597;430;1027
34;daikon.inv.unary.scalar.NonZero;FP;FP;392;388;780
35;daikon.inv.unary.string.OneOfString;FP;FP;501;300;801
36;daikon.inv.unary.stringsequence.OneOfStringSequence;FP;FP;676;258;934
37;daikon.inv.unary.stringsequence.EltOneOfString;FP;FP;689;332;1021
38;daikon.inv.unary.stringsequence.OneOfStringSequence;FP;FP;589;415;1004
39;daikon.inv.unary.stringsequence.EltOneOfString;FP;FP;705;343;1048
40;daikon.inv.unary.stringsequence.OneOfStringSequence;FP;FP;695;384;1079
41;daikon.inv.unary.scalar.OneOfScalar;FP;FP;455;402;857
42;daikon.inv.unary.scalar.OneOfScalar;FP;FP;490;406;896
43;daikon.inv.unary.scalar.OneOfScalar;FP;FP;552;415;967
44;daikon.inv.unary.scalar.OneOfScalar;FP;FP;438;332;770
45;daikon.inv.unary.string.OneOfString;TP;TP;472;343;815
46;daikon.inv.unary.scalar.OneOfScalar;FP;FP;467;352;819
47;daikon.inv.unary.string.OneOfString;FP;FP;511;324;835
48;daikon.inv.unary.scalar.OneOfScalar;FP;FP;432;337;769
49;daikon.inv.unary.scalar.OneOfScalar;FP;FP;475;376;851
50;daikon.inv.unary.scalar.OneOfScalar;FP;FP;475;384;859
51;daikon.inv.unary.scalar.OneOfScalar;FP;FP;661;331;992
52;daikon.inv.unary.scalar.LowerBound;TP;FP;585;341;926
53;daikon.inv.unary.scalar.OneOfScalar;FP;FP;672;282;954
54;daikon.inv.unary.scalar.OneOfScalar;FP;FP;558;374;932
55;daikon.inv.unary.scalar.OneOfScalar;FP;FP;683;378;1061
56;daikon.inv.unary.scalar.OneOfScalar;FP;FP;719;405;1124
57;daikon.inv.unary.scalar.OneOfScalar;FP;FP;721;400;1121
58;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;686;504;1190
59;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;580;468;1048
60;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;703;406;1109
61;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;505;416;921
62;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;671;405;1076
63;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;673;521;1194
64;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;634;540;1174
65;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;690;430;1120
66;daikon.inv.binary.sequenceString.MemberString;FP;FP;567;457;1024
67;daikon.inv.binary.sequenceString.MemberString;FP;FP;692;485;1177
68;daikon.inv.binary.sequenceString.MemberString;FP;FP;573;452;1025
69;daikon.inv.binary.sequenceString.MemberString;FP;FP;698;396;1094
70;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;712;517;1229
71;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;606;484;1090
72;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;729;450;1179
73;daikon.inv.binary.sequenceString.MemberString;FP;FP;629;405;1034
74;daikon.inv.binary.sequenceString.MemberString;FP;FP;754;488;1242
75;daikon.inv.binary.sequenceString.MemberString;FP;FP;585;459;1044
76;daikon.inv.binary.sequenceString.MemberString;FP;FP;710;404;1114
77;daikon.inv.binary.sequenceString.MemberString;FP;FP;591;453;1044
78;daikon.inv.binary.sequenceString.MemberString;FP;FP;573;448;1021
79;daikon.inv.binary.sequenceString.MemberString;FP;FP;615;444;1059
80;daikon.inv.binary.sequenceString.MemberString;FP;FP;716;369;1085
81;daikon.inv.binary.sequenceString.MemberString;FP;FP;698;435;1133
82;daikon.inv.binary.sequenceString.MemberString;FP;FP;740;419;1159
83;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;682;463;1145
84;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;576;494;1070
85;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;699;467;1166
86;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;703;503;1206
87;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;772;496;1268
88;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;895;365;1260
89;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;822;435;1257
90;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;899;447;1346
91;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;731;484;1215
92;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;856;543;1399
93;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;735;399;1134
94;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;860;464;1324
95;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;714;464;1178
96;daikon.inv.unary.string.OneOfString;TP;FP;413;294;707
97;daikon.inv.unary.sequence.EltNonZero;TP;FP;789;369;1158
98;daikon.inv.unary.scalar.NonZero;TP;FP;378;343;721
99;daikon.inv.unary.string.OneOfString;TP;FP;421;302;723
100;daikon.inv.unary.scalar.LowerBound;TP;FP;777;360;1137
101;daikon.inv.binary.sequenceString.MemberString;TP;FP;493;415;908
102;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;839;456;1295
103;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;826;501;1327
104;daikon.inv.binary.twoScalar.FloatNonEqual;FP;FP;406;342;748
105;daikon.inv.unary.scalar.NonZero;TP;TP;385;407;792
106;daikon.inv.unary.sequence.EltNonZero;TP;FP;395;350;745
107;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;FP;439;457;896
108;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;FP;443;389;832
109;daikon.inv.unary.string.IsNumeric;TP;FP;419;364;783
110;daikon.inv.unary.string.FixedLengthString;TP;FP;461;325;786
111;daikon.inv.unary.string.FixedLengthString;FP;FP;443;321;764
112;daikon.inv.unary.string.IsNumeric;TP;FP;437;260;697
113;daikon.inv.unary.string.dates.IsDateYYYYMMDD;TP;FP;516;345;861
114;daikon.inv.unary.string.dates.IsDateYYYYMMDD;TP;FP;516;295;811
115;daikon.inv.unary.string.IsNumeric;TP;FP;470;306;776
116;daikon.inv.unary.string.IsNumeric;TP;FP;460;415;875
117;daikon.inv.unary.string.FixedLengthString;TP;FP;470;384;854
118;daikon.inv.unary.string.dates.IsDateYYYYMMDD;TP;FP;473;378;851
119;daikon.inv.unary.string.dates.IsDateYYYYMMDD;TP;FP;472;410;882
120;daikon.inv.unary.string.FixedLengthString;FP;TP;404;330;734
121;daikon.inv.unary.string.IsNumeric;TP;FP;398;369;767
122;daikon.inv.unary.string.FixedLengthString;TP;TP;609;338;947
123;daikon.inv.unary.string.FixedLengthString;TP;TP;459;337;796
124;daikon.inv.unary.string.FixedLengthString;TP;TP;458;289;747
125;daikon.inv.unary.string.IsNumeric;TP;FP;415;337;752
126;daikon.inv.unary.string.FixedLengthString;FP;FP;487;618;1105
127;daikon.inv.unary.string.FixedLengthString;TP;TP;480;403;883
128;daikon.inv.unary.string.FixedLengthString;TP;FP;452;371;823
129;daikon.inv.unary.string.FixedLengthString;TP;FP;416;313;729
130;daikon.inv.unary.string.IsNumeric;TP;FP;407;319;726
131;daikon.inv.unary.string.IsNumeric;TP;FP;397;274;671
132;daikon.inv.unary.string.IsNumeric;TP;FP;449;369;818
133;daikon.inv.unary.stringsequence.SequenceFixedLengthString;TP;TP;533;322;855
134;daikon.inv.unary.stringsequence.SequenceFixedLengthString;FP;FP;658;308;966
135;daikon.inv.unary.stringsequence.SequenceFixedLengthString;TP;TP;539;320;859
136;daikon.inv.unary.string.FixedLengthString;TP;FP;444;379;823
137;daikon.inv.unary.string.IsNumeric;TP;FP;420;370;790
