System;Operation;API-Operation;GPT_Model;TP;TN;FP;FN;count;accuracy;precision;recall;f1score
AmadeusHotel;getMultiHotelOffers;AmadeusHotel-getMultiHotelOffers;GPT-3.5;19;166;27;64;276;0.6702898550724637;0.41304347826086957;0.2289156626506024;0.29457364341085274
GitHub;createOrganizationRepository;GitHub-createOrganizationRepository;GPT-3.5;33;3;1;167;204;0.17647058823529413;0.9705882352941176;0.165;0.28205128205128205
GitHub;getOrganizationRepositories;GitHub-getOrganizationRepositories;GPT-3.5;18;34;2;119;173;0.30057803468208094;0.9;0.13138686131386862;0.22929936305732485
Marvel;getComicById;Marvel-getComicById;GPT-3.5;25;203;15;76;319;0.7147335423197492;0.625;0.24752475247524752;0.3546099290780142
OMDb;ByIdOrTitle;OMDb-ByIdOrTitle;GPT-3.5;5;4;0;10;19;0.47368421052631576;1.0;0.3333333333333333;0.5
OMDb;BySearch;OMDb-BySearch;GPT-3.5;5;2;1;3;11;0.6363636363636364;0.8333333333333334;0.625;0.7142857142857143
Spotify;createPlaylist;Spotify-createPlaylist;GPT-3.5;10;0;0;38;48;0.20833333333333334;1.0;0.20833333333333334;0.3448275862068966
Spotify;getAlbumTracks;Spotify-getAlbumTracks;GPT-3.5;19;34;4;46;103;0.5145631067961165;0.8260869565217391;0.2923076923076923;0.4318181818181818
Spotify;getArtistAlbums;Spotify-getArtistAlbums;GPT-3.5;24;23;8;32;87;0.5402298850574713;0.75;0.42857142857142855;0.5454545454545454
Yelp;getBusinesses;Yelp-getBusinesses;GPT-3.5;7;57;8;17;89;0.7191011235955056;0.4666666666666667;0.2916666666666667;0.358974358974359
YouTube;listVideos;YouTube-listVideos;GPT-3.5;30;240;30;102;402;0.6716417910447762;0.5;0.22727272727272727;0.3125
