invariantType;GPT_Model;TP;TN;FP;FN;count;accuracy;precision;recall;f1score
daikon.inv.unary.scalar.NonZeroFloat;GPT-3.5;0;3;3;0;6;0.5;0.0;NaN;0.0
daikon.inv.binary.twoScalar.FloatNonEqual;GPT-3.5;0;6;2;0;8;0.75;0.0;NaN;0.0
daikon.inv.unary.scalar.LowerBound;GPT-3.5;28;2;8;4;42;0.7142857142857143;0.7777777777777778;0.875;0.8235294117647058
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm;GPT-3.5;3;0;0;9;12;0.25;1.0;0.25;0.4
daikon.inv.binary.twoString.StringEqual;GPT-3.5;10;11;1;25;47;0.44680851063829785;0.9090909090909091;0.2857142857142857;0.43478260869565216
daikon.inv.binary.twoScalar.IntNonEqual;GPT-3.5;0;143;5;2;150;0.9533333333333334;0.0;0.0;0.0
daikon.inv.unary.sequence.EltNonZero;GPT-3.5;7;1;0;20;28;0.2857142857142857;1.0;0.25925925925925924;0.4117647058823529
daikon.inv.binary.twoScalar.FloatLessThan;GPT-3.5;0;2;0;0;2;1.0;NaN;NaN;NaN
daikon.inv.unary.scalar.OneOfFloat;GPT-3.5;0;2;0;1;3;0.6666666666666666;NaN;0.0;0.0
daikon.inv.binary.twoSequence.SuperSet;GPT-3.5;0;3;0;0;3;1.0;NaN;NaN;NaN
daikon.inv.binary.twoScalar.IntGreaterThan;GPT-3.5;0;118;15;18;151;0.7814569536423841;0.0;0.0;0.0
daikon.inv.unary.scalar.OneOfScalar;GPT-3.5;5;28;8;35;76;0.4342105263157895;0.38461538461538464;0.125;0.18867924528301888
daikon.inv.binary.twoScalar.NumericInt$Square;GPT-3.5;0;2;0;0;2;1.0;NaN;NaN;NaN
daikon.inv.unary.string.OneOfString;GPT-3.5;21;21;12;24;78;0.5384615384615384;0.6363636363636364;0.4666666666666667;0.5384615384615384
daikon.inv.unary.sequence.OneOfSequence;GPT-3.5;0;2;0;2;4;0.5;NaN;0.0;0.0
daikon.inv.unary.stringsequence.OneOfStringSequence;GPT-3.5;0;4;1;1;6;0.6666666666666666;0.0;0.0;0.0
daikon.inv.unary.string.IsNumeric;GPT-3.5;2;1;0;28;31;0.0967741935483871;1.0;0.06666666666666667;0.125
daikon.inv.unary.stringsequence.EltOneOfString;GPT-3.5;0;1;3;1;5;0.2;0.0;0.0;0.0
daikon.inv.binary.twoScalar.IntLessThan;GPT-3.5;0;25;2;11;38;0.6578947368421053;0.0;0.0;0.0
daikon.inv.binary.twoScalar.FloatGreaterThan;GPT-3.5;0;1;0;0;1;1.0;NaN;NaN;NaN
daikon.inv.unary.scalar.LowerBoundFloat;GPT-3.5;1;1;0;1;3;0.6666666666666666;1.0;0.5;0.6666666666666666
daikon.inv.binary.twoScalar.NumericInt$Divides;GPT-3.5;0;61;7;0;68;0.8970588235294118;0.0;NaN;0.0
daikon.inv.binary.twoScalar.IntGreaterEqual;GPT-3.5;9;130;12;9;160;0.86875;0.42857142857142855;0.5;0.46153846153846156
daikon.inv.unary.stringsequence.SequenceFixedLengthString;GPT-3.5;2;1;0;4;7;0.42857142857142855;1.0;0.3333333333333333;0.5
daikon.inv.binary.twoScalar.IntLessEqual;GPT-3.5;0;57;6;2;65;0.8769230769230769;0.0;0.0;0.0
daikon.inv.unary.string.dates.IsDateYYYYMMDD;GPT-3.5;0;0;0;4;4;0.0;NaN;0.0;0.0
daikon.inv.unary.string.IsUrl;GPT-3.5;31;0;0;119;150;0.20666666666666667;1.0;0.20666666666666667;0.3425414364640884
daikon.inv.binary.sequenceString.MemberString;GPT-3.5;4;87;7;3;101;0.900990099009901;0.36363636363636365;0.5714285714285714;0.4444444444444444
daikon.inv.binary.twoString.StdString$SubString;GPT-3.5;15;9;0;178;202;0.1188118811881188;1.0;0.07772020725388601;0.14423076923076922
daikon.inv.unary.string.FixedLengthString;GPT-3.5;7;12;0;96;115;0.16521739130434782;1.0;0.06796116504854369;0.12727272727272726
daikon.inv.binary.twoScalar.IntEqual;GPT-3.5;16;28;4;48;96;0.4583333333333333;0.8;0.25;0.38095238095238093
daikon.inv.binary.sequenceScalar.SeqIntEqual;GPT-3.5;0;0;0;1;1;0.0;NaN;0.0;0.0
daikon.inv.unary.scalar.NonZero;GPT-3.5;34;4;0;27;65;0.5846153846153846;1.0;0.5573770491803278;0.7157894736842105
daikon.inv.unary.stringsequence.SequenceStringElementsAreUrl;GPT-3.5;0;0;0;1;1;0.0;NaN;0.0;0.0
