systemOperation;ID;invariantType;invariantCategory;systemOperation-InvariantType;systemOperation-InvariantCategory;classification;GPT_verdict;result;promptTokens;completionTokens;totalTokens;GPT_Model
Marvel_getComicById;0;daikon.inv.unary.string.OneOfString;Specific values;Marvel_getComicById-daikon.inv.unary.string.OneOfString;Marvel_getComicById-Specific values;FP;FP;TN;520;200;720;GPT-3.5
Marvel_getComicById;1;daikon.inv.unary.string.OneOfString;Specific values;Marvel_getComicById-daikon.inv.unary.string.OneOfString;Marvel_getComicById-Specific values;TP;FP;FN;537;26;563;GPT-3.5
Marvel_getComicById;2;daikon.inv.unary.scalar.LowerBoundFloat;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.LowerBoundFloat;Marvel_getComicById-Specific values;TP;TP;TP;494;245;739;GPT-3.5
Marvel_getComicById;3;daikon.inv.unary.string.OneOfString;Specific values;Marvel_getComicById-daikon.inv.unary.string.OneOfString;Marvel_getComicById-Specific values;FP;TP;FP;554;189;743;GPT-3.5
Marvel_getComicById;4;daikon.inv.unary.string.OneOfString;Specific values;Marvel_getComicById-daikon.inv.unary.string.OneOfString;Marvel_getComicById-Specific values;FP;FP;TN;533;207;740;GPT-3.5
Marvel_getComicById;5;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;TP;TP;TP;501;250;751;GPT-3.5
Marvel_getComicById;6;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;TP;TP;TP;568;267;835;GPT-3.5
Marvel_getComicById;7;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;522;233;755;GPT-3.5
Marvel_getComicById;8;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;573;248;821;GPT-3.5
Marvel_getComicById;9;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;FP;TP;FP;524;214;738;GPT-3.5
Marvel_getComicById;10;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;576;219;795;GPT-3.5
Marvel_getComicById;11;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;522;267;789;GPT-3.5
Marvel_getComicById;12;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;577;90;667;GPT-3.5
Marvel_getComicById;13;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;FP;TP;FP;556;203;759;GPT-3.5
Marvel_getComicById;14;daikon.inv.unary.scalar.LowerBound;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.LowerBound;Marvel_getComicById-Specific values;TP;TP;TP;484;261;745;GPT-3.5
Marvel_getComicById;15;daikon.inv.unary.scalar.LowerBoundFloat;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.LowerBoundFloat;Marvel_getComicById-Specific values;FP;FP;TN;482;255;737;GPT-3.5
Marvel_getComicById;16;daikon.inv.unary.string.OneOfString;Specific values;Marvel_getComicById-daikon.inv.unary.string.OneOfString;Marvel_getComicById-Specific values;FP;TP;FP;530;178;708;GPT-3.5
Marvel_getComicById;17;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;544;211;755;GPT-3.5
Marvel_getComicById;18;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;FP;FN;554;117;671;GPT-3.5
Marvel_getComicById;19;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;TP;TP;516;187;703;GPT-3.5
Marvel_getComicById;20;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;FP;FN;526;201;727;GPT-3.5
