System;Operation;API-Operation;GPT_Model;TP;TN;FP;FN;count;accuracy;precision;recall;f1score
AmadeusHotel;getMultiHotelOffers;AmadeusHotel-getMultiHotelOffers;GPT-4o-mini;14;192;1;69;276;0.7463768115942029;0.9333333333333333;0.1686746987951807;0.2857142857142857
GitHub;createOrganizationRepository;GitHub-createOrganizationRepository;GPT-4o-mini;11;4;0;189;204;0.07352941176470588;1.0;0.055;0.10426540284360189
GitHub;getOrganizationRepositories;GitHub-getOrganizationRepositories;GPT-4o-mini;6;36;0;131;173;0.24277456647398843;1.0;0.043795620437956206;0.08391608391608392
Marvel;getComicById;Marvel-getComicById;GPT-4o-mini;8;215;3;93;319;0.6990595611285266;0.7272727272727273;0.07920792079207921;0.14285714285714285
OMDb;ByIdOrTitle;OMDb-ByIdOrTitle;GPT-4o-mini;0;4;0;15;19;0.21052631578947367;NaN;0.0;0.0
OMDb;BySearch;OMDb-BySearch;GPT-4o-mini;1;3;0;7;11;0.36363636363636365;1.0;0.125;0.2222222222222222
Spotify;createPlaylist;Spotify-createPlaylist;GPT-4o-mini;1;0;0;47;48;0.020833333333333332;1.0;0.020833333333333332;0.04081632653061224
Spotify;getAlbumTracks;Spotify-getAlbumTracks;GPT-4o-mini;5;38;0;60;103;0.4174757281553398;1.0;0.07692307692307693;0.14285714285714285
Spotify;getArtistAlbums;Spotify-getArtistAlbums;GPT-4o-mini;8;31;0;48;87;0.4482758620689655;1.0;0.14285714285714285;0.25
Yelp;getBusinesses;Yelp-getBusinesses;GPT-4o-mini;2;65;0;22;89;0.7528089887640449;1.0;0.08333333333333333;0.15384615384615385
YouTube;listVideos;YouTube-listVideos;GPT-4o-mini;13;270;0;119;402;0.7039800995024875;1.0;0.09848484848484848;0.1793103448275862
