systemOperation;ID;invariantType;invariantCategory;systemOperation-InvariantType;systemOperation-InvariantCategory;classification;GPT_verdict;result;promptTokens;completionTokens;totalTokens;GPT_Model
Marvel_getComicById;0;daikon.inv.unary.string.OneOfString;Specific values;Marvel_getComicById-daikon.inv.unary.string.OneOfString;Marvel_getComicById-Specific values;FP;FP;TN;517;360;877;GPT-4o-mini
Marvel_getComicById;1;daikon.inv.unary.string.OneOfString;Specific values;Marvel_getComicById-daikon.inv.unary.string.OneOfString;Marvel_getComicById-Specific values;TP;FP;FN;534;315;849;GPT-4o-mini
Marvel_getComicById;2;daikon.inv.unary.scalar.LowerBoundFloat;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.LowerBoundFloat;Marvel_getComicById-Specific values;TP;TP;TP;490;344;834;GPT-4o-mini
Marvel_getComicById;3;daikon.inv.unary.string.OneOfString;Specific values;Marvel_getComicById-daikon.inv.unary.string.OneOfString;Marvel_getComicById-Specific values;FP;FP;TN;553;444;997;GPT-4o-mini
Marvel_getComicById;4;daikon.inv.unary.string.OneOfString;Specific values;Marvel_getComicById-daikon.inv.unary.string.OneOfString;Marvel_getComicById-Specific values;FP;FP;TN;530;402;932;GPT-4o-mini
Marvel_getComicById;5;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;497;409;906;GPT-4o-mini
Marvel_getComicById;6;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;562;430;992;GPT-4o-mini
Marvel_getComicById;7;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;518;387;905;GPT-4o-mini
Marvel_getComicById;8;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;569;362;931;GPT-4o-mini
Marvel_getComicById;9;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;520;350;870;GPT-4o-mini
Marvel_getComicById;10;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;572;336;908;GPT-4o-mini
Marvel_getComicById;11;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;518;365;883;GPT-4o-mini
Marvel_getComicById;12;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;573;470;1043;GPT-4o-mini
Marvel_getComicById;13;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;552;467;1019;GPT-4o-mini
Marvel_getComicById;14;daikon.inv.unary.scalar.LowerBound;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.LowerBound;Marvel_getComicById-Specific values;TP;TP;TP;480;290;770;GPT-4o-mini
Marvel_getComicById;15;daikon.inv.unary.scalar.LowerBoundFloat;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.LowerBoundFloat;Marvel_getComicById-Specific values;FP;TP;FP;478;355;833;GPT-4o-mini
Marvel_getComicById;16;daikon.inv.unary.string.OneOfString;Specific values;Marvel_getComicById-daikon.inv.unary.string.OneOfString;Marvel_getComicById-Specific values;FP;FP;TN;529;314;843;GPT-4o-mini
Marvel_getComicById;17;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;539;381;920;GPT-4o-mini
Marvel_getComicById;18;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;FP;FN;549;409;958;GPT-4o-mini
Marvel_getComicById;19;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;512;404;916;GPT-4o-mini
Marvel_getComicById;20;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;FP;FN;522;352;874;GPT-4o-mini
Marvel_getComicById;21;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;456;361;817;GPT-4o-mini
Marvel_getComicById;22;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;522;409;931;GPT-4o-mini
Marvel_getComicById;23;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;FP;FN;532;333;865;GPT-4o-mini
Marvel_getComicById;24;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;520;380;900;GPT-4o-mini
Marvel_getComicById;25;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;FP;FN;530;396;926;GPT-4o-mini
Marvel_getComicById;26;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;528;466;994;GPT-4o-mini
Marvel_getComicById;27;daikon.inv.unary.sequence.OneOfSequence;Specific values;Marvel_getComicById-daikon.inv.unary.sequence.OneOfSequence;Marvel_getComicById-Specific values;FP;FP;TN;553;270;823;GPT-4o-mini
Marvel_getComicById;28;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;512;398;910;GPT-4o-mini
Marvel_getComicById;29;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;FP;FN;522;417;939;GPT-4o-mini
Marvel_getComicById;30;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;514;362;876;GPT-4o-mini
Marvel_getComicById;31;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;FP;FN;524;311;835;GPT-4o-mini
Marvel_getComicById;32;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;456;320;776;GPT-4o-mini
Marvel_getComicById;33;daikon.inv.unary.string.OneOfString;Specific values;Marvel_getComicById-daikon.inv.unary.string.OneOfString;Marvel_getComicById-Specific values;FP;FP;TN;504;306;810;GPT-4o-mini
Marvel_getComicById;34;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;507;382;889;GPT-4o-mini
Marvel_getComicById;35;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;FP;FN;517;405;922;GPT-4o-mini
Marvel_getComicById;36;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;457;330;787;GPT-4o-mini
Marvel_getComicById;37;daikon.inv.unary.scalar.LowerBound;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.LowerBound;Marvel_getComicById-Specific values;TP;TP;TP;492;289;781;GPT-4o-mini
Marvel_getComicById;38;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;536;415;951;GPT-4o-mini
Marvel_getComicById;39;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;FP;FN;546;437;983;GPT-4o-mini
Marvel_getComicById;40;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;456;384;840;GPT-4o-mini
Marvel_getComicById;41;daikon.inv.unary.scalar.LowerBound;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.LowerBound;Marvel_getComicById-Specific values;FP;FP;TN;491;305;796;GPT-4o-mini
Marvel_getComicById;42;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;535;412;947;GPT-4o-mini
Marvel_getComicById;43;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;FP;FN;545;379;924;GPT-4o-mini
Marvel_getComicById;44;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;457;386;843;GPT-4o-mini
Marvel_getComicById;45;daikon.inv.unary.scalar.LowerBound;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.LowerBound;Marvel_getComicById-Specific values;FP;FP;TN;492;342;834;GPT-4o-mini
Marvel_getComicById;46;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;537;397;934;GPT-4o-mini
Marvel_getComicById;47;daikon.inv.unary.sequence.EltNonZero;Array properties;Marvel_getComicById-daikon.inv.unary.sequence.EltNonZero;Marvel_getComicById-Array properties;TP;FP;FN;547;315;862;GPT-4o-mini
Marvel_getComicById;48;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;456;407;863;GPT-4o-mini
Marvel_getComicById;49;daikon.inv.unary.scalar.NonZero;Arithmetic comparisons;Marvel_getComicById-daikon.inv.unary.scalar.NonZero;Marvel_getComicById-Arithmetic comparisons;TP;FP;FN;518;428;946;GPT-4o-mini
Marvel_getComicById;50;daikon.inv.unary.sequence.OneOfSequence;Specific values;Marvel_getComicById-daikon.inv.unary.sequence.OneOfSequence;Marvel_getComicById-Specific values;FP;FP;TN;543;315;858;GPT-4o-mini
Marvel_getComicById;51;daikon.inv.unary.scalar.OneOfScalar;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.OneOfScalar;Marvel_getComicById-Specific values;FP;FP;TN;574;398;972;GPT-4o-mini
Marvel_getComicById;52;daikon.inv.unary.scalar.OneOfScalar;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.OneOfScalar;Marvel_getComicById-Specific values;FP;FP;TN;555;423;978;GPT-4o-mini
Marvel_getComicById;53;daikon.inv.unary.scalar.OneOfScalar;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.OneOfScalar;Marvel_getComicById-Specific values;FP;FP;TN;547;357;904;GPT-4o-mini
Marvel_getComicById;54;daikon.inv.unary.scalar.OneOfScalar;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.OneOfScalar;Marvel_getComicById-Specific values;TP;FP;FN;546;308;854;GPT-4o-mini
Marvel_getComicById;55;daikon.inv.binary.twoScalar.IntNonEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntNonEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;515;378;893;GPT-4o-mini
Marvel_getComicById;56;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;501;446;947;GPT-4o-mini
Marvel_getComicById;57;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;527;508;1035;GPT-4o-mini
Marvel_getComicById;58;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;518;432;950;GPT-4o-mini
Marvel_getComicById;59;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;526;485;1011;GPT-4o-mini
Marvel_getComicById;60;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;527;494;1021;GPT-4o-mini
Marvel_getComicById;61;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;526;446;972;GPT-4o-mini
Marvel_getComicById;62;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;572;409;981;GPT-4o-mini
Marvel_getComicById;63;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;545;403;948;GPT-4o-mini
Marvel_getComicById;64;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;555;395;950;GPT-4o-mini
Marvel_getComicById;65;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;553;439;992;GPT-4o-mini
Marvel_getComicById;66;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;545;434;979;GPT-4o-mini
Marvel_getComicById;67;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;547;456;1003;GPT-4o-mini
Marvel_getComicById;68;daikon.inv.binary.twoScalar.IntGreaterThan;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterThan;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;540;430;970;GPT-4o-mini
Marvel_getComicById;69;daikon.inv.binary.twoScalar.IntNonEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntNonEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;528;450;978;GPT-4o-mini
Marvel_getComicById;70;daikon.inv.binary.twoScalar.IntNonEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntNonEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;529;468;997;GPT-4o-mini
Marvel_getComicById;71;daikon.inv.binary.twoScalar.IntGreaterEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntGreaterEqual;Marvel_getComicById-Arithmetic comparisons;FP;FP;TN;528;422;950;GPT-4o-mini
