ID;invariantType;classification;GPT_verdict;promptTokens;completionTokens;totalTokens
0;daikon.inv.binary.twoString.StringEqual;TP;FP;640;241;881
1;daikon.inv.binary.twoString.StringEqual;TP;TP;640;178;818
2;daikon.inv.binary.twoString.StringEqual;TP;FP;623;193;816
3;daikon.inv.binary.twoString.StringEqual;TP;TP;627;176;803
4;daikon.inv.binary.twoString.StringEqual;TP;TP;773;214;987
5;daikon.inv.binary.twoScalar.IntEqual;TP;TP;643;207;850
6;daikon.inv.binary.twoScalar.IntEqual;TP;FP;680;256;936
7;daikon.inv.binary.twoScalar.IntEqual;TP;TP;649;215;864
8;daikon.inv.binary.twoScalar.IntEqual;TP;TP;657;225;882
9;daikon.inv.binary.twoString.StringEqual;TP;FP;706;216;922
10;daikon.inv.binary.twoScalar.IntEqual;TP;TP;665;180;845
11;daikon.inv.binary.twoScalar.IntEqual;TP;TP;660;238;898
12;daikon.inv.binary.twoScalar.IntEqual;TP;FP;664;276;940
13;daikon.inv.binary.twoScalar.IntEqual;TP;TP;664;106;770
14;daikon.inv.binary.twoString.StringEqual;TP;FP;621;304;925
15;daikon.inv.binary.twoString.StringEqual;TP;TP;621;192;813
16;daikon.inv.binary.twoString.StringEqual;TP;TP;613;202;815
17;daikon.inv.binary.twoString.StringEqual;TP;FP;613;253;866
18;daikon.inv.binary.twoScalar.IntEqual;TP;FP;615;257;872
19;daikon.inv.binary.twoScalar.IntEqual;TP;FP;618;198;816
20;daikon.inv.binary.twoScalar.IntEqual;TP;FP;615;216;831
21;daikon.inv.binary.twoScalar.IntEqual;TP;FP;612;190;802
22;daikon.inv.binary.twoScalar.IntEqual;TP;FP;616;239;855
23;daikon.inv.binary.twoScalar.IntEqual;TP;FP;609;122;731
24;daikon.inv.binary.twoScalar.IntEqual;TP;FP;608;217;825
25;daikon.inv.binary.twoScalar.IntEqual;TP;FP;608;195;803
26;daikon.inv.binary.twoScalar.IntEqual;TP;FP;607;226;833
27;daikon.inv.binary.twoScalar.IntEqual;TP;FP;617;215;832
28;daikon.inv.binary.twoScalar.IntEqual;TP;FP;634;200;834
29;daikon.inv.binary.twoScalar.IntEqual;TP;FP;634;221;855
30;daikon.inv.binary.twoScalar.IntEqual;TP;FP;636;84;720
31;daikon.inv.binary.twoScalar.IntEqual;TP;FP;634;210;844
32;daikon.inv.binary.twoScalar.IntEqual;TP;FP;636;215;851
33;daikon.inv.binary.twoScalar.IntEqual;TP;FP;611;230;841
34;daikon.inv.binary.twoString.StringEqual;TP;FP;623;194;817
35;daikon.inv.binary.twoString.StringEqual;TP;FP;677;244;921
36;daikon.inv.binary.twoString.StringEqual;TP;FP;693;243;936
37;daikon.inv.binary.twoString.StringEqual;TP;FP;613;206;819
38;daikon.inv.binary.twoString.StringEqual;TP;FP;614;211;825
39;daikon.inv.binary.twoString.StringEqual;TP;FP;679;233;912
40;daikon.inv.binary.twoString.StringEqual;TP;FP;685;223;908
41;daikon.inv.binary.twoString.StringEqual;TP;FP;685;212;897
42;daikon.inv.binary.twoString.StringEqual;TP;FP;687;192;879
43;daikon.inv.binary.twoString.StringEqual;TP;FP;675;211;886
44;daikon.inv.binary.twoString.StringEqual;TP;TP;677;208;885
45;daikon.inv.binary.twoString.StringEqual;TP;FP;675;233;908
46;daikon.inv.binary.twoString.StringEqual;TP;FP;617;247;864
47;daikon.inv.binary.twoString.StringEqual;TP;FP;683;243;926
48;daikon.inv.binary.twoString.StringEqual;TP;TP;651;187;838
49;daikon.inv.binary.twoScalar.IntEqual;TP;FP;626;237;863
50;daikon.inv.binary.twoScalar.IntEqual;TP;FP;626;197;823
51;daikon.inv.binary.twoString.StringEqual;TP;FP;641;225;866
52;daikon.inv.binary.twoScalar.IntEqual;TP;FP;608;169;777
53;daikon.inv.binary.twoScalar.IntEqual;TP;FP;616;255;871
54;daikon.inv.binary.twoScalar.IntEqual;TP;FP;617;235;852
55;daikon.inv.binary.twoScalar.IntEqual;TP;FP;610;259;869
56;daikon.inv.binary.twoScalar.IntEqual;TP;FP;614;230;844
57;daikon.inv.binary.twoString.StringEqual;FP;FP;645;221;866
58;daikon.inv.unary.scalar.NonZero;TP;TP;601;137;738
59;daikon.inv.unary.scalar.NonZero;TP;TP;607;218;825
60;daikon.inv.unary.string.OneOfString;TP;FP;669;163;832
61;daikon.inv.unary.string.OneOfString;TP;FP;649;206;855
62;daikon.inv.unary.scalar.NonZero;TP;TP;607;184;791
63;daikon.inv.unary.scalar.OneOfScalar;TP;FP;626;206;832
64;daikon.inv.unary.string.OneOfString;TP;FP;643;225;868
65;daikon.inv.unary.scalar.NonZero;TP;FP;610;178;788
66;daikon.inv.unary.stringsequence.OneOfStringSequence;TP;FP;636;203;839
67;daikon.inv.unary.scalar.OneOfScalar;TP;FP;642;189;831
68;daikon.inv.unary.scalar.OneOfScalar;TP;TP;627;113;740
69;daikon.inv.unary.scalar.OneOfScalar;TP;FP;633;175;808
70;daikon.inv.unary.scalar.OneOfScalar;TP;FP;636;183;819
71;daikon.inv.unary.scalar.OneOfScalar;TP;FP;627;181;808
72;daikon.inv.unary.string.OneOfString;TP;FP;643;86;729
73;daikon.inv.unary.string.OneOfString;TP;FP;640;193;833
74;daikon.inv.unary.string.OneOfString;TP;FP;648;258;906
75;daikon.inv.unary.string.OneOfString;TP;TP;646;237;883
76;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;652;210;862
77;daikon.inv.binary.twoScalar.IntGreaterThan;TP;FP;637;258;895
78;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;653;173;826
79;daikon.inv.binary.twoScalar.IntGreaterThan;TP;FP;621;206;827
80;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;610;213;823
81;daikon.inv.binary.twoScalar.IntLessThan;TP;FP;623;249;872
82;daikon.inv.unary.string.FixedLengthString;TP;FP;627;207;834
83;daikon.inv.unary.string.IsUrl;TP;FP;615;220;835
84;daikon.inv.unary.string.FixedLengthString;TP;FP;629;205;834
85;daikon.inv.unary.string.FixedLengthString;TP;FP;628;234;862
86;daikon.inv.unary.string.FixedLengthString;TP;FP;637;225;862
87;daikon.inv.unary.string.IsUrl;TP;TP;632;225;857
88;daikon.inv.unary.string.FixedLengthString;TP;FP;645;210;855
89;daikon.inv.unary.string.IsUrl;TP;TP;614;215;829
90;daikon.inv.unary.string.IsUrl;TP;TP;614;201;815
91;daikon.inv.unary.string.IsUrl;TP;FP;633;213;846
92;daikon.inv.unary.string.IsUrl;TP;TP;636;149;785
93;daikon.inv.unary.string.IsUrl;TP;FP;636;233;869
94;daikon.inv.unary.string.IsUrl;TP;FP;637;223;860
95;daikon.inv.unary.string.IsUrl;TP;FP;631;182;813
96;daikon.inv.unary.string.IsUrl;TP;FP;632;204;836
97;daikon.inv.unary.string.IsUrl;TP;FP;631;273;904
98;daikon.inv.unary.string.IsUrl;TP;FP;617;220;837
99;daikon.inv.unary.string.IsUrl;TP;FP;635;199;834
100;daikon.inv.unary.string.FixedLengthString;TP;FP;624;197;821
101;daikon.inv.unary.string.IsUrl;TP;TP;613;237;850
102;daikon.inv.unary.string.IsUrl;TP;TP;613;190;803
103;daikon.inv.unary.string.IsUrl;TP;FP;621;185;806
104;daikon.inv.unary.string.IsUrl;TP;TP;622;240;862
105;daikon.inv.unary.string.IsUrl;TP;FP;621;171;792
106;daikon.inv.unary.string.IsUrl;TP;FP;620;176;796
107;daikon.inv.unary.string.IsUrl;TP;FP;625;203;828
108;daikon.inv.unary.string.IsUrl;TP;FP;618;186;804
109;daikon.inv.unary.string.IsUrl;TP;FP;621;211;832
110;daikon.inv.unary.string.IsUrl;TP;FP;623;188;811
111;daikon.inv.unary.string.IsUrl;TP;FP;620;191;811
112;daikon.inv.unary.string.IsUrl;TP;FP;619;203;822
113;daikon.inv.unary.string.IsUrl;TP;FP;619;237;856
114;daikon.inv.unary.string.IsUrl;TP;TP;617;183;800
115;daikon.inv.unary.string.IsUrl;TP;FP;616;87;703
116;daikon.inv.unary.string.IsUrl;TP;TP;618;188;806
117;daikon.inv.unary.string.IsUrl;TP;FP;625;219;844
118;daikon.inv.unary.string.IsUrl;TP;TP;622;165;787
119;daikon.inv.unary.string.IsUrl;TP;FP;621;203;824
120;daikon.inv.unary.string.IsUrl;TP;FP;621;192;813
121;daikon.inv.unary.string.IsUrl;TP;FP;621;174;795
122;daikon.inv.unary.string.IsUrl;TP;FP;619;205;824
123;daikon.inv.unary.string.IsUrl;TP;FP;620;223;843
124;daikon.inv.unary.string.IsUrl;TP;FP;619;208;827
125;daikon.inv.unary.string.IsUrl;TP;FP;617;234;851
126;daikon.inv.unary.string.IsUrl;TP;FP;620;226;846
127;daikon.inv.unary.string.IsUrl;TP;FP;622;226;848
128;daikon.inv.unary.string.IsUrl;TP;FP;626;192;818
129;daikon.inv.unary.string.IsUrl;TP;FP;620;218;838
130;daikon.inv.unary.string.IsUrl;TP;FP;619;221;840
131;daikon.inv.unary.string.IsUrl;TP;FP;622;199;821
132;daikon.inv.unary.string.IsUrl;TP;FP;620;242;862
133;daikon.inv.unary.string.IsUrl;TP;FP;618;213;831
134;daikon.inv.unary.string.IsUrl;TP;FP;617;207;824
135;daikon.inv.unary.string.IsUrl;TP;FP;616;200;816
136;daikon.inv.unary.string.IsUrl;TP;FP;618;165;783
137;daikon.inv.unary.string.IsUrl;TP;FP;621;192;813
138;daikon.inv.unary.string.IsUrl;TP;FP;614;224;838
139;daikon.inv.unary.string.IsUrl;TP;FP;617;187;804
140;daikon.inv.unary.string.FixedLengthString;TP;FP;618;183;801
