ID;invariantType;classification;GPT_verdict;promptTokens;completionTokens;totalTokens
0;daikon.inv.binary.twoString.StringEqual;TP;FP;638;389;1027
1;daikon.inv.binary.twoString.StringEqual;TP;FP;638;410;1048
2;daikon.inv.binary.twoString.StringEqual;TP;FP;622;366;988
3;daikon.inv.binary.twoString.StringEqual;TP;FP;626;307;933
4;daikon.inv.binary.twoString.StringEqual;TP;FP;776;428;1204
5;daikon.inv.binary.twoScalar.IntEqual;TP;FP;646;334;980
6;daikon.inv.binary.twoScalar.IntEqual;TP;FP;678;351;1029
7;daikon.inv.binary.twoScalar.IntEqual;TP;FP;648;383;1031
8;daikon.inv.binary.twoScalar.IntEqual;TP;FP;656;335;991
9;daikon.inv.binary.twoString.StringEqual;TP;FP;705;375;1080
10;daikon.inv.binary.twoScalar.IntEqual;TP;FP;662;415;1077
11;daikon.inv.binary.twoScalar.IntEqual;TP;FP;659;301;960
12;daikon.inv.binary.twoScalar.IntEqual;TP;FP;661;337;998
13;daikon.inv.binary.twoScalar.IntEqual;TP;FP;663;384;1047
14;daikon.inv.binary.twoString.StringEqual;TP;FP;620;372;992
15;daikon.inv.binary.twoString.StringEqual;TP;FP;620;353;973
16;daikon.inv.binary.twoString.StringEqual;TP;FP;612;287;899
17;daikon.inv.binary.twoString.StringEqual;TP;FP;612;317;929
18;daikon.inv.binary.twoScalar.IntEqual;TP;FP;614;377;991
19;daikon.inv.binary.twoScalar.IntEqual;TP;FP;617;366;983
20;daikon.inv.binary.twoScalar.IntEqual;TP;FP;614;261;875
21;daikon.inv.binary.twoScalar.IntEqual;TP;FP;611;401;1012
22;daikon.inv.binary.twoScalar.IntEqual;TP;FP;617;401;1018
23;daikon.inv.binary.twoScalar.IntEqual;TP;FP;608;305;913
24;daikon.inv.binary.twoScalar.IntEqual;TP;FP;607;420;1027
25;daikon.inv.binary.twoScalar.IntEqual;TP;FP;609;355;964
26;daikon.inv.binary.twoScalar.IntEqual;TP;FP;606;366;972
27;daikon.inv.binary.twoScalar.IntEqual;TP;FP;616;382;998
28;daikon.inv.binary.twoScalar.IntEqual;TP;FP;633;393;1026
29;daikon.inv.binary.twoScalar.IntEqual;TP;FP;633;447;1080
30;daikon.inv.binary.twoScalar.IntEqual;TP;FP;636;394;1030
31;daikon.inv.binary.twoScalar.IntEqual;TP;FP;633;326;959
32;daikon.inv.binary.twoScalar.IntEqual;TP;FP;635;395;1030
33;daikon.inv.binary.twoScalar.IntEqual;TP;FP;610;396;1006
34;daikon.inv.binary.twoString.StringEqual;TP;FP;621;397;1018
35;daikon.inv.binary.twoString.StringEqual;TP;FP;674;349;1023
36;daikon.inv.binary.twoString.StringEqual;TP;FP;692;404;1096
37;daikon.inv.binary.twoString.StringEqual;TP;FP;611;406;1017
38;daikon.inv.binary.twoString.StringEqual;TP;FP;612;376;988
39;daikon.inv.binary.twoString.StringEqual;TP;FP;676;364;1040
40;daikon.inv.binary.twoString.StringEqual;TP;FP;682;368;1050
41;daikon.inv.binary.twoString.StringEqual;TP;FP;682;444;1126
42;daikon.inv.binary.twoString.StringEqual;TP;FP;684;384;1068
43;daikon.inv.binary.twoString.StringEqual;TP;FP;674;383;1057
44;daikon.inv.binary.twoString.StringEqual;TP;FP;674;374;1048
45;daikon.inv.binary.twoString.StringEqual;TP;FP;672;388;1060
46;daikon.inv.binary.twoString.StringEqual;TP;FP;615;387;1002
47;daikon.inv.binary.twoString.StringEqual;TP;FP;680;293;973
48;daikon.inv.binary.twoString.StringEqual;TP;FP;650;436;1086
49;daikon.inv.binary.twoScalar.IntEqual;TP;FP;625;386;1011
50;daikon.inv.binary.twoScalar.IntEqual;TP;FP;625;415;1040
51;daikon.inv.binary.twoString.StringEqual;TP;FP;638;408;1046
52;daikon.inv.binary.twoScalar.IntEqual;TP;FP;607;432;1039
53;daikon.inv.binary.twoScalar.IntEqual;TP;FP;615;438;1053
54;daikon.inv.binary.twoScalar.IntEqual;TP;FP;616;391;1007
55;daikon.inv.binary.twoScalar.IntEqual;TP;FP;609;437;1046
56;daikon.inv.binary.twoScalar.IntEqual;TP;FP;613;429;1042
57;daikon.inv.binary.twoString.StringEqual;FP;FP;644;301;945
58;daikon.inv.unary.scalar.NonZero;TP;FP;600;352;952
59;daikon.inv.unary.scalar.NonZero;TP;FP;606;364;970
60;daikon.inv.unary.string.OneOfString;TP;FP;669;253;922
61;daikon.inv.unary.string.OneOfString;TP;FP;649;417;1066
62;daikon.inv.unary.scalar.NonZero;TP;FP;606;336;942
63;daikon.inv.unary.scalar.OneOfScalar;TP;FP;625;357;982
64;daikon.inv.unary.string.OneOfString;TP;FP;643;356;999
65;daikon.inv.unary.scalar.NonZero;TP;TP;609;318;927
66;daikon.inv.unary.stringsequence.OneOfStringSequence;TP;FP;636;382;1018
67;daikon.inv.unary.scalar.OneOfScalar;TP;FP;641;338;979
68;daikon.inv.unary.scalar.OneOfScalar;TP;FP;626;364;990
69;daikon.inv.unary.scalar.OneOfScalar;TP;FP;632;394;1026
