ID;invariantType;classification;GPT_verdict;promptTokens;completionTokens;totalTokens
0;daikon.inv.binary.twoString.StringEqual;FP;TP;409;224;633
1;daikon.inv.binary.twoScalar.IntEqual;FP;FP;394;202;596
2;daikon.inv.binary.twoString.StringEqual;FP;FP;394;212;606
3;daikon.inv.binary.twoScalar.IntEqual;TP;FP;384;218;602
4;daikon.inv.binary.twoScalar.IntEqual;TP;FP;383;200;583
5;daikon.inv.binary.twoScalar.IntEqual;TP;FP;387;181;568
6;daikon.inv.binary.twoScalar.IntEqual;TP;FP;386;222;608
7;daikon.inv.binary.twoScalar.IntEqual;FP;FP;387;84;471
8;daikon.inv.binary.twoScalar.IntEqual;FP;FP;389;217;606
9;daikon.inv.binary.twoScalar.IntEqual;FP;FP;389;117;506
10;daikon.inv.unary.scalar.NonZero;TP;FP;376;173;549
11;daikon.inv.unary.string.OneOfString;TP;FP;438;196;634
12;daikon.inv.unary.string.OneOfString;TP;FP;418;201;619
13;daikon.inv.unary.scalar.LowerBound;TP;TP;369;199;568
14;daikon.inv.unary.scalar.LowerBound;TP;TP;372;216;588
15;daikon.inv.unary.scalar.LowerBound;TP;TP;366;164;530
16;daikon.inv.unary.scalar.LowerBound;TP;TP;370;198;568
17;daikon.inv.unary.scalar.NonZero;TP;TP;379;206;585
18;daikon.inv.unary.scalar.OneOfScalar;FP;FP;394;179;573
19;daikon.inv.unary.string.OneOfString;TP;FP;402;206;608
20;daikon.inv.unary.scalar.NonZero;TP;TP;370;159;529
21;daikon.inv.unary.scalar.OneOfScalar;TP;TP;406;99;505
22;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;406;111;517
23;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;407;123;530
24;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;401;201;602
25;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;408;112;520
26;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;404;275;679
27;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;405;262;667
28;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;373;82;455
29;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;385;223;608
30;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;388;186;574
31;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;383;131;514
32;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;386;189;575
33;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;393;93;486
34;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;386;34;420
35;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;390;167;557
36;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;384;206;590
37;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;387;206;593
38;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;394;81;475
39;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;386;204;590
40;daikon.inv.unary.scalar.NonZero;TP;FP;373;199;572
41;daikon.inv.unary.sequence.EltNonZero;TP;FP;383;107;490
42;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;FP;403;136;539
43;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;401;239;640
44;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;403;138;541
45;daikon.inv.unary.string.IsUrl;TP;FP;401;185;586
46;daikon.inv.unary.string.FixedLengthString;TP;FP;414;235;649
47;daikon.inv.unary.string.IsUrl;TP;TP;383;191;574
48;daikon.inv.unary.string.IsUrl;TP;FP;383;196;579
49;daikon.inv.unary.string.IsUrl;TP;FP;402;217;619
50;daikon.inv.unary.string.IsUrl;TP;FP;405;206;611
51;daikon.inv.unary.string.IsUrl;TP;FP;405;197;602
52;daikon.inv.unary.string.IsUrl;TP;FP;406;204;610
53;daikon.inv.unary.string.IsUrl;TP;FP;400;187;587
54;daikon.inv.unary.string.IsUrl;TP;TP;401;217;618
55;daikon.inv.unary.string.IsUrl;TP;FP;400;222;622
56;daikon.inv.unary.string.IsUrl;TP;FP;386;151;537
57;daikon.inv.unary.string.IsUrl;TP;FP;404;218;622
58;daikon.inv.unary.string.FixedLengthString;TP;FP;393;198;591
59;daikon.inv.unary.string.IsUrl;TP;TP;382;170;552
60;daikon.inv.unary.string.IsUrl;TP;FP;382;171;553
61;daikon.inv.unary.string.IsUrl;TP;FP;390;184;574
62;daikon.inv.unary.string.IsUrl;TP;FP;391;198;589
63;daikon.inv.unary.string.IsUrl;TP;FP;390;191;581
64;daikon.inv.unary.string.IsUrl;TP;TP;389;198;587
65;daikon.inv.unary.string.IsUrl;TP;TP;394;140;534
66;daikon.inv.unary.string.IsUrl;TP;FP;387;189;576
67;daikon.inv.unary.string.IsUrl;TP;FP;390;229;619
68;daikon.inv.unary.string.IsUrl;TP;FP;392;191;583
69;daikon.inv.unary.string.IsUrl;TP;FP;389;186;575
70;daikon.inv.unary.string.IsUrl;TP;FP;388;197;585
71;daikon.inv.unary.string.IsUrl;TP;FP;388;184;572
72;daikon.inv.unary.string.IsUrl;TP;FP;386;164;550
73;daikon.inv.unary.string.IsUrl;TP;FP;385;181;566
74;daikon.inv.unary.string.IsUrl;TP;FP;387;190;577
75;daikon.inv.unary.string.IsUrl;TP;TP;394;155;549
76;daikon.inv.unary.string.IsUrl;TP;FP;391;211;602
77;daikon.inv.unary.string.IsUrl;TP;FP;390;231;621
78;daikon.inv.unary.string.IsUrl;TP;FP;390;199;589
79;daikon.inv.unary.string.IsUrl;TP;FP;390;234;624
80;daikon.inv.unary.string.IsUrl;TP;FP;388;178;566
81;daikon.inv.unary.string.IsUrl;TP;FP;389;197;586
82;daikon.inv.unary.string.IsUrl;TP;TP;388;142;530
83;daikon.inv.unary.string.IsUrl;TP;FP;386;181;567
84;daikon.inv.unary.string.IsUrl;TP;FP;389;211;600
85;daikon.inv.unary.string.IsUrl;TP;TP;391;201;592
86;daikon.inv.unary.string.IsUrl;TP;FP;395;170;565
87;daikon.inv.unary.string.IsUrl;TP;FP;389;187;576
88;daikon.inv.unary.string.IsUrl;TP;FP;388;209;597
89;daikon.inv.unary.string.IsUrl;TP;FP;391;180;571
90;daikon.inv.unary.string.IsUrl;TP;FP;389;174;563
91;daikon.inv.unary.string.IsUrl;TP;FP;387;192;579
92;daikon.inv.unary.string.IsUrl;TP;FP;386;182;568
93;daikon.inv.unary.string.IsUrl;TP;FP;385;196;581
94;daikon.inv.unary.string.IsUrl;TP;FP;387;209;596
95;daikon.inv.unary.string.IsUrl;TP;FP;390;199;589
96;daikon.inv.unary.string.IsUrl;TP;FP;367;166;533
97;daikon.inv.unary.string.IsUrl;TP;TP;386;199;585
98;daikon.inv.unary.string.FixedLengthString;TP;FP;391;223;614
99;daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm;TP;FP;417;249;666
100;daikon.inv.unary.string.FixedLengthString;TP;FP;390;209;599
101;daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm;TP;FP;416;190;606
