ID;invariantType;classification;GPT_verdict;promptTokens;completionTokens;totalTokens
0;daikon.inv.binary.twoString.StringEqual;FP;FP;404;404;808
1;daikon.inv.binary.twoScalar.IntEqual;FP;FP;390;377;767
2;daikon.inv.binary.twoString.StringEqual;FP;FP;389;333;722
3;daikon.inv.binary.twoScalar.IntEqual;TP;FP;380;350;730
4;daikon.inv.binary.twoScalar.IntEqual;TP;FP;379;307;686
5;daikon.inv.binary.twoScalar.IntEqual;TP;FP;383;360;743
6;daikon.inv.binary.twoScalar.IntEqual;TP;FP;386;428;814
7;daikon.inv.binary.twoScalar.IntEqual;FP;FP;383;264;647
8;daikon.inv.binary.twoScalar.IntEqual;FP;FP;385;284;669
9;daikon.inv.binary.twoScalar.IntEqual;FP;FP;386;339;725
10;daikon.inv.unary.scalar.NonZero;TP;FP;372;328;700
11;daikon.inv.unary.string.OneOfString;TP;FP;435;245;680
12;daikon.inv.unary.string.OneOfString;TP;FP;415;295;710
13;daikon.inv.unary.scalar.LowerBound;TP;TP;365;257;622
14;daikon.inv.unary.scalar.LowerBound;TP;TP;368;265;633
15;daikon.inv.unary.scalar.LowerBound;TP;FP;362;377;739
16;daikon.inv.unary.scalar.LowerBound;TP;TP;368;260;628
17;daikon.inv.unary.scalar.NonZero;TP;TP;375;297;672
18;daikon.inv.unary.scalar.OneOfScalar;FP;FP;390;264;654
19;daikon.inv.unary.string.OneOfString;TP;FP;399;307;706
20;daikon.inv.unary.scalar.NonZero;TP;FP;366;289;655
21;daikon.inv.unary.scalar.OneOfScalar;TP;FP;402;253;655
22;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;402;422;824
23;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;403;470;873
24;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;397;436;833
25;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;405;458;863
26;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;400;445;845
27;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;401;463;864
28;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;369;339;708
29;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;382;442;824
30;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;385;406;791
31;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;379;329;708
32;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;385;385;770
33;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;390;371;761
34;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;383;386;769
35;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;386;436;822
36;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;380;418;798
37;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;386;424;810
38;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;391;369;760
39;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;382;412;794
40;daikon.inv.unary.scalar.NonZero;TP;TP;369;318;687
41;daikon.inv.unary.sequence.EltNonZero;TP;FP;379;351;730
42;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;FP;399;407;806
43;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;397;433;830
44;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;399;475;874
45;daikon.inv.unary.string.IsUrl;TP;FP;396;328;724
46;daikon.inv.unary.string.FixedLengthString;TP;FP;410;275;685
47;daikon.inv.unary.string.IsUrl;TP;FP;378;344;722
48;daikon.inv.unary.string.IsUrl;TP;FP;378;379;757
49;daikon.inv.unary.string.IsUrl;TP;FP;397;291;688
50;daikon.inv.unary.string.IsUrl;TP;FP;400;317;717
51;daikon.inv.unary.string.IsUrl;TP;FP;400;303;703
52;daikon.inv.unary.string.IsUrl;TP;FP;401;306;707
53;daikon.inv.unary.string.IsUrl;TP;FP;396;284;680
54;daikon.inv.unary.string.IsUrl;TP;FP;396;282;678
55;daikon.inv.unary.string.IsUrl;TP;FP;395;347;742
56;daikon.inv.unary.string.IsUrl;TP;FP;381;302;683
57;daikon.inv.unary.string.IsUrl;TP;FP;399;345;744
58;daikon.inv.unary.string.FixedLengthString;TP;FP;389;329;718
59;daikon.inv.unary.string.IsUrl;TP;FP;377;286;663
60;daikon.inv.unary.string.IsUrl;TP;FP;377;348;725
61;daikon.inv.unary.string.IsUrl;TP;FP;385;289;674
62;daikon.inv.unary.string.IsUrl;TP;FP;389;301;690
63;daikon.inv.unary.string.IsUrl;TP;FP;385;337;722
64;daikon.inv.unary.string.IsUrl;TP;FP;384;301;685
65;daikon.inv.unary.string.IsUrl;TP;FP;389;410;799
66;daikon.inv.unary.string.IsUrl;TP;FP;382;344;726
67;daikon.inv.unary.string.IsUrl;TP;FP;385;377;762
68;daikon.inv.unary.string.IsUrl;TP;FP;387;268;655
69;daikon.inv.unary.string.IsUrl;TP;FP;384;364;748
70;daikon.inv.unary.string.IsUrl;TP;FP;382;328;710
71;daikon.inv.unary.string.IsUrl;TP;FP;383;306;689
72;daikon.inv.unary.string.IsUrl;TP;FP;382;319;701
73;daikon.inv.unary.string.IsUrl;TP;FP;380;407;787
74;daikon.inv.unary.string.IsUrl;TP;FP;382;409;791
75;daikon.inv.unary.string.IsUrl;TP;FP;389;402;791
76;daikon.inv.unary.string.IsUrl;TP;FP;386;393;779
77;daikon.inv.unary.string.IsUrl;TP;FP;386;326;712
78;daikon.inv.unary.string.IsUrl;TP;FP;385;295;680
79;daikon.inv.unary.string.IsUrl;TP;FP;385;284;669
80;daikon.inv.unary.string.IsUrl;TP;FP;383;329;712
81;daikon.inv.unary.string.IsUrl;TP;FP;384;401;785
82;daikon.inv.unary.string.IsUrl;TP;FP;383;389;772
83;daikon.inv.unary.string.IsUrl;TP;FP;381;353;734
84;daikon.inv.unary.string.IsUrl;TP;FP;383;335;718
85;daikon.inv.unary.string.IsUrl;TP;FP;386;321;707
86;daikon.inv.unary.string.IsUrl;TP;FP;389;303;692
87;daikon.inv.unary.string.IsUrl;TP;FP;384;407;791
88;daikon.inv.unary.string.IsUrl;TP;FP;383;347;730
89;daikon.inv.unary.string.IsUrl;TP;FP;386;321;707
90;daikon.inv.unary.string.IsUrl;TP;FP;384;350;734
91;daikon.inv.unary.string.IsUrl;TP;FP;382;299;681
92;daikon.inv.unary.string.IsUrl;TP;FP;381;290;671
93;daikon.inv.unary.string.IsUrl;TP;FP;381;320;701
94;daikon.inv.unary.string.IsUrl;TP;FP;382;302;684
95;daikon.inv.unary.string.IsUrl;TP;FP;385;401;786
96;daikon.inv.unary.string.IsUrl;TP;FP;363;285;648
97;daikon.inv.unary.string.IsUrl;TP;FP;381;336;717
98;daikon.inv.unary.string.FixedLengthString;TP;FP;387;400;787
99;daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm;TP;FP;413;324;737
100;daikon.inv.unary.string.FixedLengthString;TP;FP;386;420;806
101;daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm;TP;FP;412;335;747
102;daikon.inv.unary.string.FixedLengthString;TP;TP;386;371;757
103;daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm;TP;FP;412;384;796
104;daikon.inv.unary.string.IsUrl;TP;FP;379;341;720
105;daikon.inv.unary.string.FixedLengthString;TP;FP;393;347;740
106;daikon.inv.binary.twoString.StdString$SubString;FP;FP;400;436;836
107;daikon.inv.binary.twoString.StdString$SubString;FP;FP;405;404;809
108;daikon.inv.binary.twoString.StdString$SubString;FP;FP;405;466;871
109;daikon.inv.binary.twoString.StdString$SubString;TP;FP;397;398;795
110;daikon.inv.binary.twoString.StdString$SubString;TP;FP;406;414;820
111;daikon.inv.binary.twoString.StdString$SubString;TP;FP;406;430;836
112;daikon.inv.binary.twoString.StdString$SubString;TP;FP;392;473;865
113;daikon.inv.binary.twoString.StdString$SubString;TP;FP;393;400;793
114;daikon.inv.binary.twoString.StdString$SubString;TP;FP;431;389;820
115;daikon.inv.binary.twoString.StdString$SubString;TP;FP;434;414;848
116;daikon.inv.binary.twoString.StdString$SubString;TP;FP;434;445;879
117;daikon.inv.binary.twoString.StdString$SubString;TP;FP;435;407;842
118;daikon.inv.binary.twoString.StdString$SubString;TP;FP;430;380;810
119;daikon.inv.binary.twoString.StdString$SubString;TP;FP;430;388;818
120;daikon.inv.binary.twoString.StdString$SubString;TP;FP;429;460;889
121;daikon.inv.binary.twoString.StdString$SubString;TP;FP;415;422;837
122;daikon.inv.binary.twoString.StdString$SubString;TP;FP;433;347;780
123;daikon.inv.binary.twoString.StdString$SubString;TP;FP;385;354;739
124;daikon.inv.binary.twoString.StdString$SubString;TP;FP;396;410;806
125;daikon.inv.binary.twoString.StdString$SubString;TP;FP;418;416;834
126;daikon.inv.binary.twoString.StdString$SubString;TP;FP;422;463;885
127;daikon.inv.binary.twoString.StdString$SubString;TP;FP;418;392;810
128;daikon.inv.binary.twoString.StdString$SubString;TP;FP;417;422;839
129;daikon.inv.binary.twoString.StdString$SubString;TP;FP;422;455;877
130;daikon.inv.binary.twoString.StdString$SubString;TP;FP;415;396;811
131;daikon.inv.binary.twoString.StdString$SubString;TP;FP;418;425;843
132;daikon.inv.binary.twoString.StdString$SubString;TP;FP;420;408;828
133;daikon.inv.binary.twoString.StdString$SubString;TP;FP;417;471;888
134;daikon.inv.binary.twoString.StdString$SubString;TP;FP;415;345;760
135;daikon.inv.binary.twoString.StdString$SubString;TP;FP;416;368;784
136;daikon.inv.binary.twoString.StdString$SubString;TP;FP;415;461;876
