ID;invariantType;classification;GPT_verdict;promptTokens;completionTokens;totalTokens
0;daikon.inv.unary.string.OneOfString;FP;FP;520;200;720
1;daikon.inv.unary.string.OneOfString;TP;FP;537;26;563
2;daikon.inv.unary.scalar.LowerBoundFloat;TP;TP;494;245;739
3;daikon.inv.unary.string.OneOfString;FP;TP;554;189;743
4;daikon.inv.unary.string.OneOfString;FP;FP;533;207;740
5;daikon.inv.binary.twoScalar.IntEqual;TP;TP;501;250;751
6;daikon.inv.binary.twoScalar.IntEqual;TP;TP;568;267;835
7;daikon.inv.binary.twoScalar.IntEqual;FP;FP;522;233;755
8;daikon.inv.binary.twoScalar.IntEqual;FP;FP;573;248;821
9;daikon.inv.binary.twoScalar.IntEqual;FP;TP;524;214;738
10;daikon.inv.binary.twoScalar.IntEqual;FP;FP;576;219;795
11;daikon.inv.binary.twoScalar.IntEqual;FP;FP;522;267;789
12;daikon.inv.binary.twoScalar.IntEqual;FP;FP;577;90;667
13;daikon.inv.binary.twoScalar.IntEqual;FP;TP;556;203;759
14;daikon.inv.unary.scalar.LowerBound;TP;TP;484;261;745
15;daikon.inv.unary.scalar.LowerBoundFloat;FP;FP;482;255;737
16;daikon.inv.unary.string.OneOfString;FP;TP;530;178;708
17;daikon.inv.unary.scalar.NonZero;TP;FP;544;211;755
18;daikon.inv.unary.sequence.EltNonZero;TP;FP;554;117;671
19;daikon.inv.unary.scalar.NonZero;TP;TP;516;187;703
20;daikon.inv.unary.sequence.EltNonZero;TP;FP;526;201;727
21;daikon.inv.unary.scalar.NonZero;TP;FP;460;224;684
22;daikon.inv.unary.scalar.NonZero;TP;TP;526;192;718
23;daikon.inv.unary.sequence.EltNonZero;TP;FP;536;188;724
24;daikon.inv.unary.scalar.NonZero;TP;TP;524;208;732
25;daikon.inv.unary.sequence.EltNonZero;TP;FP;534;236;770
26;daikon.inv.unary.scalar.NonZero;TP;TP;532;221;753
27;daikon.inv.unary.sequence.OneOfSequence;FP;FP;557;219;776
28;daikon.inv.unary.scalar.NonZero;TP;FP;516;236;752
29;daikon.inv.unary.sequence.EltNonZero;TP;FP;526;246;772
30;daikon.inv.unary.scalar.NonZero;TP;FP;518;109;627
31;daikon.inv.unary.sequence.EltNonZero;TP;FP;528;167;695
32;daikon.inv.unary.scalar.NonZero;TP;FP;460;202;662
33;daikon.inv.unary.string.OneOfString;FP;FP;507;225;732
34;daikon.inv.unary.scalar.NonZero;TP;TP;511;227;738
35;daikon.inv.unary.sequence.EltNonZero;TP;FP;521;201;722
36;daikon.inv.unary.scalar.NonZero;TP;TP;462;204;666
37;daikon.inv.unary.scalar.LowerBound;TP;TP;497;165;662
38;daikon.inv.unary.scalar.NonZero;TP;TP;541;253;794
39;daikon.inv.unary.sequence.EltNonZero;TP;FP;551;183;734
40;daikon.inv.unary.scalar.NonZero;TP;FP;460;176;636
41;daikon.inv.unary.scalar.LowerBound;FP;TP;495;235;730
42;daikon.inv.unary.scalar.NonZero;TP;TP;539;193;732
43;daikon.inv.unary.sequence.EltNonZero;TP;TP;549;249;798
44;daikon.inv.unary.scalar.NonZero;TP;FP;461;177;638
45;daikon.inv.unary.scalar.LowerBound;FP;TP;496;207;703
46;daikon.inv.unary.scalar.NonZero;TP;FP;541;217;758
47;daikon.inv.unary.sequence.EltNonZero;TP;FP;551;259;810
48;daikon.inv.unary.scalar.NonZero;TP;FP;460;218;678
49;daikon.inv.unary.scalar.NonZero;TP;FP;522;100;622
50;daikon.inv.unary.sequence.OneOfSequence;FP;FP;547;63;610
51;daikon.inv.unary.scalar.OneOfScalar;FP;TP;579;121;700
52;daikon.inv.unary.scalar.OneOfScalar;FP;FP;559;202;761
53;daikon.inv.unary.scalar.OneOfScalar;FP;FP;551;130;681
54;daikon.inv.unary.scalar.OneOfScalar;TP;FP;550;81;631
55;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;519;200;719
56;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;503;209;712
57;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;531;215;746
58;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;522;178;700
59;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;529;222;751
60;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;530;233;763
61;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;529;220;749
62;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;576;227;803
63;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;548;122;670
64;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;558;145;703
65;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;556;126;682
66;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;548;195;743
67;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;550;201;751
68;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;543;223;766
