ID;invariantType;classification;GPT_verdict;promptTokens;completionTokens;totalTokens
0;daikon.inv.unary.string.OneOfString;FP;FP;517;360;877
1;daikon.inv.unary.string.OneOfString;TP;FP;534;315;849
2;daikon.inv.unary.scalar.LowerBoundFloat;TP;TP;490;344;834
3;daikon.inv.unary.string.OneOfString;FP;FP;553;444;997
4;daikon.inv.unary.string.OneOfString;FP;FP;530;402;932
5;daikon.inv.binary.twoScalar.IntEqual;TP;FP;497;409;906
6;daikon.inv.binary.twoScalar.IntEqual;TP;FP;562;430;992
7;daikon.inv.binary.twoScalar.IntEqual;FP;FP;518;387;905
8;daikon.inv.binary.twoScalar.IntEqual;FP;FP;569;362;931
9;daikon.inv.binary.twoScalar.IntEqual;FP;FP;520;350;870
10;daikon.inv.binary.twoScalar.IntEqual;FP;FP;572;336;908
11;daikon.inv.binary.twoScalar.IntEqual;FP;FP;518;365;883
12;daikon.inv.binary.twoScalar.IntEqual;FP;FP;573;470;1043
13;daikon.inv.binary.twoScalar.IntEqual;FP;FP;552;467;1019
14;daikon.inv.unary.scalar.LowerBound;TP;TP;480;290;770
15;daikon.inv.unary.scalar.LowerBoundFloat;FP;TP;478;355;833
16;daikon.inv.unary.string.OneOfString;FP;FP;529;314;843
17;daikon.inv.unary.scalar.NonZero;TP;FP;539;381;920
18;daikon.inv.unary.sequence.EltNonZero;TP;FP;549;409;958
19;daikon.inv.unary.scalar.NonZero;TP;FP;512;404;916
20;daikon.inv.unary.sequence.EltNonZero;TP;FP;522;352;874
21;daikon.inv.unary.scalar.NonZero;TP;FP;456;361;817
22;daikon.inv.unary.scalar.NonZero;TP;FP;522;409;931
23;daikon.inv.unary.sequence.EltNonZero;TP;FP;532;333;865
24;daikon.inv.unary.scalar.NonZero;TP;FP;520;380;900
25;daikon.inv.unary.sequence.EltNonZero;TP;FP;530;396;926
26;daikon.inv.unary.scalar.NonZero;TP;FP;528;466;994
27;daikon.inv.unary.sequence.OneOfSequence;FP;FP;553;270;823
28;daikon.inv.unary.scalar.NonZero;TP;FP;512;398;910
29;daikon.inv.unary.sequence.EltNonZero;TP;FP;522;417;939
30;daikon.inv.unary.scalar.NonZero;TP;FP;514;362;876
31;daikon.inv.unary.sequence.EltNonZero;TP;FP;524;311;835
32;daikon.inv.unary.scalar.NonZero;TP;FP;456;320;776
33;daikon.inv.unary.string.OneOfString;FP;FP;504;306;810
34;daikon.inv.unary.scalar.NonZero;TP;FP;507;382;889
35;daikon.inv.unary.sequence.EltNonZero;TP;FP;517;405;922
36;daikon.inv.unary.scalar.NonZero;TP;FP;457;330;787
37;daikon.inv.unary.scalar.LowerBound;TP;TP;492;289;781
38;daikon.inv.unary.scalar.NonZero;TP;FP;536;415;951
39;daikon.inv.unary.sequence.EltNonZero;TP;FP;546;437;983
40;daikon.inv.unary.scalar.NonZero;TP;FP;456;384;840
41;daikon.inv.unary.scalar.LowerBound;FP;FP;491;305;796
42;daikon.inv.unary.scalar.NonZero;TP;FP;535;412;947
43;daikon.inv.unary.sequence.EltNonZero;TP;FP;545;379;924
44;daikon.inv.unary.scalar.NonZero;TP;FP;457;386;843
45;daikon.inv.unary.scalar.LowerBound;FP;FP;492;342;834
46;daikon.inv.unary.scalar.NonZero;TP;FP;537;397;934
47;daikon.inv.unary.sequence.EltNonZero;TP;FP;547;315;862
48;daikon.inv.unary.scalar.NonZero;TP;FP;456;407;863
49;daikon.inv.unary.scalar.NonZero;TP;FP;518;428;946
50;daikon.inv.unary.sequence.OneOfSequence;FP;FP;543;315;858
51;daikon.inv.unary.scalar.OneOfScalar;FP;FP;574;398;972
52;daikon.inv.unary.scalar.OneOfScalar;FP;FP;555;423;978
53;daikon.inv.unary.scalar.OneOfScalar;FP;FP;547;357;904
54;daikon.inv.unary.scalar.OneOfScalar;TP;FP;546;308;854
55;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;515;378;893
56;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;501;446;947
57;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;527;508;1035
58;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;518;432;950
59;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;526;485;1011
60;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;527;494;1021
61;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;526;446;972
62;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;572;409;981
63;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;545;403;948
64;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;555;395;950
65;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;553;439;992
66;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;545;434;979
67;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;547;456;1003
68;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;540;430;970
69;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;528;450;978
70;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;529;468;997
71;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;528;422;950
72;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;576;535;1111
73;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;547;478;1025
74;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;559;440;999
75;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;555;486;1041
76;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;547;468;1015
77;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;549;513;1062
78;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;549;483;1032
79;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;551;490;1041
80;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;544;485;1029
81;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;573;469;1042
82;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;574;469;1043
83;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;514;373;887
84;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;515;386;901
85;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;514;363;877
86;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;533;463;996
87;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;543;441;984
88;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;533;428;961
89;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;535;447;982
90;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;535;416;951
91;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;544;530;1074
92;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;560;424;984
93;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;521;289;810
94;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;540;283;823
95;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;588;474;1062
96;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;571;437;1008
97;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;569;345;914
98;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;563;519;1082
99;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;531;348;879
100;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;579;533;1112
101;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;562;513;1075
102;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;560;486;1046
103;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;554;544;1098
104;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;587;531;1118
105;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;566;453;1019
106;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;562;459;1021
107;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;586;432;1018
108;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;571;460;1031
109;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;567;453;1020
110;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;561;453;1014
111;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;585;375;960
112;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;560;463;1023
113;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;568;436;1004
114;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;566;435;1001
115;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;560;398;958
116;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;562;439;1001
117;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;553;397;950
118;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;583;405;988
119;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;585;440;1025
120;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;604;313;917
121;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;606;576;1182
122;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;606;410;1016
123;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;630;399;1029
124;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;608;406;1014
125;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;624;436;1060
126;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;610;455;1065
127;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;601;506;1107
128;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;633;453;1086
129;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;589;434;1023
130;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;585;407;992
131;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;577;411;988
132;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;579;436;1015
133;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;588;394;982
134;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;579;426;1005
135;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;574;452;1026
136;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;589;471;1060
137;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;581;373;954
138;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;583;444;1027
139;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;587;337;924
140;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;623;453;1076
141;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;607;469;1076
142;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;589;456;1045
143;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;591;349;940
144;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;585;438;1023
145;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;587;430;1017
146;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;605;427;1032
147;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;589;436;1025
148;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;589;450;1039
149;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;582;485;1067
150;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;612;475;1087
151;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;614;503;1117
152;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;592;456;1048
153;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;621;484;1105
154;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;588;438;1026
155;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;574;444;1018
156;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;581;423;1004
157;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;576;419;995
158;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;608;413;1021
159;daikon.inv.binary.twoScalar.IntEqual;TP;FP;942;404;1346
160;daikon.inv.binary.twoScalar.IntEqual;TP;FP;451;400;851
161;daikon.inv.binary.twoScalar.IntEqual;TP;FP;939;461;1400
162;daikon.inv.binary.twoScalar.IntEqual;TP;FP;975;538;1513
163;daikon.inv.binary.twoScalar.IntEqual;TP;FP;973;552;1525
164;daikon.inv.unary.scalar.OneOfScalar;TP;FP;443;330;773
165;daikon.inv.unary.string.OneOfString;TP;FP;443;297;740
166;daikon.inv.unary.string.OneOfString;TP;FP;450;334;784
167;daikon.inv.unary.string.OneOfString;TP;FP;482;333;815
168;daikon.inv.unary.string.OneOfString;TP;FP;500;326;826
169;daikon.inv.unary.scalar.NonZero;TP;FP;406;340;746
170;daikon.inv.unary.scalar.OneOfScalar;TP;FP;451;262;713
171;daikon.inv.unary.scalar.OneOfScalar;TP;FP;458;367;825
172;daikon.inv.unary.scalar.NonZero;TP;TP;917;282;1199
173;daikon.inv.unary.sequence.EltNonZero;TP;FP;927;438;1365
174;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;449;438;887
175;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;457;489;946
176;daikon.inv.binary.twoScalar.IntGreaterThan;TP;FP;464;527;991
177;daikon.inv.binary.sequenceScalar.SeqIntEqual;TP;FP;964;475;1439
178;daikon.inv.unary.string.FixedLengthString;TP;FP;505;338;843
179;daikon.inv.unary.string.IsUrl;TP;FP;500;361;861
180;daikon.inv.unary.string.IsUrl;TP;FP;501;343;844
181;daikon.inv.unary.string.IsUrl;TP;FP;501;390;891
182;daikon.inv.unary.string.FixedLengthString;TP;FP;492;404;896
183;daikon.inv.unary.string.IsUrl;TP;FP;487;338;825
184;daikon.inv.unary.string.FixedLengthString;TP;FP;491;323;814
185;daikon.inv.unary.string.IsUrl;TP;FP;501;424;925
186;daikon.inv.unary.string.FixedLengthString;TP;FP;503;367;870
187;daikon.inv.unary.string.IsUrl;TP;FP;492;354;846
188;daikon.inv.unary.string.IsUrl;TP;FP;503;366;869
189;daikon.inv.unary.string.FixedLengthString;FP;FP;474;364;838
190;daikon.inv.unary.string.FixedLengthString;TP;FP;469;332;801
191;daikon.inv.unary.string.FixedLengthString;TP;FP;469;375;844
192;daikon.inv.unary.string.IsUrl;TP;FP;464;353;817
193;daikon.inv.unary.string.IsUrl;TP;FP;476;353;829
194;daikon.inv.unary.string.IsUrl;TP;FP;474;326;800
195;daikon.inv.unary.string.FixedLengthString;TP;FP;478;384;862
196;daikon.inv.unary.string.IsUrl;TP;FP;481;371;852
197;daikon.inv.unary.string.IsUrl;TP;FP;480;324;804
198;daikon.inv.unary.string.IsUrl;TP;FP;481;395;876
199;daikon.inv.unary.string.IsUrl;TP;FP;480;376;856
200;daikon.inv.binary.twoString.StdString$SubString;FP;FP;512;406;918
201;daikon.inv.binary.twoString.StdString$SubString;TP;FP;511;442;953
202;daikon.inv.binary.twoString.StdString$SubString;TP;FP;510;418;928
203;daikon.inv.binary.twoString.StdString$SubString;TP;FP;511;448;959
204;daikon.inv.binary.twoString.StdString$SubString;TP;FP;510;407;917
205;daikon.inv.binary.twoSequence.SuperSet;FP;FP;643;376;1019
206;daikon.inv.binary.twoSequence.SuperSet;FP;FP;642;402;1044
207;daikon.inv.binary.twoSequence.SuperSet;FP;FP;644;427;1071
208;daikon.inv.unary.string.FixedLengthString;TP;FP;417;274;691
209;daikon.inv.unary.string.FixedLengthString;TP;FP;418;265;683
210;daikon.inv.unary.string.FixedLengthString;TP;FP;445;243;688
211;daikon.inv.unary.string.FixedLengthString;TP;FP;449;330;779
212;daikon.inv.unary.scalar.OneOfScalar;TP;FP;459;301;760
213;daikon.inv.unary.string.FixedLengthString;TP;FP;422;370;792
214;daikon.inv.binary.twoScalar.IntGreaterThan;TP;FP;465;404;869
215;daikon.inv.binary.twoString.StdString$SubString;TP;FP;469;321;790
216;daikon.inv.binary.twoString.StdString$SubString;TP;FP;500;322;822
217;daikon.inv.binary.twoScalar.IntEqual;TP;FP;560;441;1001
218;daikon.inv.unary.scalar.LowerBound;FP;FP;482;330;812
219;daikon.inv.unary.scalar.OneOfScalar;FP;FP;525;325;850
220;daikon.inv.unary.sequence.EltNonZero;TP;FP;528;418;946
221;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;517;457;974
222;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;561;462;1023
223;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;519;519;1038
224;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;563;424;987
225;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;549;436;985
226;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;575;493;1068
227;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;566;508;1074
228;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;519;297;816
229;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;539;326;865
230;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;574;454;1028
231;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;530;445;975
232;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;578;533;1111
233;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;557;512;1069
234;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;553;480;1033
235;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;574;495;1069
236;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;560;441;1001
237;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;585;501;1086
238;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;620;425;1045
239;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;612;418;1030
240;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;595;529;1124
241;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;603;403;1006
242;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;595;412;1007
243;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;601;490;1091
244;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;593;496;1089
245;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;595;515;1110
246;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;597;498;1095
247;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;588;410;998
248;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;618;403;1021
249;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;620;500;1120
250;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;601;533;1134
251;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;603;452;1055
252;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;589;434;1023
253;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;582;388;970
254;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;611;479;1090
255;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;610;390;1000
256;daikon.inv.unary.string.FixedLengthString;FP;FP;505;353;858
257;daikon.inv.unary.string.IsUrl;TP;FP;500;398;898
258;daikon.inv.unary.string.FixedLengthString;TP;FP;470;388;858
259;daikon.inv.binary.twoScalar.IntEqual;TP;FP;563;373;936
260;daikon.inv.unary.sequence.EltNonZero;TP;FP;538;350;888
261;daikon.inv.unary.scalar.LowerBound;FP;FP;483;296;779
262;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;518;474;992
263;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;520;455;975
264;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;506;530;1036
265;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;545;410;955
266;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;551;487;1038
267;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;541;514;1055
268;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;574;505;1079
269;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;521;283;804
270;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;540;296;836
271;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;575;471;1046
272;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;577;417;994
273;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;558;474;1032
274;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;566;434;1000
275;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;552;528;1080
276;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;604;337;941
277;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;606;357;963
