ID;invariantType;classification;GPT_verdict;promptTokens;completionTokens;totalTokens
0;daikon.inv.unary.string.OneOfString;TP;TP;417;209;626
1;daikon.inv.binary.twoString.StringEqual;TP;TP;377;162;539
2;daikon.inv.unary.string.OneOfString;TP;TP;379;206;585
3;daikon.inv.unary.scalar.NonZero;FP;FP;359;183;542
4;daikon.inv.unary.sequence.EltNonZero;FP;FP;369;99;468
5;daikon.inv.unary.string.OneOfString;TP;TP;381;107;488
6;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;377;136;513
7;daikon.inv.unary.string.FixedLengthString;TP;TP;354;200;554
8;daikon.inv.unary.string.FixedLengthString;TP;FP;352;204;556
9;daikon.inv.unary.string.IsUrl;TP;FP;394;220;614
10;daikon.inv.unary.string.IsNumeric;TP;FP;345;192;537
11;daikon.inv.unary.string.IsNumeric;TP;FP;346;250;596
12;daikon.inv.unary.string.IsNumeric;TP;FP;346;171;517
13;daikon.inv.unary.string.FixedLengthString;TP;FP;352;236;588
14;daikon.inv.unary.string.IsNumeric;TP;FP;343;207;550
15;daikon.inv.unary.string.IsNumeric;TP;FP;342;162;504
16;daikon.inv.unary.string.FixedLengthString;TP;FP;351;232;583
17;daikon.inv.unary.string.IsNumeric;TP;FP;345;222;567
18;daikon.inv.unary.string.OneOfString;FP;FP;381;178;559
