ID;invariantType;classification;GPT_verdict;promptTokens;completionTokens;totalTokens
0;daikon.inv.binary.twoString.StringEqual;TP;FP;430;196;626
1;daikon.inv.binary.twoString.StringEqual;TP;TP;406;207;613
2;daikon.inv.binary.twoString.StringEqual;TP;TP;415;94;509
3;daikon.inv.binary.twoScalar.IntEqual;TP;TP;440;205;645
4;daikon.inv.binary.twoScalar.IntEqual;TP;TP;416;216;632
5;daikon.inv.binary.twoScalar.IntEqual;TP;FP;461;92;553
6;daikon.inv.binary.twoScalar.IntEqual;TP;FP;454;194;648
7;daikon.inv.binary.twoScalar.IntEqual;TP;FP;512;122;634
8;daikon.inv.binary.twoScalar.IntEqual;TP;FP;537;140;677
9;daikon.inv.unary.scalar.NonZero;TP;TP;405;196;601
10;daikon.inv.unary.scalar.NonZero;TP;TP;405;193;598
11;daikon.inv.unary.scalar.NonZero;TP;FP;473;198;671
12;daikon.inv.unary.sequence.OneOfSequence;TP;FP;498;205;703
13;daikon.inv.unary.scalar.NonZero;TP;FP;393;148;541
14;daikon.inv.unary.scalar.NonZero;TP;TP;406;184;590
15;daikon.inv.unary.scalar.OneOfScalar;TP;FP;430;103;533
16;daikon.inv.unary.string.OneOfString;TP;FP;430;185;615
17;daikon.inv.unary.scalar.NonZero;TP;TP;393;188;581
18;daikon.inv.unary.scalar.NonZero;TP;FP;498;108;606
19;daikon.inv.unary.sequence.OneOfSequence;TP;FP;523;113;636
20;daikon.inv.unary.scalar.OneOfScalar;TP;FP;451;208;659
21;daikon.inv.unary.string.OneOfString;TP;TP;429;231;660
22;daikon.inv.unary.string.FixedLengthString;TP;FP;417;199;616
23;daikon.inv.unary.string.IsUrl;TP;FP;412;221;633
24;daikon.inv.unary.string.FixedLengthString;TP;FP;410;221;631
25;daikon.inv.unary.string.IsUrl;TP;FP;405;206;611
26;daikon.inv.unary.string.FixedLengthString;TP;FP;403;204;607
27;daikon.inv.unary.string.IsUrl;TP;FP;413;159;572
28;daikon.inv.unary.string.IsUrl;TP;FP;406;204;610
29;daikon.inv.unary.string.FixedLengthString;TP;FP;405;162;567
30;daikon.inv.unary.string.FixedLengthString;TP;FP;419;212;631
31;daikon.inv.unary.string.FixedLengthString;TP;FP;411;98;509
32;daikon.inv.unary.string.IsUrl;TP;FP;406;250;656
33;daikon.inv.unary.string.FixedLengthString;TP;FP;404;182;586
34;daikon.inv.unary.string.FixedLengthString;TP;FP;402;198;600
35;daikon.inv.binary.twoString.StdString$SubString;TP;FP;452;189;641
36;daikon.inv.binary.twoString.StdString$SubString;TP;FP;445;184;629
37;daikon.inv.binary.twoString.StdString$SubString;TP;TP;437;170;607
38;daikon.inv.binary.twoString.StdString$SubString;TP;FP;439;182;621
39;daikon.inv.binary.twoString.StdString$SubString;TP;FP;440;210;650
40;daikon.inv.binary.twoString.StdString$SubString;TP;FP;432;180;612
41;daikon.inv.binary.twoString.StdString$SubString;TP;FP;412;192;604
42;daikon.inv.binary.twoString.StdString$SubString;TP;FP;433;184;617
43;daikon.inv.binary.twoString.StdString$SubString;TP;FP;424;202;626
44;daikon.inv.binary.twoString.StdString$SubString;TP;FP;442;223;665
45;daikon.inv.binary.twoString.StdString$SubString;TP;FP;435;212;647
46;daikon.inv.binary.twoString.StdString$SubString;TP;FP;426;171;597
47;daikon.inv.binary.twoString.StdString$SubString;TP;FP;424;199;623
