ID;invariantType;classification;GPT_verdict;promptTokens;completionTokens;totalTokens
0;daikon.inv.binary.twoString.StringEqual;TP;FP;426;354;780
1;daikon.inv.binary.twoString.StringEqual;TP;FP;403;338;741
2;daikon.inv.binary.twoString.StringEqual;TP;FP;412;350;762
3;daikon.inv.binary.twoScalar.IntEqual;TP;FP;437;316;753
4;daikon.inv.binary.twoScalar.IntEqual;TP;FP;413;326;739
5;daikon.inv.binary.twoScalar.IntEqual;TP;FP;459;343;802
6;daikon.inv.binary.twoScalar.IntEqual;TP;FP;452;259;711
7;daikon.inv.binary.twoScalar.IntEqual;TP;FP;509;336;845
8;daikon.inv.binary.twoScalar.IntEqual;TP;FP;535;290;825
9;daikon.inv.unary.scalar.NonZero;TP;FP;402;317;719
10;daikon.inv.unary.scalar.NonZero;TP;FP;402;344;746
11;daikon.inv.unary.scalar.NonZero;TP;FP;470;372;842
12;daikon.inv.unary.sequence.OneOfSequence;TP;FP;495;374;869
13;daikon.inv.unary.scalar.NonZero;TP;FP;390;298;688
14;daikon.inv.unary.scalar.NonZero;TP;FP;403;352;755
15;daikon.inv.unary.scalar.OneOfScalar;TP;FP;427;386;813
16;daikon.inv.unary.string.OneOfString;TP;FP;428;252;680
17;daikon.inv.unary.scalar.NonZero;TP;FP;391;324;715
18;daikon.inv.unary.scalar.NonZero;TP;FP;496;373;869
19;daikon.inv.unary.sequence.OneOfSequence;TP;FP;521;344;865
20;daikon.inv.unary.scalar.OneOfScalar;TP;FP;449;276;725
21;daikon.inv.unary.string.OneOfString;TP;TP;427;336;763
22;daikon.inv.unary.string.FixedLengthString;TP;FP;414;304;718
23;daikon.inv.unary.string.IsUrl;TP;FP;409;360;769
24;daikon.inv.unary.string.FixedLengthString;TP;FP;407;309;716
25;daikon.inv.unary.string.IsUrl;TP;FP;402;323;725
26;daikon.inv.unary.string.FixedLengthString;TP;FP;400;291;691
27;daikon.inv.unary.string.IsUrl;TP;FP;410;262;672
28;daikon.inv.unary.string.IsUrl;TP;FP;403;373;776
29;daikon.inv.unary.string.FixedLengthString;TP;FP;402;329;731
30;daikon.inv.unary.string.FixedLengthString;TP;FP;416;284;700
31;daikon.inv.unary.string.FixedLengthString;TP;FP;409;310;719
32;daikon.inv.unary.string.IsUrl;TP;FP;404;389;793
33;daikon.inv.unary.string.FixedLengthString;TP;FP;401;300;701
34;daikon.inv.unary.string.FixedLengthString;TP;FP;399;293;692
35;daikon.inv.binary.twoString.StdString$SubString;TP;FP;448;420;868
36;daikon.inv.binary.twoString.StdString$SubString;TP;FP;441;445;886
37;daikon.inv.binary.twoString.StdString$SubString;TP;FP;433;383;816
38;daikon.inv.binary.twoString.StdString$SubString;TP;FP;436;404;840
39;daikon.inv.binary.twoString.StdString$SubString;TP;FP;437;399;836
40;daikon.inv.binary.twoString.StdString$SubString;TP;FP;429;359;788
41;daikon.inv.binary.twoString.StdString$SubString;TP;FP;410;354;764
42;daikon.inv.binary.twoString.StdString$SubString;TP;FP;430;414;844
43;daikon.inv.binary.twoString.StdString$SubString;TP;FP;421;400;821
44;daikon.inv.binary.twoString.StdString$SubString;TP;FP;439;362;801
45;daikon.inv.binary.twoString.StdString$SubString;TP;FP;432;457;889
46;daikon.inv.binary.twoString.StdString$SubString;TP;FP;423;324;747
47;daikon.inv.binary.twoString.StdString$SubString;TP;FP;421;340;761
