ID;invariantType;classification;GPT_verdict;promptTokens;completionTokens;totalTokens
0;daikon.inv.unary.scalar.NonZero;TP;TP;474;269;743
1;daikon.inv.unary.string.OneOfString;TP;FP;497;253;750
2;daikon.inv.binary.twoString.StringEqual;TP;FP;503;220;723
3;daikon.inv.unary.scalar.NonZero;TP;FP;546;229;775
4;daikon.inv.unary.sequence.EltNonZero;TP;TP;556;232;788
5;daikon.inv.unary.scalar.LowerBound;TP;FP;441;196;637
6;daikon.inv.unary.scalar.NonZero;TP;TP;435;164;599
7;daikon.inv.unary.scalar.OneOfScalar;TP;FP;455;219;674
8;daikon.inv.unary.string.OneOfString;TP;FP;514;255;769
9;daikon.inv.unary.string.OneOfString;FP;FP;462;235;697
10;daikon.inv.unary.scalar.LowerBound;TP;TP;448;153;601
11;daikon.inv.unary.string.OneOfString;TP;TP;459;172;631
12;daikon.inv.unary.scalar.LowerBound;TP;TP;544;208;752
13;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;477;231;708
14;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;467;252;719
15;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;580;188;768
16;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;502;205;707
17;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;456;274;730
18;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;572;231;803
19;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;491;96;587
20;daikon.inv.binary.sequenceString.MemberString;FP;TP;513;223;736
21;daikon.inv.binary.sequenceString.MemberString;FP;FP;510;207;717
22;daikon.inv.binary.sequenceString.MemberString;FP;FP;554;249;803
23;daikon.inv.binary.sequenceString.MemberString;FP;FP;555;229;784
24;daikon.inv.binary.sequenceString.MemberString;FP;FP;554;232;786
25;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;461;214;675
26;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;496;225;721
27;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;467;210;677
28;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;563;236;799
