ID;invariantType;classification;GPT_verdict;promptTokens;completionTokens;totalTokens
0;daikon.inv.unary.scalar.NonZero;TP;FP;468;352;820
1;daikon.inv.unary.string.OneOfString;TP;FP;492;354;846
2;daikon.inv.binary.twoString.StringEqual;TP;FP;497;417;914
3;daikon.inv.unary.scalar.NonZero;TP;FP;540;404;944
4;daikon.inv.unary.sequence.EltNonZero;TP;FP;550;315;865
5;daikon.inv.unary.scalar.LowerBound;TP;FP;436;326;762
6;daikon.inv.unary.scalar.NonZero;TP;FP;429;365;794
7;daikon.inv.unary.scalar.OneOfScalar;TP;FP;449;260;709
8;daikon.inv.unary.string.OneOfString;TP;FP;509;368;877
9;daikon.inv.unary.string.OneOfString;FP;FP;457;335;792
10;daikon.inv.unary.scalar.LowerBound;TP;FP;442;390;832
11;daikon.inv.unary.string.OneOfString;TP;FP;454;321;775
12;daikon.inv.unary.scalar.LowerBound;TP;FP;538;291;829
13;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;474;437;911
14;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;462;428;890
15;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;576;391;967
16;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;497;422;919
17;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;450;507;957
18;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;566;463;1029
19;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;485;445;930
20;daikon.inv.binary.sequenceString.MemberString;FP;FP;506;355;861
21;daikon.inv.binary.sequenceString.MemberString;FP;FP;503;381;884
22;daikon.inv.binary.sequenceString.MemberString;FP;FP;547;412;959
23;daikon.inv.binary.sequenceString.MemberString;FP;FP;548;389;937
24;daikon.inv.binary.sequenceString.MemberString;FP;FP;547;408;955
25;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;456;461;917
26;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;491;424;915
27;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;462;499;961
28;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;558;382;940
29;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;477;449;926
30;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;497;436;933
31;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;593;413;1006
32;daikon.inv.binary.twoScalar.IntEqual;TP;FP;438;403;841
33;daikon.inv.binary.twoScalar.IntEqual;TP;FP;424;293;717
34;daikon.inv.unary.scalar.NonZero;TP;TP;764;330;1094
35;daikon.inv.unary.sequence.EltNonZero;TP;FP;774;387;1161
36;daikon.inv.unary.scalar.LowerBound;TP;TP;399;357;756
37;daikon.inv.unary.scalar.LowerBound;TP;FP;392;290;682
38;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;437;438;875
39;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;430;410;840
40;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;800;419;1219
41;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;418;524;942
42;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;790;402;1192
43;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;FP;792;407;1199
44;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;420;428;848
45;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;783;490;1273
46;daikon.inv.unary.string.FixedLengthString;TP;FP;419;395;814
47;daikon.inv.unary.string.IsUrl;TP;FP;414;307;721
48;daikon.inv.unary.string.FixedLengthString;TP;FP;466;352;818
49;daikon.inv.unary.string.FixedLengthString;TP;FP;466;391;857
50;daikon.inv.unary.string.FixedLengthString;TP;FP;466;350;816
51;daikon.inv.binary.twoString.StdString$SubString;TP;FP;496;387;883
52;daikon.inv.binary.twoString.StdString$SubString;TP;FP;496;456;952
53;daikon.inv.binary.twoString.StdString$SubString;TP;FP;488;342;830
54;daikon.inv.binary.twoString.StdString$SubString;TP;FP;488;443;931
55;daikon.inv.unary.stringsequence.SequenceFixedLengthString;TP;TP;472;262;734
56;daikon.inv.unary.string.FixedLengthString;TP;FP;417;300;717
57;daikon.inv.unary.string.IsUrl;TP;FP;412;309;721
58;daikon.inv.unary.string.FixedLengthString;TP;FP;427;358;785
59;daikon.inv.unary.string.FixedLengthString;TP;FP;420;298;718
60;daikon.inv.unary.string.IsUrl;TP;FP;415;381;796
61;daikon.inv.unary.string.FixedLengthString;TP;FP;482;311;793
62;daikon.inv.unary.string.FixedLengthString;TP;FP;483;384;867
63;daikon.inv.unary.string.FixedLengthString;TP;FP;482;346;828
64;daikon.inv.unary.string.FixedLengthString;TP;FP;439;305;744
65;daikon.inv.unary.string.IsUrl;TP;FP;434;308;742
66;daikon.inv.unary.string.FixedLengthString;FP;FP;431;230;661
67;daikon.inv.unary.string.FixedLengthString;TP;FP;428;341;769
68;daikon.inv.unary.string.FixedLengthString;TP;FP;427;342;769
69;daikon.inv.binary.twoString.StdString$SubString;TP;FP;457;362;819
70;daikon.inv.binary.twoString.StdString$SubString;TP;FP;513;422;935
71;daikon.inv.binary.twoString.StdString$SubString;TP;FP;458;444;902
72;daikon.inv.binary.twoString.StdString$SubString;TP;FP;449;397;846
73;daikon.inv.binary.twoString.StdString$SubString;TP;FP;515;369;884
74;daikon.inv.binary.twoString.StdString$SubString;TP;FP;516;434;950
75;daikon.inv.binary.twoString.StdString$SubString;TP;FP;461;419;880
76;daikon.inv.binary.twoString.StdString$SubString;TP;FP;507;463;970
77;daikon.inv.binary.twoString.StdString$SubString;TP;FP;507;443;950
78;daikon.inv.binary.twoString.StdString$SubString;TP;FP;504;410;914
79;daikon.inv.binary.twoString.StdString$SubString;TP;FP;505;439;944
80;daikon.inv.binary.twoString.StdString$SubString;TP;FP;449;413;862
81;daikon.inv.unary.string.IsUrl;TP;FP;397;285;682
82;daikon.inv.unary.string.IsUrl;TP;FP;395;268;663
83;daikon.inv.unary.string.IsUrl;TP;FP;395;299;694
84;daikon.inv.binary.twoString.StdString$SubString;TP;FP;434;473;907
85;daikon.inv.binary.twoString.StdString$SubString;TP;FP;432;383;815
86;daikon.inv.binary.twoString.StdString$SubString;TP;FP;432;438;870
87;daikon.inv.binary.twoString.StdString$SubString;TP;FP;438;430;868
88;daikon.inv.binary.twoString.StdString$SubString;TP;FP;436;456;892
89;daikon.inv.binary.twoString.StdString$SubString;TP;FP;436;463;899
90;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;576;439;1015
91;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;578;483;1061
92;daikon.inv.unary.string.OneOfString;FP;FP;464;293;757
93;daikon.inv.unary.scalar.NonZero;FP;FP;464;292;756
94;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;474;476;950
95;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;495;457;952
96;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;497;554;1051
97;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;483;455;938
98;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;485;523;1008
99;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;489;400;889
100;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;591;424;1015
101;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;595;485;1080
102;daikon.inv.unary.scalar.LowerBound;TP;FP;401;343;744
