ID;invariantType;classification;GPT_verdict;promptTokens;completionTokens;totalTokens
0;daikon.inv.unary.scalar.NonZero;TP;FP;448;227;675
1;daikon.inv.unary.string.OneOfString;TP;TP;471;223;694
2;daikon.inv.binary.twoScalar.IntEqual;TP;TP;489;240;729
3;daikon.inv.unary.scalar.OneOfScalar;TP;FP;501;225;726
4;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;501;225;726
5;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;490;171;661
6;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;489;232;721
7;daikon.inv.unary.string.OneOfString;TP;TP;484;223;707
8;daikon.inv.unary.scalar.NonZero;TP;TP;435;190;625
9;daikon.inv.unary.scalar.NonZero;TP;FP;503;229;732
10;daikon.inv.unary.sequence.EltNonZero;TP;TP;513;195;708
11;daikon.inv.unary.string.OneOfString;TP;TP;459;207;666
12;daikon.inv.unary.scalar.NonZero;TP;TP;520;183;703
13;daikon.inv.unary.sequence.EltNonZero;TP;FP;530;216;746
14;daikon.inv.unary.string.OneOfString;FP;TP;459;191;650
15;daikon.inv.unary.scalar.LowerBound;TP;TP;421;190;611
16;daikon.inv.unary.scalar.OneOfScalar;FP;FP;530;224;754
17;daikon.inv.unary.scalar.LowerBound;TP;TP;518;176;694
18;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;520;226;746
19;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;540;259;799
20;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;554;128;682
21;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;507;103;610
22;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;509;203;712
23;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;546;84;630
24;daikon.inv.binary.sequenceString.MemberString;TP;TP;464;179;643
25;daikon.inv.binary.sequenceString.MemberString;FP;TP;531;215;746
26;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;492;218;710
27;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;494;202;696
28;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;507;121;628
29;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;509;136;645
30;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;511;215;726
31;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;529;255;784
32;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;574;198;772
33;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;591;128;719
34;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;574;153;727
35;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;591;220;811
36;daikon.inv.binary.twoScalar.IntEqual;TP;FP;443;261;704
37;daikon.inv.binary.twoScalar.IntEqual;TP;TP;430;163;593
38;daikon.inv.unary.scalar.NonZero;TP;TP;611;188;799
39;daikon.inv.unary.sequence.EltNonZero;TP;FP;621;306;927
40;daikon.inv.unary.scalar.LowerBound;TP;FP;405;206;611
41;daikon.inv.unary.scalar.LowerBound;TP;TP;398;192;590
42;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;441;244;685
43;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;435;249;684
44;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;FP;646;237;883
45;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;433;187;620
46;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;424;235;659
47;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;637;262;899
48;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;435;193;628
49;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;428;231;659
50;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;435;199;634
51;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;639;225;864
52;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;630;205;835
53;daikon.inv.unary.string.FixedLengthString;TP;FP;425;167;592
54;daikon.inv.unary.string.IsUrl;TP;TP;420;196;616
55;daikon.inv.unary.string.FixedLengthString;TP;FP;446;220;666
56;daikon.inv.unary.string.FixedLengthString;TP;FP;446;247;693
57;daikon.inv.unary.string.FixedLengthString;TP;FP;446;208;654
58;daikon.inv.binary.twoString.StdString$SubString;TP;FP;476;271;747
59;daikon.inv.binary.twoString.StdString$SubString;TP;FP;476;201;677
60;daikon.inv.binary.twoString.StdString$SubString;TP;FP;468;215;683
61;daikon.inv.binary.twoString.StdString$SubString;TP;TP;468;246;714
62;daikon.inv.unary.string.FixedLengthString;TP;FP;461;238;699
63;daikon.inv.unary.string.IsUrl;TP;TP;456;194;650
64;daikon.inv.unary.stringsequence.SequenceFixedLengthString;TP;FP;496;200;696
65;daikon.inv.unary.string.FixedLengthString;TP;FP;423;188;611
66;daikon.inv.unary.string.IsUrl;TP;FP;418;174;592
67;daikon.inv.unary.string.FixedLengthString;TP;FP;433;234;667
68;daikon.inv.unary.string.FixedLengthString;TP;FP;434;184;618
69;daikon.inv.unary.string.FixedLengthString;TP;FP;433;178;611
70;daikon.inv.binary.twoString.StdString$SubString;TP;FP;463;234;697
71;daikon.inv.binary.twoString.StdString$SubString;TP;FP;464;219;683
72;daikon.inv.binary.twoString.StdString$SubString;TP;FP;455;229;684
73;daikon.inv.binary.twoString.StdString$SubString;TP;TP;455;246;701
74;daikon.inv.unary.string.IsUrl;TP;FP;403;182;585
75;daikon.inv.unary.string.IsUrl;TP;TP;401;172;573
76;daikon.inv.unary.string.IsUrl;TP;FP;401;193;594
77;daikon.inv.binary.twoString.StdString$SubString;TP;TP;440;202;642
78;daikon.inv.binary.twoString.StdString$SubString;TP;TP;438;236;674
79;daikon.inv.binary.twoString.StdString$SubString;TP;FP;438;210;648
80;daikon.inv.binary.twoString.StdString$SubString;TP;FP;444;215;659
81;daikon.inv.binary.twoString.StdString$SubString;TP;FP;442;262;704
82;daikon.inv.binary.twoString.StdString$SubString;TP;FP;442;226;668
83;daikon.inv.unary.string.OneOfString;TP;FP;462;202;664
84;daikon.inv.unary.scalar.OneOfScalar;FP;FP;535;177;712
85;daikon.inv.unary.scalar.LowerBound;TP;TP;481;201;682
86;daikon.inv.unary.scalar.LowerBound;TP;TP;407;211;618
