ID;invariantType;classification;GPT_verdict;promptTokens;completionTokens;totalTokens
0;daikon.inv.unary.scalar.NonZero;TP;FP;442;352;794
1;daikon.inv.unary.string.OneOfString;TP;FP;466;332;798
2;daikon.inv.binary.twoScalar.IntEqual;TP;FP;483;308;791
3;daikon.inv.unary.scalar.OneOfScalar;TP;FP;495;419;914
4;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;496;401;897
5;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;484;418;902
6;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;484;467;951
7;daikon.inv.unary.string.OneOfString;TP;TP;479;265;744
8;daikon.inv.unary.scalar.NonZero;TP;FP;429;339;768
9;daikon.inv.unary.scalar.NonZero;TP;FP;497;399;896
10;daikon.inv.unary.sequence.EltNonZero;TP;FP;507;431;938
11;daikon.inv.unary.string.OneOfString;TP;TP;454;370;824
12;daikon.inv.unary.scalar.NonZero;TP;FP;514;427;941
13;daikon.inv.unary.sequence.EltNonZero;TP;FP;524;304;828
14;daikon.inv.unary.string.OneOfString;FP;FP;454;306;760
15;daikon.inv.unary.scalar.LowerBound;TP;FP;415;305;720
16;daikon.inv.unary.scalar.OneOfScalar;FP;FP;524;347;871
17;daikon.inv.unary.scalar.LowerBound;TP;FP;512;311;823
18;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;515;477;992
19;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;535;384;919
20;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;550;402;952
21;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;501;445;946
22;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;503;498;1001
23;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;540;380;920
24;daikon.inv.binary.sequenceString.MemberString;TP;FP;457;314;771
25;daikon.inv.binary.sequenceString.MemberString;FP;FP;524;348;872
26;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;486;357;843
27;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;488;534;1022
28;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;501;464;965
29;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;503;464;967
30;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;505;478;983
31;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;523;462;985
32;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;568;471;1039
33;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;585;407;992
34;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;568;444;1012
35;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;585;384;969
36;daikon.inv.binary.twoScalar.IntEqual;TP;FP;438;417;855
37;daikon.inv.binary.twoScalar.IntEqual;TP;FP;424;296;720
38;daikon.inv.unary.scalar.NonZero;TP;TP;605;260;865
39;daikon.inv.unary.sequence.EltNonZero;TP;FP;615;449;1064
40;daikon.inv.unary.scalar.LowerBound;TP;FP;399;391;790
41;daikon.inv.unary.scalar.LowerBound;TP;TP;392;268;660
42;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;437;441;878
43;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;430;457;887
44;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;641;439;1080
45;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;427;358;785
46;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;418;427;845
47;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;631;497;1128
48;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;429;340;769
49;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;422;413;835
50;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;429;551;980
51;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;633;463;1096
52;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;FP;624;381;1005
53;daikon.inv.unary.string.FixedLengthString;TP;FP;419;367;786
54;daikon.inv.unary.string.IsUrl;TP;FP;414;312;726
55;daikon.inv.unary.string.FixedLengthString;TP;FP;440;268;708
56;daikon.inv.unary.string.FixedLengthString;TP;FP;440;425;865
57;daikon.inv.unary.string.FixedLengthString;TP;FP;440;294;734
58;daikon.inv.binary.twoString.StdString$SubString;TP;FP;470;392;862
59;daikon.inv.binary.twoString.StdString$SubString;TP;FP;470;385;855
60;daikon.inv.binary.twoString.StdString$SubString;TP;FP;462;368;830
61;daikon.inv.binary.twoString.StdString$SubString;TP;FP;462;440;902
62;daikon.inv.unary.string.FixedLengthString;TP;FP;455;315;770
63;daikon.inv.unary.string.IsUrl;TP;FP;450;328;778
64;daikon.inv.unary.stringsequence.SequenceFixedLengthString;TP;TP;490;290;780
65;daikon.inv.unary.string.FixedLengthString;TP;FP;417;337;754
66;daikon.inv.unary.string.IsUrl;TP;FP;412;302;714
67;daikon.inv.unary.string.FixedLengthString;TP;FP;427;325;752
68;daikon.inv.unary.string.FixedLengthString;TP;TP;428;306;734
69;daikon.inv.unary.string.FixedLengthString;TP;FP;427;306;733
70;daikon.inv.binary.twoString.StdString$SubString;TP;FP;457;359;816
71;daikon.inv.binary.twoString.StdString$SubString;TP;FP;458;369;827
72;daikon.inv.binary.twoString.StdString$SubString;TP;FP;449;384;833
73;daikon.inv.binary.twoString.StdString$SubString;TP;FP;449;380;829
74;daikon.inv.unary.string.IsUrl;TP;FP;397;340;737
75;daikon.inv.unary.string.IsUrl;TP;FP;395;270;665
76;daikon.inv.unary.string.IsUrl;TP;FP;395;283;678
77;daikon.inv.binary.twoString.StdString$SubString;TP;FP;434;426;860
78;daikon.inv.binary.twoString.StdString$SubString;TP;FP;432;358;790
79;daikon.inv.binary.twoString.StdString$SubString;TP;FP;432;431;863
80;daikon.inv.binary.twoString.StdString$SubString;TP;FP;438;417;855
81;daikon.inv.binary.twoString.StdString$SubString;TP;FP;436;389;825
82;daikon.inv.binary.twoString.StdString$SubString;TP;FP;436;415;851
83;daikon.inv.unary.string.OneOfString;TP;FP;457;338;795
84;daikon.inv.unary.scalar.OneOfScalar;FP;FP;529;341;870
85;daikon.inv.unary.scalar.LowerBound;TP;FP;475;294;769
86;daikon.inv.unary.scalar.LowerBound;TP;FP;401;336;737
