ID;invariantType;classification;GPT_verdict;promptTokens;completionTokens;totalTokens
0;daikon.inv.unary.scalar.NonZero;TP;FP;402;208;610
1;daikon.inv.unary.sequence.EltNonZero;TP;FP;412;255;667
2;daikon.inv.unary.scalar.NonZero;TP;TP;385;199;584
3;daikon.inv.unary.scalar.NonZeroFloat;FP;TP;390;229;619
4;daikon.inv.unary.scalar.NonZeroFloat;FP;FP;390;210;600
5;daikon.inv.unary.scalar.OneOfScalar;FP;TP;411;181;592
6;daikon.inv.unary.scalar.LowerBound;FP;TP;383;217;600
7;daikon.inv.unary.scalar.NonZero;TP;FP;393;224;617
8;daikon.inv.unary.stringsequence.EltOneOfString;TP;FP;445;192;637
9;daikon.inv.unary.scalar.NonZero;TP;TP;385;185;570
10;daikon.inv.unary.scalar.NonZero;TP;TP;407;216;623
11;daikon.inv.unary.scalar.LowerBound;FP;FP;400;235;635
12;daikon.inv.unary.scalar.LowerBound;FP;TP;405;222;627
13;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;408;238;646
14;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;425;79;504
15;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;416;279;695
16;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;430;240;670
17;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;425;271;696
18;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;416;236;652
19;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;412;226;638
20;daikon.inv.binary.twoScalar.FloatNonEqual;FP;FP;403;234;637
21;daikon.inv.binary.twoScalar.FloatLessThan;FP;FP;402;169;571
22;daikon.inv.binary.twoScalar.FloatNonEqual;FP;FP;402;254;656
23;daikon.inv.binary.twoScalar.FloatLessThan;FP;FP;402;211;613
24;daikon.inv.binary.twoScalar.FloatNonEqual;FP;FP;402;272;674
25;daikon.inv.binary.twoScalar.FloatGreaterThan;FP;FP;389;218;607
26;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;406;233;639
27;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;404;242;646
28;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;401;198;599
29;daikon.inv.binary.sequenceString.MemberString;TP;FP;434;289;723
30;daikon.inv.binary.sequenceString.MemberString;TP;FP;434;211;645
31;daikon.inv.binary.sequenceString.MemberString;TP;FP;434;251;685
32;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;422;228;650
33;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;424;224;648
34;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;414;278;692
35;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;426;282;708
36;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;428;261;689
37;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;428;217;645
38;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;423;217;640
39;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;414;195;609
40;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;428;235;663
41;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;435;237;672
42;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;426;261;687
43;daikon.inv.unary.scalar.LowerBound;TP;TP;354;208;562
