ID;invariantType;classification;GPT_verdict;promptTokens;completionTokens;totalTokens
0;daikon.inv.unary.scalar.NonZero;TP;FP;398;424;822
1;daikon.inv.unary.sequence.EltNonZero;TP;FP;408;339;747
2;daikon.inv.unary.scalar.NonZero;TP;FP;381;354;735
3;daikon.inv.unary.scalar.NonZeroFloat;FP;FP;386;385;771
4;daikon.inv.unary.scalar.NonZeroFloat;FP;FP;386;305;691
5;daikon.inv.unary.scalar.OneOfScalar;FP;FP;407;288;695
6;daikon.inv.unary.scalar.LowerBound;FP;FP;379;298;677
7;daikon.inv.unary.scalar.NonZero;TP;FP;389;381;770
8;daikon.inv.unary.stringsequence.EltOneOfString;TP;FP;443;264;707
9;daikon.inv.unary.scalar.NonZero;TP;FP;381;357;738
10;daikon.inv.unary.scalar.NonZero;TP;FP;403;468;871
11;daikon.inv.unary.scalar.LowerBound;FP;FP;396;336;732
12;daikon.inv.unary.scalar.LowerBound;FP;FP;401;270;671
13;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;406;397;803
14;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;423;396;819
15;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;414;343;757
16;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;428;476;904
17;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;422;418;840
18;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;413;381;794
19;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;408;445;853
20;daikon.inv.binary.twoScalar.FloatNonEqual;FP;FP;399;311;710
21;daikon.inv.binary.twoScalar.FloatLessThan;FP;FP;398;381;779
22;daikon.inv.binary.twoScalar.FloatNonEqual;FP;FP;398;311;709
23;daikon.inv.binary.twoScalar.FloatLessThan;FP;FP;398;382;780
24;daikon.inv.binary.twoScalar.FloatNonEqual;FP;FP;398;352;750
25;daikon.inv.binary.twoScalar.FloatGreaterThan;FP;FP;386;378;764
26;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;402;497;899
27;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;400;449;849
28;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;398;368;766
29;daikon.inv.binary.sequenceString.MemberString;TP;FP;429;395;824
30;daikon.inv.binary.sequenceString.MemberString;TP;FP;429;415;844
31;daikon.inv.binary.sequenceString.MemberString;TP;FP;429;421;850
32;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;417;366;783
33;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;419;416;835
34;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;410;463;873
35;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;421;425;846
36;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;424;553;977
37;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;424;490;914
38;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;419;479;898
39;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;410;552;962
40;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;424;444;868
41;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;431;528;959
42;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;422;441;863
43;daikon.inv.unary.scalar.LowerBound;TP;TP;350;258;608
44;daikon.inv.unary.scalar.NonZero;TP;FP;354;356;710
45;daikon.inv.unary.scalar.NonZero;TP;FP;366;282;648
46;daikon.inv.unary.scalar.NonZero;TP;TP;418;259;677
47;daikon.inv.unary.sequence.EltNonZero;TP;FP;428;341;769
48;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;377;408;785
49;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;443;428;871
50;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;FP;442;387;829
51;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;369;416;785
52;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;371;424;795
53;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;373;396;769
54;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;371;466;837
55;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;373;475;848
56;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;FP;425;370;795
57;daikon.inv.binary.twoScalar.FloatNonEqual;FP;FP;385;389;774
58;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;439;472;911
59;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;439;411;850
