ID;invariantType;classification;GPT_verdict;promptTokens;completionTokens;totalTokens
0;daikon.inv.binary.twoScalar.IntEqual;FP;FP;564;216;780
1;daikon.inv.binary.twoScalar.IntEqual;FP;FP;561;219;780
2;daikon.inv.binary.twoScalar.IntEqual;FP;FP;543;207;750
3;daikon.inv.binary.twoScalar.IntEqual;FP;FP;542;26;568
4;daikon.inv.binary.twoString.StringEqual;FP;FP;489;263;752
5;daikon.inv.binary.twoString.StringEqual;FP;FP;489;252;741
6;daikon.inv.binary.twoScalar.IntEqual;TP;FP;531;232;763
7;daikon.inv.binary.twoScalar.IntEqual;TP;FP;520;209;729
8;daikon.inv.binary.twoScalar.IntEqual;TP;FP;495;196;691
9;daikon.inv.binary.twoScalar.IntEqual;TP;FP;552;212;764
10;daikon.inv.binary.twoScalar.IntEqual;TP;FP;550;248;798
11;daikon.inv.binary.twoScalar.IntEqual;TP;FP;573;200;773
12;daikon.inv.binary.twoScalar.IntEqual;FP;FP;475;229;704
13;daikon.inv.unary.scalar.OneOfScalar;TP;TP;419;216;635
14;daikon.inv.unary.string.OneOfString;TP;TP;473;237;710
15;daikon.inv.unary.scalar.OneOfScalar;TP;FP;455;210;665
16;daikon.inv.unary.string.OneOfString;TP;TP;479;183;662
17;daikon.inv.unary.string.OneOfString;TP;TP;474;226;700
18;daikon.inv.unary.string.OneOfString;FP;FP;465;250;715
19;daikon.inv.unary.stringsequence.OneOfStringSequence;FP;FP;901;191;1092
20;daikon.inv.unary.scalar.OneOfScalar;TP;FP;455;232;687
21;daikon.inv.unary.scalar.OneOfScalar;TP;FP;593;217;810
22;daikon.inv.unary.scalar.OneOfScalar;TP;FP;696;211;907
23;daikon.inv.unary.string.OneOfString;TP;FP;432;219;651
24;daikon.inv.unary.scalar.OneOfScalar;TP;FP;432;222;654
25;daikon.inv.unary.scalar.OneOfScalar;TP;FP;454;247;701
26;daikon.inv.unary.scalar.OneOfScalar;TP;FP;436;242;678
27;daikon.inv.unary.scalar.OneOfScalar;TP;TP;462;214;676
28;daikon.inv.unary.scalar.OneOfScalar;TP;FP;571;238;809
29;daikon.inv.unary.scalar.OneOfFloat;TP;FP;485;263;748
30;daikon.inv.unary.scalar.OneOfFloat;FP;FP;486;244;730
31;daikon.inv.unary.scalar.OneOfFloat;FP;FP;487;254;741
32;daikon.inv.unary.string.OneOfString;FP;FP;467;235;702
33;daikon.inv.unary.string.OneOfString;FP;TP;498;242;740
34;daikon.inv.unary.scalar.OneOfScalar;TP;TP;511;92;603
35;daikon.inv.unary.scalar.OneOfScalar;TP;FP;511;238;749
36;daikon.inv.unary.scalar.OneOfScalar;TP;FP;511;251;762
37;daikon.inv.unary.scalar.OneOfScalar;TP;FP;511;106;617
38;daikon.inv.unary.scalar.OneOfScalar;TP;FP;513;242;755
39;daikon.inv.unary.scalar.OneOfScalar;TP;FP;514;253;767
40;daikon.inv.unary.scalar.OneOfScalar;TP;FP;511;96;607
41;daikon.inv.unary.scalar.OneOfScalar;TP;FP;511;233;744
42;daikon.inv.unary.scalar.OneOfScalar;TP;FP;511;232;743
43;daikon.inv.unary.scalar.OneOfScalar;TP;FP;511;228;739
44;daikon.inv.unary.string.OneOfString;FP;TP;469;208;677
45;daikon.inv.unary.string.OneOfString;TP;TP;487;188;675
46;daikon.inv.unary.scalar.OneOfScalar;FP;FP;454;262;716
47;daikon.inv.unary.string.OneOfString;FP;TP;481;200;681
48;daikon.inv.unary.string.OneOfString;FP;TP;483;238;721
49;daikon.inv.unary.scalar.OneOfScalar;TP;FP;439;232;671
50;daikon.inv.unary.scalar.OneOfScalar;TP;FP;484;86;570
51;daikon.inv.unary.scalar.OneOfScalar;TP;FP;590;220;810
