ID;invariantType;classification;GPT_verdict;promptTokens;completionTokens;totalTokens
0;daikon.inv.binary.twoScalar.IntEqual;FP;FP;558;433;991
1;daikon.inv.binary.twoScalar.IntEqual;FP;FP;556;361;917
2;daikon.inv.binary.twoScalar.IntEqual;FP;FP;539;408;947
3;daikon.inv.binary.twoScalar.IntEqual;FP;FP;540;365;905
4;daikon.inv.binary.twoString.StringEqual;FP;FP;483;351;834
5;daikon.inv.binary.twoString.StringEqual;FP;FP;483;391;874
6;daikon.inv.binary.twoScalar.IntEqual;TP;FP;530;345;875
7;daikon.inv.binary.twoScalar.IntEqual;TP;FP;515;370;885
8;daikon.inv.binary.twoScalar.IntEqual;TP;FP;491;372;863
9;daikon.inv.binary.twoScalar.IntEqual;TP;FP;549;376;925
10;daikon.inv.binary.twoScalar.IntEqual;TP;FP;546;426;972
11;daikon.inv.binary.twoScalar.IntEqual;TP;FP;569;427;996
12;daikon.inv.binary.twoScalar.IntEqual;FP;FP;470;469;939
13;daikon.inv.unary.scalar.OneOfScalar;TP;FP;415;372;787
14;daikon.inv.unary.string.OneOfString;TP;TP;471;297;768
15;daikon.inv.unary.scalar.OneOfScalar;TP;FP;451;350;801
16;daikon.inv.unary.string.OneOfString;TP;TP;477;305;782
17;daikon.inv.unary.string.OneOfString;TP;FP;472;310;782
18;daikon.inv.unary.string.OneOfString;FP;FP;463;308;771
19;daikon.inv.unary.stringsequence.OneOfStringSequence;FP;FP;893;409;1302
20;daikon.inv.unary.scalar.OneOfScalar;TP;FP;451;413;864
21;daikon.inv.unary.scalar.OneOfScalar;TP;FP;589;396;985
22;daikon.inv.unary.scalar.OneOfScalar;TP;FP;692;396;1088
23;daikon.inv.unary.string.OneOfString;TP;FP;429;297;726
24;daikon.inv.unary.scalar.OneOfScalar;TP;FP;429;275;704
25;daikon.inv.unary.scalar.OneOfScalar;TP;FP;452;429;881
26;daikon.inv.unary.scalar.OneOfScalar;TP;FP;431;370;801
27;daikon.inv.unary.scalar.OneOfScalar;TP;FP;456;397;853
28;daikon.inv.unary.scalar.OneOfScalar;TP;TP;569;301;870
29;daikon.inv.unary.scalar.OneOfFloat;TP;FP;481;378;859
30;daikon.inv.unary.scalar.OneOfFloat;FP;FP;482;415;897
31;daikon.inv.unary.scalar.OneOfFloat;FP;FP;483;322;805
32;daikon.inv.unary.string.OneOfString;FP;FP;463;317;780
33;daikon.inv.unary.string.OneOfString;FP;FP;494;271;765
34;daikon.inv.unary.scalar.OneOfScalar;TP;FP;509;337;846
35;daikon.inv.unary.scalar.OneOfScalar;TP;FP;509;390;899
36;daikon.inv.unary.scalar.OneOfScalar;TP;FP;509;346;855
37;daikon.inv.unary.scalar.OneOfScalar;TP;FP;509;348;857
38;daikon.inv.unary.scalar.OneOfScalar;TP;FP;511;433;944
39;daikon.inv.unary.scalar.OneOfScalar;TP;FP;512;343;855
40;daikon.inv.unary.scalar.OneOfScalar;TP;FP;509;363;872
