invariantCategory;GPT_Model;TP;TN;FP;FN;count;accuracy;precision;recall;f1score
Arithmetic comparisons;GPT-3.5;59;580;56;117;812;0.7869458128078818;0.5130434782608696;0.3352272727272727;0.4054982817869416
Specific values;GPT-3.5;55;61;32;69;217;0.5345622119815668;0.632183908045977;0.4435483870967742;0.5213270142180095
Specific formats;GPT-3.5;45;14;0;261;320;0.184375;1.0;0.14705882352941177;0.2564102564102564
String comparisons;GPT-3.5;25;20;1;203;249;0.18072289156626506;0.9615384615384616;0.10964912280701754;0.1968503937007874
Array properties;GPT-3.5;11;91;7;24;133;0.7669172932330827;0.6111111111111112;0.3142857142857143;0.41509433962264153
Arithmetic comparisons;GPT-4o-mini;18;634;2;158;812;0.8029556650246306;0.9;0.10227272727272728;0.1836734693877551
Specific values;GPT-4o-mini;24;92;1;100;217;0.5345622119815668;0.96;0.1935483870967742;0.3221476510067114
Specific formats;GPT-4o-mini;18;13;1;288;320;0.096875;0.9473684210526315;0.058823529411764705;0.11076923076923077
String comparisons;GPT-4o-mini;9;21;0;219;249;0.12048192771084337;1.0;0.039473684210526314;0.0759493670886076
Array properties;GPT-4o-mini;0;98;0;35;133;0.7368421052631579;NaN;0.0;0.0
