invariantType;GPT_Model;TP;TN;FP;FN;count;accuracy;precision;recall;f1score
daikon.inv.unary.scalar.NonZeroFloat;GPT-3.5;0;3;3;0;6;0.5;0.0;NaN;0.0
daikon.inv.binary.twoScalar.FloatNonEqual;GPT-3.5;0;6;2;0;8;0.75;0.0;NaN;0.0
daikon.inv.unary.scalar.LowerBound;GPT-3.5;28;2;8;4;42;0.7142857142857143;0.7777777777777778;0.875;0.8235294117647058
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm;GPT-3.5;3;0;0;9;12;0.25;1.0;0.25;0.4
daikon.inv.binary.twoString.StringEqual;GPT-3.5;10;11;1;25;47;0.44680851063829785;0.9090909090909091;0.2857142857142857;0.43478260869565216
daikon.inv.binary.twoScalar.IntNonEqual;GPT-3.5;0;143;5;2;150;0.9533333333333334;0.0;0.0;0.0
daikon.inv.unary.sequence.EltNonZero;GPT-3.5;7;1;0;20;28;0.2857142857142857;1.0;0.25925925925925924;0.4117647058823529
daikon.inv.binary.twoScalar.FloatLessThan;GPT-3.5;0;2;0;0;2;1.0;NaN;NaN;NaN
daikon.inv.unary.scalar.OneOfFloat;GPT-3.5;0;2;0;1;3;0.6666666666666666;NaN;0.0;0.0
daikon.inv.binary.twoSequence.SuperSet;GPT-3.5;0;3;0;0;3;1.0;NaN;NaN;NaN
daikon.inv.binary.twoScalar.IntGreaterThan;GPT-3.5;0;118;15;18;151;0.7814569536423841;0.0;0.0;0.0
daikon.inv.unary.scalar.OneOfScalar;GPT-3.5;5;28;8;35;76;0.4342105263157895;0.38461538461538464;0.125;0.18867924528301888
daikon.inv.binary.twoScalar.NumericInt$Square;GPT-3.5;0;2;0;0;2;1.0;NaN;NaN;NaN
daikon.inv.unary.string.OneOfString;GPT-3.5;21;21;12;24;78;0.5384615384615384;0.6363636363636364;0.4666666666666667;0.5384615384615384
daikon.inv.unary.sequence.OneOfSequence;GPT-3.5;0;2;0;2;4;0.5;NaN;0.0;0.0
daikon.inv.unary.stringsequence.OneOfStringSequence;GPT-3.5;0;4;1;1;6;0.6666666666666666;0.0;0.0;0.0
daikon.inv.unary.string.IsNumeric;GPT-3.5;2;1;0;28;31;0.0967741935483871;1.0;0.06666666666666667;0.125
daikon.inv.unary.stringsequence.EltOneOfString;GPT-3.5;0;1;3;1;5;0.2;0.0;0.0;0.0
daikon.inv.binary.twoScalar.IntLessThan;GPT-3.5;0;25;2;11;38;0.6578947368421053;0.0;0.0;0.0
daikon.inv.binary.twoScalar.FloatGreaterThan;GPT-3.5;0;1;0;0;1;1.0;NaN;NaN;NaN
daikon.inv.unary.scalar.LowerBoundFloat;GPT-3.5;1;1;0;1;3;0.6666666666666666;1.0;0.5;0.6666666666666666
