ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.unary.string.OneOfString;TP;TP;0.95;773;252;1025;10000
1;daikon.inv.unary.string.OneOfString;TP;TP;0.9;774;293;1067;10000
2;daikon.inv.binary.twoString.StringEqual;FP;TP;0.9;891;218;1109;1000
3;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.9;797;246;1043;10000
4;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;839;240;1079;10000
5;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.9;1024;285;1309;50
6;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;865;268;1133;10000
7;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;899;244;1143;10000
8;daikon.inv.binary.twoString.StringEqual;FP;TP;0.9;863;273;1136;100
9;daikon.inv.binary.twoString.StringEqual;FP;TP;0.9;972;224;1196;500
10;daikon.inv.binary.twoString.StringEqual;FP;TP;0.9;769;270;1039;100
11;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.9;688;275;963;10000
12;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.95;725;256;981;10000
13;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.9;732;260;992;10000
14;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.9;733;293;1026;10000
15;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.9;1060;294;1354;50
16;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.9;843;286;1129;10000
17;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.9;947;221;1168;10000
18;daikon.inv.unary.string.OneOfString;FP;TP;0.9;798;396;1194;10000
19;daikon.inv.unary.string.OneOfString;FP;TP;0.9;772;271;1043;10000
20;daikon.inv.unary.string.OneOfString;FP;TP;0.9;704;277;981;100
21;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.6;668;251;919;10000
22;daikon.inv.unary.string.OneOfString;FP;TP;0.9;801;230;1031;100
23;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;617;195;812;10000
24;daikon.inv.unary.scalar.NonZero;FP;TP;0.9;666;223;889;100
25;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.9;776;281;1057;50
26;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;656;246;902;10000
27;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;619;198;817;10000
28;daikon.inv.unary.scalar.OneOfScalar;FP;FP;1.0;703;233;936;10000
29;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;623;221;844;10000
30;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;870;212;1082;10000
31;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.9;735;248;983;10000
32;daikon.inv.unary.string.OneOfString;FP;TP;0.9;765;239;1004;100
33;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;828;213;1041;10000
34;daikon.inv.unary.scalar.NonZero;FP;TP;0.9;623;243;866;500
35;daikon.inv.unary.string.OneOfString;FP;TP;0.9;787;232;1019;10000
36;daikon.inv.unary.stringsequence.OneOfStringSequence;FP;TP;0.8;954;288;1242;50
37;daikon.inv.unary.stringsequence.EltOneOfString;FP;TP;0.9;967;254;1221;50
38;daikon.inv.unary.stringsequence.OneOfStringSequence;FP;TP;0.9;908;228;1136;50
39;daikon.inv.unary.stringsequence.EltOneOfString;FP;TP;0.9;1008;248;1256;10000
40;daikon.inv.unary.stringsequence.OneOfStringSequence;FP;TP;0.9;998;304;1302;10000
41;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.9;687;252;939;10000
42;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.95;722;209;931;10000
43;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.95;783;270;1053;10000
44;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.9;669;265;934;50
45;daikon.inv.unary.string.OneOfString;TP;TP;0.9;745;280;1025;10000
46;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.9;753;254;1007;100
47;daikon.inv.unary.string.OneOfString;FP;TP;0.9;806;372;1178;100
48;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.95;662;240;902;10000
49;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.95;705;198;903;10000
50;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.9;705;223;928;10000
51;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.9;1098;259;1357;10000
52;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;1074;258;1332;10000
53;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.7;951;233;1184;50
54;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.9;906;299;1205;100
55;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.9;987;227;1214;10000
56;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.9;969;318;1287;50
57;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.9;971;288;1259;50
