ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.unary.string.OneOfString;TP;TP;1.0;769;477;1246;10000
1;daikon.inv.unary.string.OneOfString;TP;TP;0.95;769;427;1196;10000
2;daikon.inv.binary.twoString.StringEqual;FP;FP;0.9;896;480;1376;1000
3;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.85;793;512;1305;10000
4;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;817;534;1351;10000
5;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.8;1012;475;1487;50
6;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;859;619;1478;10000
7;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;894;649;1543;10000
8;daikon.inv.binary.twoString.StringEqual;FP;FP;0.9;854;575;1429;100
9;daikon.inv.binary.twoString.StringEqual;FP;FP;0.85;966;488;1454;500
10;daikon.inv.binary.twoString.StringEqual;FP;FP;0.8;762;495;1257;100
11;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.95;683;475;1158;10000
12;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.7;720;436;1156;10000
13;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.7;726;453;1179;10000
14;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.8;728;505;1233;10000
15;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.9;1050;462;1512;50
16;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.85;839;471;1310;10000
17;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.9;941;535;1476;10000
18;daikon.inv.unary.string.OneOfString;FP;FP;0.95;794;443;1237;10000
19;daikon.inv.unary.string.OneOfString;FP;FP;0.9;768;473;1241;10000
20;daikon.inv.unary.string.OneOfString;FP;FP;0.8;699;445;1144;100
21;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.8;663;448;1111;10000
22;daikon.inv.unary.string.OneOfString;FP;FP;0.9;797;449;1246;100
23;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;612;419;1031;10000
24;daikon.inv.unary.scalar.NonZero;FP;TP;0.85;661;403;1064;100
25;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.9;771;414;1185;50
26;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;651;431;1082;10000
27;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;613;500;1113;10000
28;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.8;697;479;1176;10000
29;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;618;399;1017;10000
30;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;863;467;1330;10000
31;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.9;730;430;1160;10000
32;daikon.inv.unary.string.OneOfString;FP;FP;0.9;762;390;1152;100
33;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;824;451;1275;10000
34;daikon.inv.unary.scalar.NonZero;FP;TP;0.95;618;474;1092;500
35;daikon.inv.unary.string.OneOfString;FP;FP;0.8;782;456;1238;10000
36;daikon.inv.unary.stringsequence.OneOfStringSequence;FP;FP;0.9;948;441;1389;50
37;daikon.inv.unary.stringsequence.EltOneOfString;FP;FP;0.9;961;439;1400;50
38;daikon.inv.unary.stringsequence.OneOfStringSequence;FP;FP;0.6;902;452;1354;50
39;daikon.inv.unary.stringsequence.EltOneOfString;FP;FP;0.9;999;480;1479;10000
40;daikon.inv.unary.stringsequence.OneOfStringSequence;FP;FP;0.7;989;464;1453;10000
41;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.8;682;494;1176;10000
42;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.8;717;434;1151;10000
43;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.85;779;486;1265;10000
44;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.7;664;467;1131;50
45;daikon.inv.unary.string.OneOfString;TP;TP;1.0;742;416;1158;10000
46;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.8;752;444;1196;100
47;daikon.inv.unary.string.OneOfString;FP;TP;0.8;802;480;1282;100
48;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.85;659;497;1156;10000
49;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.9;702;464;1166;10000
50;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.95;702;424;1126;10000
51;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.95;1091;417;1508;10000
52;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;1089;460;1549;10000
