ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.unary.string.OneOfString;TP;TP;0.95;769;261;1030;10000
1;daikon.inv.unary.string.OneOfString;TP;TP;0.95;769;313;1082;10000
2;daikon.inv.binary.twoString.StringEqual;FP;FP;0.95;896;442;1338;1000
3;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.8;793;522;1315;10000
4;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;817;399;1216;10000
5;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.95;1012;490;1502;50
6;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;859;385;1244;10000
7;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;894;403;1297;10000
8;daikon.inv.binary.twoString.StringEqual;FP;FP;0.85;854;474;1328;100
9;daikon.inv.binary.twoString.StringEqual;FP;FP;0.85;966;391;1357;500
10;daikon.inv.binary.twoString.StringEqual;FP;FP;0.9;762;436;1198;100
11;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.85;683;375;1058;10000
12;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.85;720;418;1138;10000
13;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.85;726;384;1110;10000
14;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.7;728;365;1093;10000
15;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.9;1050;423;1473;50
16;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.85;839;446;1285;10000
17;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.95;941;459;1400;10000
18;daikon.inv.unary.string.OneOfString;FP;FP;0.95;794;375;1169;10000
19;daikon.inv.unary.string.OneOfString;FP;FP;0.9;768;353;1121;10000
20;daikon.inv.unary.string.OneOfString;FP;FP;0.95;699;387;1086;100
21;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.9;663;389;1052;10000
22;daikon.inv.unary.string.OneOfString;FP;FP;0.95;797;320;1117;100
23;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;612;294;906;10000
24;daikon.inv.unary.scalar.NonZero;FP;FP;0.85;661;434;1095;100
25;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.9;771;408;1179;50
26;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;651;371;1022;10000
27;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;613;281;894;10000
28;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.9;697;471;1168;10000
29;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;618;339;957;10000
30;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;863;375;1238;10000
31;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.85;730;499;1229;10000
32;daikon.inv.unary.string.OneOfString;FP;FP;0.8;762;428;1190;100
33;daikon.inv.unary.sequence.EltNonZero;TP;FP;0.85;824;386;1210;10000
34;daikon.inv.unary.scalar.NonZero;FP;TP;0.9;618;369;987;500
35;daikon.inv.unary.string.OneOfString;FP;FP;0.95;782;327;1109;10000
36;daikon.inv.unary.stringsequence.OneOfStringSequence;FP;FP;0.9;948;382;1330;50
37;daikon.inv.unary.stringsequence.EltOneOfString;FP;FP;0.9;961;373;1334;50
38;daikon.inv.unary.stringsequence.OneOfStringSequence;FP;FP;0.9;902;470;1372;50
39;daikon.inv.unary.stringsequence.EltOneOfString;FP;FP;0.9;999;426;1425;10000
40;daikon.inv.unary.stringsequence.OneOfStringSequence;FP;FP;0.85;989;385;1374;10000
41;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.85;682;462;1144;10000
42;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.85;717;388;1105;10000
43;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.95;779;401;1180;10000
44;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.8;664;421;1085;50
45;daikon.inv.unary.string.OneOfString;TP;TP;0.95;742;324;1066;10000
46;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.85;752;372;1124;100
47;daikon.inv.unary.string.OneOfString;FP;FP;0.85;802;453;1255;100
48;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.8;659;375;1034;10000
49;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.7;702;394;1096;10000
50;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.85;702;424;1126;10000
51;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.85;1090;431;1521;10000
52;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;1040;398;1438;10000
53;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.9;944;438;1382;50
54;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.85;898;404;1302;100
55;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.8;977;472;1449;10000
56;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.85;964;443;1407;50
57;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.85;966;457;1423;50
58;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.85;1155;486;1641;500
59;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.85;1014;498;1512;100
60;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.9;1078;473;1551;100
61;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.95;850;523;1373;100
62;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.75;1148;571;1719;100
63;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.85;1150;538;1688;100
64;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.75;1115;606;1721;100
65;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.9;1065;472;1537;100
66;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;793;439;1232;100
67;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;918;412;1330;100
68;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;799;406;1205;100
69;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;924;427;1351;100
70;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.9;1184;480;1664;100
71;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.75;1068;541;1609;500
72;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.9;1044;480;1524;50
73;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;855;433;1288;100
74;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;980;502;1482;100
75;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;812;445;1257;10000
76;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;937;459;1396;10000
77;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;817;471;1288;100
78;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;799;422;1221;100
79;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;841;414;1255;100
80;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;942;395;1337;100
81;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;924;473;1397;100
82;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;966;391;1357;100
83;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.7;1170;469;1639;500
84;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.7;1077;458;1535;100
85;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.85;1147;408;1555;100
86;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.7;1151;523;1674;100
87;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.7;1232;519;1751;10000
88;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.85;1140;449;1589;100
89;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;1067;507;1574;50
90;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.9;1144;416;1560;100
91;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.85;976;512;1488;100
92;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.85;1396;430;1826;50
93;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.9;980;410;1390;100
94;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.85;1400;519;1919;50
95;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;1214;615;1829;1000
96;daikon.inv.unary.string.OneOfString;TP;TP;0.95;677;390;1067;10000
97;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;1016;288;1304;10000
98;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;605;322;927;10000
99;daikon.inv.unary.string.OneOfString;TP;TP;0.85;684;465;1149;10000
100;daikon.inv.unary.scalar.LowerBound;TP;TP;0.9;1025;409;1434;10000
101;daikon.inv.binary.sequenceString.MemberString;TP;TP;0.95;957;322;1279;10000
102;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;1084;517;1601;100
103;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;1071;501;1572;100
104;daikon.inv.binary.twoScalar.FloatNonEqual;FP;TP;0.95;763;374;1137;10000
105;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;612;331;943;10000
106;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;622;311;933;10000
107;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;FP;0.85;687;514;1201;10000
108;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;FP;0.85;691;474;1165;10000
109;daikon.inv.unary.string.IsNumeric;TP;TP;0.9;741;435;1176;10000
110;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;775;291;1066;10000
111;daikon.inv.unary.string.FixedLengthString;FP;FP;0.75;768;457;1225;50
112;daikon.inv.unary.string.IsNumeric;TP;FP;0.95;764;355;1119;10000
113;daikon.inv.unary.string.dates.IsDateYYYYMMDD;TP;FP;0.95;873;269;1142;10000
114;daikon.inv.unary.string.dates.IsDateYYYYMMDD;TP;FP;0.95;873;313;1186;10000
115;daikon.inv.unary.string.IsNumeric;TP;FP;0.95;808;432;1240;10000
116;daikon.inv.unary.string.IsNumeric;TP;FP;0.85;796;456;1252;10000
117;daikon.inv.unary.string.FixedLengthString;TP;FP;0.9;797;328;1125;10000
118;daikon.inv.unary.string.dates.IsDateYYYYMMDD;TP;FP;0.95;775;385;1160;10000
119;daikon.inv.unary.string.dates.IsDateYYYYMMDD;TP;FP;0.95;804;368;1172;10000
120;daikon.inv.unary.string.FixedLengthString;FP;TP;0.95;706;263;969;10000
121;daikon.inv.unary.string.IsNumeric;TP;FP;0.7;700;374;1074;10000
122;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;917;324;1241;10000
123;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;774;282;1056;10000
124;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;735;293;1028;10000
125;daikon.inv.unary.string.IsNumeric;TP;FP;0.85;733;407;1140;10000
126;daikon.inv.unary.string.FixedLengthString;FP;FP;0.95;762;419;1181;100
127;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;787;309;1096;10000
128;daikon.inv.unary.string.FixedLengthString;TP;FP;0.9;759;376;1135;10000
129;daikon.inv.unary.string.FixedLengthString;TP;FP;0.85;719;339;1058;10000
130;daikon.inv.unary.string.IsNumeric;TP;FP;0.85;722;406;1128;10000
131;daikon.inv.unary.string.IsNumeric;TP;FP;0.9;712;388;1100;10000
132;daikon.inv.unary.string.IsNumeric;TP;FP;0.9;782;342;1124;10000
133;daikon.inv.unary.stringsequence.SequenceFixedLengthString;TP;TP;0.95;913;309;1222;10000
134;daikon.inv.unary.stringsequence.SequenceFixedLengthString;FP;FP;0.95;930;435;1365;50
135;daikon.inv.unary.stringsequence.SequenceFixedLengthString;TP;TP;0.95;923;329;1252;10000
136;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;714;293;1007;10000
137;daikon.inv.unary.string.IsNumeric;TP;FP;0.85;748;511;1259;10000
138;daikon.inv.unary.string.FixedLengthString;TP;FP;0.85;942;430;1372;10000
139;daikon.inv.unary.string.IsUrl;TP;TP;0.95;882;362;1244;10000
140;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.85;1008;402;1410;10000
141;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1050;443;1493;10000
142;daikon.inv.binary.twoString.StdString$SubString;FP;FP;0.9;787;436;1223;100
143;daikon.inv.unary.string.FixedLengthString;TP;FP;0.85;649;413;1062;10000
144;daikon.inv.unary.string.IsUrl;TP;TP;0.95;942;351;1293;10000
145;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;735;282;1017;10000
146;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;726;294;1020;10000
147;daikon.inv.unary.string.FixedLengthString;TP;TP;0.9;762;373;1135;10000
148;daikon.inv.unary.string.IsNumeric;TP;FP;0.85;756;422;1178;10000
149;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;730;275;1005;10000
150;daikon.inv.unary.string.FixedLengthString;TP;FP;0.7;658;375;1033;10000
151;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1051;444;1495;10000
152;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1030;415;1445;10000
153;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1004;384;1388;10000
154;daikon.inv.binary.twoString.StdString$SubString;TP;FP;0.85;1015;435;1450;10000
155;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;986;433;1419;10000
156;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1005;396;1401;10000
157;daikon.inv.binary.twoString.StdString$SubString;TP;FP;0.85;1034;469;1503;10000
158;daikon.inv.binary.twoString.StdString$SubString;TP;FP;0.95;963;428;1391;10000
159;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.85;691;394;1085;10000
160;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1019;421;1440;10000
161;daikon.inv.binary.twoString.StdString$SubString;TP;FP;0.85;827;511;1338;10000
162;daikon.inv.binary.twoString.StdString$SubString;TP;FP;0.95;834;481;1315;10000
163;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.9;786;367;1153;100
164;daikon.inv.unary.stringsequence.EltOneOfString;FP;FP;0.9;1018;327;1345;500
165;daikon.inv.unary.stringsequence.OneOfStringSequence;FP;FP;0.8;984;422;1406;100
166;daikon.inv.unary.string.OneOfString;FP;FP;0.9;804;426;1230;100
167;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.9;996;349;1345;500
168;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.95;1087;482;1569;100
169;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.85;953;525;1478;100
170;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.9;1044;489;1533;100
171;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.85;1074;579;1653;100
172;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.7;1076;435;1511;100
173;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.9;864;471;1335;500
174;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.75;855;462;1317;500
175;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.75;1151;570;1721;500
176;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.9;1070;482;1552;1000
177;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.85;1088;555;1643;100
178;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;862;391;1253;10000
179;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;987;437;1424;10000
180;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;936;537;1473;100
181;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.75;1181;481;1662;100
182;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.85;1172;498;1670;100
183;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;TP;0.85;1182;505;1687;500
184;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.7;1046;644;1690;100
185;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.7;1039;428;1467;100
186;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.95;1109;430;1539;10000
187;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.85;1091;501;1592;100
188;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.85;1158;481;1639;100
189;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.7;1091;510;1601;100
190;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.75;1149;500;1649;100
191;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.9;1204;541;1745;500
192;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.75;1204;455;1659;500
193;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.9;1409;461;1870;500
194;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.85;1400;546;1946;500
195;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.85;991;520;1511;100
196;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.85;993;490;1483;100
197;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.85;1181;512;1693;100
198;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.9;1405;460;1865;10000
199;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.85;1409;531;1940;500
200;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.85;993;488;1481;100
201;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.85;995;526;1521;100
202;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.7;1405;549;1954;10000
203;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.85;1205;494;1699;100
204;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;870;432;1302;10000
205;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.85;1017;450;1467;10000
206;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1013;452;1465;10000
207;daikon.inv.binary.twoString.StringEqual;TP;FP;0.7;821;515;1336;10000
208;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.85;978;432;1410;10000
209;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;775;359;1134;10000
210;daikon.inv.unary.scalar.LowerBound;TP;FP;0.85;765;412;1177;10000
211;daikon.inv.unary.string.OneOfString;FP;FP;0.7;824;374;1198;10000
212;daikon.inv.unary.string.OneOfString;FP;FP;0.9;766;406;1172;10000
213;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.7;1004;445;1449;500
214;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.85;1090;496;1586;500
215;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.9;1005;550;1555;1000
216;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.95;1085;446;1531;1000
217;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.9;1078;564;1642;1000
218;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.7;985;546;1531;500
219;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.85;1067;451;1518;1000
220;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.85;1061;553;1614;1000
221;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.9;1149;478;1627;10000
222;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;840;453;1293;10000
223;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;965;437;1402;10000
224;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.85;931;491;1422;1000
225;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.7;940;528;1468;1000
226;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.85;942;539;1481;1000
227;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.8;1030;550;1580;1000
