System;Operation;API-Operation;GPT_Model;TP;TN;FP;FN;count;accuracy;precision;recall;f1score
AmadeusHotel;getMultiHotelOffers;AmadeusHotel-getMultiHotelOffers;GPT-3.5;77;45;148;6;276;0.4420289855072464;0.3422222222222222;0.927710843373494;0.5
GitHub;createOrganizationRepository;GitHub-createOrganizationRepository;GPT-3.5;170;2;2;30;204;0.8431372549019608;0.9883720930232558;0.85;0.9139784946236559
GitHub;getOrganizationRepositories;GitHub-getOrganizationRepositories;GPT-3.5;132;4;32;5;173;0.7861271676300579;0.8048780487804879;0.9635036496350365;0.8770764119601329
Marvel;getComicById;Marvel-getComicById;GPT-3.5;90;41;177;11;319;0.4106583072100313;0.33707865168539325;0.8910891089108911;0.4891304347826087
OMDb;ByIdOrTitle;OMDb-ByIdOrTitle;GPT-3.5;14;0;4;1;19;0.7368421052631579;0.7777777777777778;0.9333333333333333;0.8484848484848485
OMDb;BySearch;OMDb-BySearch;GPT-3.5;6;1;2;2;11;0.6363636363636364;0.75;0.75;0.75
Spotify;createPlaylist;Spotify-createPlaylist;GPT-3.5;44;0;0;4;48;0.9166666666666666;1.0;0.9166666666666666;0.9565217391304348
Spotify;getAlbumTracks;Spotify-getAlbumTracks;GPT-3.5;62;12;26;3;103;0.7184466019417476;0.7045454545454546;0.9538461538461539;0.8104575163398693
Spotify;getArtistAlbums;Spotify-getArtistAlbums;GPT-3.5;55;6;25;1;87;0.7011494252873564;0.6875;0.9821428571428571;0.8088235294117647
Yelp;getBusinesses;Yelp-getBusinesses;GPT-3.5;23;7;58;1;89;0.33707865168539325;0.2839506172839506;0.9583333333333334;0.4380952380952381
YouTube;listVideos;YouTube-listVideos;GPT-3.5;110;60;210;22;402;0.4228855721393035;0.34375;0.8333333333333334;0.48672566371681414
