invariantType;GPT_Model;TP;TN;FP;FN;count;accuracy;precision;recall;f1score
daikon.inv.unary.scalar.NonZeroFloat;GPT-3.5;0;0;6;0;6;0.0;0.0;NaN;0.0
daikon.inv.binary.twoScalar.FloatNonEqual;GPT-3.5;0;0;8;0;8;0.0;0.0;NaN;0.0
daikon.inv.unary.scalar.LowerBound;GPT-3.5;32;0;10;0;42;0.7619047619047619;0.7619047619047619;1.0;0.8648648648648649
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm;GPT-3.5;12;0;0;0;12;1.0;1.0;1.0;1.0
daikon.inv.binary.twoString.StringEqual;GPT-3.5;32;1;11;3;47;0.7021276595744681;0.7441860465116279;0.9142857142857143;0.8205128205128205
daikon.inv.binary.twoScalar.IntNonEqual;GPT-3.5;2;39;109;0;150;0.2733333333333333;0.018018018018018018;1.0;0.035398230088495575
daikon.inv.unary.sequence.EltNonZero;GPT-3.5;27;0;1;0;28;0.9642857142857143;0.9642857142857143;1.0;0.9818181818181818
daikon.inv.binary.twoScalar.FloatLessThan;GPT-3.5;0;0;2;0;2;0.0;0.0;NaN;0.0
daikon.inv.unary.scalar.OneOfFloat;GPT-3.5;1;0;2;0;3;0.3333333333333333;0.3333333333333333;1.0;0.5
daikon.inv.binary.twoSequence.SuperSet;GPT-3.5;0;2;1;0;3;0.6666666666666666;0.0;NaN;0.0
daikon.inv.binary.twoScalar.IntGreaterThan;GPT-3.5;11;25;108;7;151;0.23841059602649006;0.09243697478991597;0.6111111111111112;0.16058394160583941
daikon.inv.unary.scalar.OneOfScalar;GPT-3.5;32;11;25;8;76;0.5657894736842105;0.5614035087719298;0.8;0.6597938144329897
daikon.inv.binary.twoScalar.NumericInt$Square;GPT-3.5;0;2;0;0;2;1.0;NaN;NaN;NaN
daikon.inv.unary.string.OneOfString;GPT-3.5;40;1;32;5;78;0.5256410256410257;0.5555555555555556;0.8888888888888888;0.6837606837606838
daikon.inv.unary.sequence.OneOfSequence;GPT-3.5;1;1;1;1;4;0.5;0.5;0.5;0.5
daikon.inv.unary.stringsequence.OneOfStringSequence;GPT-3.5;0;0;5;1;6;0.0;0.0;0.0;0.0
daikon.inv.unary.string.IsNumeric;GPT-3.5;29;0;1;1;31;0.9354838709677419;0.9666666666666667;0.9666666666666667;0.9666666666666667
daikon.inv.unary.stringsequence.EltOneOfString;GPT-3.5;1;0;4;0;5;0.2;0.2;1.0;0.3333333333333333
daikon.inv.binary.twoScalar.IntLessThan;GPT-3.5;7;5;22;4;38;0.3157894736842105;0.2413793103448276;0.6363636363636364;0.35
daikon.inv.binary.twoScalar.FloatGreaterThan;GPT-3.5;0;0;1;0;1;0.0;0.0;NaN;0.0
daikon.inv.unary.scalar.LowerBoundFloat;GPT-3.5;2;0;1;0;3;0.6666666666666666;0.6666666666666666;1.0;0.8
daikon.inv.binary.twoScalar.NumericInt$Divides;GPT-3.5;0;12;56;0;68;0.17647058823529413;0.0;NaN;0.0
daikon.inv.binary.twoScalar.IntGreaterEqual;GPT-3.5;17;8;134;1;160;0.15625;0.11258278145695365;0.9444444444444444;0.20118343195266272
daikon.inv.unary.stringsequence.SequenceFixedLengthString;GPT-3.5;6;1;0;0;7;1.0;1.0;1.0;1.0
daikon.inv.binary.twoScalar.IntLessEqual;GPT-3.5;2;9;54;0;65;0.16923076923076924;0.03571428571428571;1.0;0.06896551724137931
daikon.inv.unary.string.dates.IsDateYYYYMMDD;GPT-3.5;0;0;0;4;4;0.0;NaN;0.0;0.0
daikon.inv.unary.string.IsUrl;GPT-3.5;150;0;0;0;150;1.0;1.0;1.0;1.0
daikon.inv.binary.sequenceString.MemberString;GPT-3.5;6;45;49;1;101;0.504950495049505;0.10909090909090909;0.8571428571428571;0.1935483870967742
daikon.inv.binary.twoString.StdString$SubString;GPT-3.5;191;3;6;2;202;0.9603960396039604;0.9695431472081218;0.9896373056994818;0.9794871794871794
daikon.inv.unary.string.FixedLengthString;GPT-3.5;84;6;6;19;115;0.782608695652174;0.9333333333333333;0.8155339805825242;0.8704663212435233
daikon.inv.binary.twoScalar.IntEqual;GPT-3.5;40;7;25;24;96;0.4895833333333333;0.6153846153846154;0.625;0.6201550387596899
daikon.inv.binary.sequenceScalar.SeqIntEqual;GPT-3.5;0;0;0;1;1;0.0;NaN;0.0;0.0
daikon.inv.unary.scalar.NonZero;GPT-3.5;57;0;4;4;65;0.8769230769230769;0.9344262295081968;0.9344262295081968;0.9344262295081968
daikon.inv.unary.stringsequence.SequenceStringElementsAreUrl;GPT-3.5;1;0;0;0;1;1.0;1.0;1.0;1.0
