System;Operation;API-Operation;GPT_Model;TP;TN;FP;FN;count;accuracy;precision;recall;f1score
AmadeusHotel;getMultiHotelOffers;AmadeusHotel-getMultiHotelOffers;GPT-4o;80;163;30;3;276;0.8804347826086957;0.7272727272727273;0.963855421686747;0.8290155440414507
GitHub;createOrganizationRepository;GitHub-createOrganizationRepository;GPT-4o;174;3;1;26;204;0.8676470588235294;0.9942857142857143;0.87;0.928
GitHub;getOrganizationRepositories;GitHub-getOrganizationRepositories;GPT-4o;132;17;19;5;173;0.861271676300578;0.8741721854304636;0.9635036496350365;0.9166666666666666
Marvel;getComicById;Marvel-getComicById;GPT-4o;96;137;81;5;319;0.7304075235109718;0.5423728813559322;0.9504950495049505;0.6906474820143885
OMDb;ByIdOrTitle;OMDb-ByIdOrTitle;GPT-4o;12;2;2;3;19;0.7368421052631579;0.8571428571428571;0.8;0.8275862068965517
OMDb;BySearch;OMDb-BySearch;GPT-4o;6;3;0;2;11;0.8181818181818182;1.0;0.75;0.8571428571428571
Spotify;createPlaylist;Spotify-createPlaylist;GPT-4o;42;0;0;6;48;0.875;1.0;0.875;0.9333333333333333
Spotify;getAlbumTracks;Spotify-getAlbumTracks;GPT-4o;64;21;17;1;103;0.8252427184466019;0.7901234567901234;0.9846153846153847;0.8767123287671232
Spotify;getArtistAlbums;Spotify-getArtistAlbums;GPT-4o;54;22;9;2;87;0.8735632183908046;0.8571428571428571;0.9642857142857143;0.907563025210084
Yelp;getBusinesses;Yelp-getBusinesses;GPT-4o;23;38;27;1;89;0.6853932584269663;0.46;0.9583333333333334;0.6216216216216216
YouTube;listVideos;YouTube-listVideos;GPT-4o;81;227;43;51;402;0.7661691542288557;0.6532258064516129;0.6136363636363636;0.6328125
