System;Operation;API-Operation;GPT_Model;TP;TN;FP;FN;count;accuracy;precision;recall;f1score
AmadeusHotel;getMultiHotelOffers;AmadeusHotel-getMultiHotelOffers;GPT-4o-mini;48;181;12;35;276;0.8297101449275363;0.8;0.5783132530120482;0.6713286713286714
GitHub;createOrganizationRepository;GitHub-createOrganizationRepository;GPT-4o-mini;144;4;0;56;204;0.7254901960784313;1.0;0.72;0.8372093023255814
GitHub;getOrganizationRepositories;GitHub-getOrganizationRepositories;GPT-4o-mini;126;21;15;11;173;0.8497109826589595;0.8936170212765957;0.9197080291970803;0.9064748201438849
Marvel;getComicById;Marvel-getComicById;GPT-4o-mini;62;169;49;39;319;0.7241379310344828;0.5585585585585585;0.6138613861386139;0.5849056603773585
OMDb;ByIdOrTitle;OMDb-ByIdOrTitle;GPT-4o-mini;4;2;2;11;19;0.3157894736842105;0.6666666666666666;0.26666666666666666;0.38095238095238093
OMDb;BySearch;OMDb-BySearch;GPT-4o-mini;4;2;1;4;11;0.5454545454545454;0.8;0.5;0.6153846153846154
Spotify;createPlaylist;Spotify-createPlaylist;GPT-4o-mini;28;0;0;20;48;0.5833333333333334;1.0;0.5833333333333334;0.7368421052631579
Spotify;getAlbumTracks;Spotify-getAlbumTracks;GPT-4o-mini;42;34;4;23;103;0.7378640776699029;0.9130434782608695;0.6461538461538462;0.7567567567567568
Spotify;getArtistAlbums;Spotify-getArtistAlbums;GPT-4o-mini;42;27;4;14;87;0.7931034482758621;0.9130434782608695;0.75;0.8235294117647058
Yelp;getBusinesses;Yelp-getBusinesses;GPT-4o-mini;17;47;18;7;89;0.7191011235955056;0.4857142857142857;0.7083333333333334;0.576271186440678
YouTube;listVideos;YouTube-listVideos;GPT-4o-mini;64;246;24;68;402;0.7711442786069652;0.7272727272727273;0.48484848484848486;0.5818181818181818
