invariantType;GPT_Model;TP;TN;FP;FN;count;accuracy;precision;recall;f1score
daikon.inv.unary.scalar.NonZeroFloat;GPT-4o-mini;0;2;4;0;6;0.3333333333333333;0.0;NaN;0.0
daikon.inv.binary.twoScalar.FloatNonEqual;GPT-4o-mini;0;0;8;0;8;0.0;0.0;NaN;0.0
daikon.inv.unary.scalar.LowerBound;GPT-4o-mini;23;7;3;9;42;0.7142857142857143;0.8846153846153846;0.71875;0.7931034482758621
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm;GPT-4o-mini;10;0;0;2;12;0.8333333333333334;1.0;0.8333333333333334;0.9090909090909091
daikon.inv.binary.twoString.StringEqual;GPT-4o-mini;18;11;1;17;47;0.6170212765957447;0.9473684210526315;0.5142857142857142;0.6666666666666666
daikon.inv.binary.twoScalar.IntNonEqual;GPT-4o-mini;2;130;18;0;150;0.88;0.1;1.0;0.18181818181818182
daikon.inv.unary.sequence.EltNonZero;GPT-4o-mini;21;0;1;6;28;0.75;0.9545454545454546;0.7777777777777778;0.8571428571428571
daikon.inv.binary.twoScalar.FloatLessThan;GPT-4o-mini;0;1;1;0;2;0.5;0.0;NaN;0.0
daikon.inv.unary.scalar.OneOfFloat;GPT-4o-mini;0;2;0;1;3;0.6666666666666666;NaN;0.0;0.0
daikon.inv.binary.twoSequence.SuperSet;GPT-4o-mini;0;3;0;0;3;1.0;NaN;NaN;NaN
daikon.inv.binary.twoScalar.IntGreaterThan;GPT-4o-mini;1;107;26;17;151;0.7152317880794702;0.037037037037037035;0.05555555555555555;0.044444444444444446
daikon.inv.unary.scalar.OneOfScalar;GPT-4o-mini;9;32;4;31;76;0.5394736842105263;0.6923076923076923;0.225;0.33962264150943394
daikon.inv.binary.twoScalar.NumericInt$Square;GPT-4o-mini;0;2;0;0;2;1.0;NaN;NaN;NaN
daikon.inv.unary.string.OneOfString;GPT-4o-mini;26;31;2;19;78;0.7307692307692307;0.9285714285714286;0.5777777777777777;0.7123287671232876
daikon.inv.unary.sequence.OneOfSequence;GPT-4o-mini;0;2;0;2;4;0.5;NaN;0.0;0.0
daikon.inv.unary.stringsequence.OneOfStringSequence;GPT-4o-mini;0;5;0;1;6;0.8333333333333334;NaN;0.0;0.0
daikon.inv.unary.string.IsNumeric;GPT-4o-mini;4;1;0;26;31;0.16129032258064516;1.0;0.13333333333333333;0.23529411764705882
daikon.inv.unary.stringsequence.EltOneOfString;GPT-4o-mini;1;4;0;0;5;1.0;1.0;1.0;1.0
daikon.inv.binary.twoScalar.IntLessThan;GPT-4o-mini;5;26;1;6;38;0.8157894736842105;0.8333333333333334;0.45454545454545453;0.5882352941176471
daikon.inv.binary.twoScalar.FloatGreaterThan;GPT-4o-mini;0;1;0;0;1;1.0;NaN;NaN;NaN
daikon.inv.unary.scalar.LowerBoundFloat;GPT-4o-mini;1;0;1;1;3;0.3333333333333333;0.5;0.5;0.5
daikon.inv.binary.twoScalar.NumericInt$Divides;GPT-4o-mini;0;66;2;0;68;0.9705882352941176;0.0;NaN;0.0
daikon.inv.binary.twoScalar.IntGreaterEqual;GPT-4o-mini;14;105;37;4;160;0.74375;0.27450980392156865;0.7777777777777778;0.4057971014492754
daikon.inv.unary.stringsequence.SequenceFixedLengthString;GPT-4o-mini;6;1;0;0;7;1.0;1.0;1.0;1.0
daikon.inv.binary.twoScalar.IntLessEqual;GPT-4o-mini;2;51;12;0;65;0.8153846153846154;0.14285714285714285;1.0;0.25
daikon.inv.unary.string.dates.IsDateYYYYMMDD;GPT-4o-mini;0;0;0;4;4;0.0;NaN;0.0;0.0
daikon.inv.unary.string.IsUrl;GPT-4o-mini;147;0;0;3;150;0.98;1.0;0.98;0.98989898989899
daikon.inv.binary.sequenceString.MemberString;GPT-4o-mini;3;94;0;4;101;0.9603960396039604;1.0;0.42857142857142855;0.6
daikon.inv.binary.twoString.StdString$SubString;GPT-4o-mini;170;6;3;23;202;0.8712871287128713;0.9826589595375722;0.8808290155440415;0.9289617486338798
daikon.inv.unary.string.FixedLengthString;GPT-4o-mini;46;11;1;57;115;0.4956521739130435;0.9787234042553191;0.44660194174757284;0.6133333333333333
daikon.inv.binary.twoScalar.IntEqual;GPT-4o-mini;25;30;2;39;96;0.5729166666666666;0.9259259259259259;0.390625;0.5494505494505495
daikon.inv.binary.sequenceScalar.SeqIntEqual;GPT-4o-mini;0;0;0;1;1;0.0;NaN;0.0;0.0
daikon.inv.unary.scalar.NonZero;GPT-4o-mini;46;2;2;15;65;0.7384615384615385;0.9583333333333334;0.7540983606557377;0.8440366972477065
daikon.inv.unary.stringsequence.SequenceStringElementsAreUrl;GPT-4o-mini;1;0;0;0;1;1.0;1.0;1.0;1.0
