ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;999;231;1230;10000
1;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;989;208;1197;10000
2;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;1000;260;1260;10000
3;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;1082;268;1350;10000
4;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;1051;205;1256;10000
5;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;921;264;1185;10000
6;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;958;213;1171;10000
7;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;931;237;1168;10000
8;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;935;237;1172;10000
9;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;1062;301;1363;100
10;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;955;293;1248;10000
11;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;942;199;1141;10000
12;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;950;217;1167;10000
13;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;950;250;1200;10000
14;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;929;297;1226;10000
15;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;947;320;1267;10000
16;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;905;232;1137;10000
17;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;919;247;1166;10000
18;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;885;173;1058;10000
19;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;889;236;1125;10000
20;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;885;256;1141;10000
21;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;880;254;1134;10000
22;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;886;239;1125;10000
23;daikon.inv.binary.twoScalar.IntEqual;TP;FP;1.0;879;214;1093;10000
24;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;877;251;1128;10000
25;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;877;246;1123;10000
26;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;876;285;1161;10000
27;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;845;267;1112;10000
28;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;902;208;1110;10000
29;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.6;902;211;1113;10000
30;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;905;241;1146;10000
31;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;902;221;1123;10000
32;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;906;211;1117;10000
33;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;949;208;1157;10000
34;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;1019;220;1239;10000
35;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;1115;247;1362;10000
36;daikon.inv.binary.twoString.StringEqual;TP;FP;0.9;963;224;1187;10000
37;daikon.inv.binary.twoString.StringEqual;TP;FP;0.8;1037;265;1302;10000
38;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;1022;237;1259;10000
39;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;1149;280;1429;10000
40;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;1133;286;1419;10000
41;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;1185;233;1418;10000
42;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;1197;229;1426;10000
43;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;1125;211;1336;10000
44;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;1141;280;1421;10000
45;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;1135;227;1362;10000
46;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;1079;237;1316;10000
47;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;1163;252;1415;10000
48;daikon.inv.binary.twoString.StringEqual;TP;FP;0.8;920;212;1132;10000
49;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.8;894;205;1099;10000
50;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;894;257;1151;10000
51;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;1115;261;1376;10000
52;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;875;257;1132;10000
53;daikon.inv.binary.twoScalar.IntEqual;TP;FP;1.0;883;240;1123;10000
54;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;883;256;1139;10000
55;daikon.inv.binary.twoScalar.IntEqual;TP;FP;1.0;878;210;1088;10000
56;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;884;303;1187;10000
57;daikon.inv.binary.twoString.StringEqual;FP;TP;0.9;1081;239;1320;100
58;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;829;226;1055;10000
59;daikon.inv.unary.scalar.NonZero;TP;FP;0.8;835;263;1098;10000
