ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;998;402;1400;10000
1;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;988;382;1370;10000
2;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;994;394;1388;10000
3;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;1082;396;1478;10000
4;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;1053;421;1474;10000
5;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;927;448;1375;10000
6;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;955;444;1399;10000
7;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;929;433;1362;10000
8;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;933;412;1345;10000
9;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;1062;429;1491;100
10;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;951;376;1327;10000
11;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;940;439;1379;10000
12;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;946;425;1371;10000
13;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.99;948;522;1470;10000
14;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;927;418;1345;10000
15;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;945;420;1365;10000
16;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;903;427;1330;10000
17;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;917;475;1392;10000
18;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;883;362;1245;10000
19;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;887;612;1499;10000
20;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.8;883;517;1400;10000
21;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.95;878;456;1334;10000
22;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;887;498;1385;10000
23;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.95;877;475;1352;10000
24;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;875;451;1326;10000
25;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;878;450;1328;10000
26;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;874;484;1358;10000
27;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.8;843;486;1329;10000
28;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.8;900;367;1267;10000
29;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.8;900;430;1330;10000
30;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.8;905;411;1316;10000
31;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.8;900;499;1399;10000
32;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;904;485;1389;10000
33;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;947;391;1338;10000
34;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;1014;408;1422;10000
35;daikon.inv.binary.twoString.StringEqual;TP;TP;0.85;1111;478;1589;10000
36;daikon.inv.binary.twoString.StringEqual;TP;FP;0.7;961;445;1406;10000
37;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;1032;428;1460;10000
38;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;1019;454;1473;10000
39;daikon.inv.binary.twoString.StringEqual;TP;TP;0.85;1143;453;1596;10000
40;daikon.inv.binary.twoString.StringEqual;TP;FP;0.7;1127;511;1638;10000
41;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;1179;513;1692;10000
42;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;1191;465;1656;10000
43;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;1131;461;1592;10000
44;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;1135;452;1587;10000
45;daikon.inv.binary.twoString.StringEqual;TP;FP;0.85;1131;588;1719;10000
46;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;1076;447;1523;10000
47;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;1157;479;1636;10000
48;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;918;424;1342;10000
49;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;892;533;1425;10000
50;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.7;892;555;1447;10000
51;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;1109;424;1533;10000
52;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;873;459;1332;10000
53;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;881;470;1351;10000
54;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;881;429;1310;10000
55;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.85;876;514;1390;10000
56;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;882;522;1404;10000
57;daikon.inv.binary.twoString.StringEqual;FP;TP;0.95;1079;396;1475;100
58;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;827;354;1181;10000
59;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;833;442;1275;10000
60;daikon.inv.unary.string.OneOfString;TP;FP;0.8;931;452;1383;10000
61;daikon.inv.unary.string.OneOfString;TP;FP;0.9;911;399;1310;10000
62;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;833;402;1235;10000
63;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.95;886;462;1348;10000
64;daikon.inv.unary.string.OneOfString;TP;FP;0.8;905;444;1349;10000
65;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;836;456;1292;10000
66;daikon.inv.unary.stringsequence.OneOfStringSequence;TP;FP;0.7;863;455;1318;10000
67;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.95;903;421;1324;10000
68;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.95;853;449;1302;10000
69;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.9;859;430;1289;10000
70;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.85;862;436;1298;10000
71;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.9;853;467;1320;10000
72;daikon.inv.unary.string.OneOfString;TP;TP;0.95;924;455;1379;10000
73;daikon.inv.unary.string.OneOfString;TP;TP;0.9;914;449;1363;10000
74;daikon.inv.unary.string.OneOfString;TP;TP;0.95;939;453;1392;10000
75;daikon.inv.unary.string.OneOfString;TP;TP;0.9;928;524;1452;10000
76;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.8;984;450;1434;10000
77;daikon.inv.binary.twoScalar.IntGreaterThan;TP;TP;0.95;964;486;1450;10000
78;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.8;989;480;1469;10000
79;daikon.inv.binary.twoScalar.IntGreaterThan;TP;TP;0.95;944;441;1385;10000
80;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;943;405;1348;10000
81;daikon.inv.binary.twoScalar.IntLessThan;TP;TP;0.95;949;463;1412;10000
82;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;948;466;1414;10000
83;daikon.inv.unary.string.IsUrl;TP;TP;0.95;954;408;1362;10000
84;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;976;449;1425;10000
85;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;950;329;1279;10000
86;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;982;355;1337;10000
87;daikon.inv.unary.string.IsUrl;TP;TP;0.95;977;411;1388;10000
88;daikon.inv.unary.string.FixedLengthString;TP;FP;0.8;906;451;1357;10000
89;daikon.inv.unary.string.IsUrl;TP;TP;0.95;947;387;1334;10000
90;daikon.inv.unary.string.IsUrl;TP;TP;0.95;946;431;1377;10000
91;daikon.inv.unary.string.IsUrl;TP;TP;0.95;997;438;1435;10000
92;daikon.inv.unary.string.IsUrl;TP;TP;0.95;1011;347;1358;10000
93;daikon.inv.unary.string.IsUrl;TP;TP;0.95;1005;401;1406;10000
94;daikon.inv.unary.string.IsUrl;TP;TP;0.95;1021;401;1422;10000
95;daikon.inv.unary.string.IsUrl;TP;TP;0.95;991;386;1377;10000
96;daikon.inv.unary.string.IsUrl;TP;TP;0.95;992;420;1412;10000
97;daikon.inv.unary.string.IsUrl;TP;TP;0.95;984;350;1334;10000
98;daikon.inv.unary.string.IsUrl;TP;TP;0.95;975;463;1438;10000
99;daikon.inv.unary.string.IsUrl;TP;TP;0.95;1001;473;1474;10000
