ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.binary.twoString.StringEqual;TP;TP;0.85;998;402;1400;10000
1;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;1000;428;1428;10000
2;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;1002;369;1371;10000
3;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;1100;399;1499;10000
4;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;1053;382;1435;10000
5;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;927;350;1277;10000
6;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;955;397;1352;10000
7;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;929;360;1289;10000
8;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;933;344;1277;10000
9;daikon.inv.binary.twoString.StringEqual;TP;TP;0.85;1066;390;1456;100
10;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;951;346;1297;10000
11;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;940;414;1354;10000
12;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;946;388;1334;10000
13;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;948;338;1286;10000
14;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;927;380;1307;10000
15;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;945;351;1296;10000
16;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;903;351;1254;10000
17;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;917;323;1240;10000
18;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;883;447;1330;10000
19;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.85;887;472;1359;10000
20;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;883;434;1317;10000
21;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;878;357;1235;10000
22;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.85;887;510;1397;10000
23;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.95;877;480;1357;10000
24;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.85;875;453;1328;10000
25;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.85;878;395;1273;10000
26;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;874;408;1282;10000
27;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;843;382;1225;10000
28;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.85;900;465;1365;10000
29;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.85;900;465;1365;10000
30;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.85;905;411;1316;10000
31;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;900;393;1293;10000
32;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;904;450;1354;10000
33;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.85;947;499;1446;10000
34;daikon.inv.binary.twoString.StringEqual;TP;FP;0.9;1012;424;1436;10000
35;daikon.inv.binary.twoString.StringEqual;TP;FP;0.95;1111;433;1544;10000
36;daikon.inv.binary.twoString.StringEqual;TP;FP;0.85;961;499;1460;10000
