ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.binary.twoString.StringEqual;FP;TP;0.95;728;236;964;50
1;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.7;661;213;874;10000
2;daikon.inv.binary.twoString.StringEqual;FP;FP;1.0;808;198;1006;10000
3;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;707;263;970;10000
4;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;723;246;969;10000
5;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;722;209;931;10000
6;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;709;232;941;10000
7;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.9;664;164;828;100
8;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.9;671;183;854;10000
9;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.9;668;240;908;100
10;daikon.inv.unary.scalar.NonZero;TP;TP;1.0;604;196;800;10000
11;daikon.inv.unary.string.OneOfString;TP;TP;0.9;701;222;923;10000
12;daikon.inv.unary.string.OneOfString;TP;FP;1.0;681;200;881;10000
13;daikon.inv.unary.scalar.LowerBound;TP;TP;0.9;662;258;920;10000
14;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;675;285;960;10000
15;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;652;227;879;10000
16;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;663;210;873;10000
17;daikon.inv.unary.scalar.NonZero;TP;FP;0.9;607;211;818;10000
18;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.9;655;195;850;10000
19;daikon.inv.unary.string.OneOfString;TP;TP;0.9;670;182;852;10000
20;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;598;188;786;10000
21;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.9;668;202;870;10000
22;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;0.95;730;268;998;10000
23;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;0.95;733;253;986;10000
24;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;1.0;722;256;978;50
25;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.9;785;252;1037;50
26;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;0.95;723;227;950;10000
27;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;0.9;726;246;972;10000
28;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;703;246;949;10000
29;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;714;271;985;10000
30;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;723;263;986;10000
31;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;705;236;941;10000
32;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;715;263;978;10000
33;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;781;298;1079;10000
