ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.binary.twoString.StringEqual;FP;FP;0.7;722;508;1230;50
1;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.9;656;460;1116;10000
2;daikon.inv.binary.twoString.StringEqual;FP;TP;0.95;804;396;1200;10000
3;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;702;455;1157;10000
4;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;718;405;1123;10000
5;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;717;452;1169;10000
6;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;718;416;1134;10000
7;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.9;659;430;1089;100
8;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.9;666;398;1064;10000
9;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.7;666;449;1115;100
10;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;599;418;1017;10000
11;daikon.inv.unary.string.OneOfString;TP;TP;0.85;697;402;1099;10000
12;daikon.inv.unary.string.OneOfString;TP;FP;0.8;677;466;1143;10000
13;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;657;384;1041;10000
14;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;670;385;1055;10000
15;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;647;343;990;10000
16;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;665;371;1036;10000
17;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;602;392;994;10000
18;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.7;650;412;1062;10000
19;daikon.inv.unary.string.OneOfString;TP;TP;0.9;666;445;1111;10000
20;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;593;435;1028;10000
21;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.85;663;426;1089;10000
22;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;0.9;725;508;1233;10000
23;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.8;728;531;1259;10000
24;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;717;538;1255;50
25;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;784;465;1249;50
26;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.8;718;445;1163;10000
27;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;0.95;721;487;1208;10000
28;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;698;380;1078;10000
29;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.75;710;410;1120;10000
30;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;719;436;1155;10000
31;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;700;456;1156;10000
32;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;718;487;1205;10000
33;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;780;435;1215;10000
34;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.7;714;435;1149;100
35;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;725;427;1152;10000
36;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;702;480;1182;10000
37;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.7;721;474;1195;10000
38;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.7;802;478;1280;10000
39;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.95;726;426;1152;50
40;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;596;415;1011;10000
41;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;606;421;1027;10000
42;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.95;626;473;1099;10000
43;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;623;501;1124;100
44;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.8;625;505;1130;50
45;daikon.inv.unary.string.IsUrl;TP;TP;0.95;741;411;1152;10000
46;daikon.inv.unary.string.FixedLengthString;TP;FP;0.8;672;469;1141;10000
47;daikon.inv.unary.string.IsUrl;TP;TP;0.95;700;372;1072;10000
48;daikon.inv.unary.string.IsUrl;TP;TP;0.95;692;334;1026;10000
49;daikon.inv.unary.string.IsUrl;TP;TP;0.95;747;447;1194;10000
50;daikon.inv.unary.string.IsUrl;TP;TP;0.95;766;439;1205;10000
51;daikon.inv.unary.string.IsUrl;TP;TP;0.95;753;415;1168;10000
52;daikon.inv.unary.string.IsUrl;TP;TP;0.95;768;404;1172;10000
53;daikon.inv.unary.string.IsUrl;TP;TP;0.95;740;409;1149;10000
54;daikon.inv.unary.string.IsUrl;TP;TP;0.95;739;410;1149;10000
55;daikon.inv.unary.string.IsUrl;TP;TP;0.95;730;392;1122;10000
56;daikon.inv.unary.string.IsUrl;TP;TP;0.95;723;385;1108;10000
57;daikon.inv.unary.string.IsUrl;TP;TP;0.95;752;408;1160;10000
58;daikon.inv.unary.string.FixedLengthString;TP;FP;0.9;651;441;1092;10000
59;daikon.inv.unary.string.IsUrl;TP;TP;0.95;702;341;1043;10000
60;daikon.inv.unary.string.IsUrl;TP;TP;0.95;708;414;1122;10000
61;daikon.inv.unary.string.IsUrl;TP;TP;0.95;756;417;1173;10000
62;daikon.inv.unary.string.IsUrl;TP;TP;0.95;768;419;1187;10000
63;daikon.inv.unary.string.IsUrl;TP;TP;0.95;757;430;1187;10000
64;daikon.inv.unary.string.IsUrl;TP;TP;0.95;751;391;1142;10000
65;daikon.inv.unary.string.IsUrl;TP;TP;0.95;787;320;1107;10000
66;daikon.inv.unary.string.IsUrl;TP;TP;0.95;745;423;1168;10000
67;daikon.inv.unary.string.IsUrl;TP;TP;0.95;755;406;1161;10000
68;daikon.inv.unary.string.IsUrl;TP;TP;0.95;769;344;1113;10000
69;daikon.inv.unary.string.IsUrl;TP;TP;0.95;753;381;1134;10000
70;daikon.inv.unary.string.IsUrl;TP;TP;0.95;735;385;1120;10000
71;daikon.inv.unary.string.IsUrl;TP;TP;0.95;748;396;1144;10000
72;daikon.inv.unary.string.IsUrl;TP;TP;0.95;742;414;1156;10000
73;daikon.inv.unary.string.IsUrl;TP;TP;0.95;736;419;1155;10000
74;daikon.inv.unary.string.IsUrl;TP;TP;0.95;740;380;1120;10000
75;daikon.inv.unary.string.IsUrl;TP;TP;0.99;768;398;1166;10000
76;daikon.inv.unary.string.IsUrl;TP;TP;0.95;755;354;1109;10000
77;daikon.inv.unary.string.IsUrl;TP;TP;0.95;763;447;1210;10000
78;daikon.inv.unary.string.IsUrl;TP;TP;0.95;752;359;1111;10000
79;daikon.inv.unary.string.IsUrl;TP;TP;0.95;758;383;1141;10000
80;daikon.inv.unary.string.IsUrl;TP;TP;0.95;758;448;1206;10000
81;daikon.inv.unary.string.IsUrl;TP;TP;0.95;773;392;1165;10000
82;daikon.inv.unary.string.IsUrl;TP;TP;0.95;740;398;1138;10000
83;daikon.inv.unary.string.IsUrl;TP;TP;0.95;729;358;1087;10000
84;daikon.inv.unary.string.IsUrl;TP;TP;0.95;744;397;1141;10000
85;daikon.inv.unary.string.IsUrl;TP;TP;0.95;769;380;1149;10000
86;daikon.inv.unary.string.IsUrl;TP;TP;0.95;784;378;1162;10000
87;daikon.inv.unary.string.IsUrl;TP;TP;0.95;750;413;1163;10000
88;daikon.inv.unary.string.IsUrl;TP;TP;0.95;746;455;1201;10000
89;daikon.inv.unary.string.IsUrl;TP;TP;0.95;751;421;1172;10000
90;daikon.inv.unary.string.IsUrl;TP;TP;0.95;756;345;1101;10000
91;daikon.inv.unary.string.IsUrl;TP;TP;0.95;740;369;1109;10000
92;daikon.inv.unary.string.IsUrl;TP;TP;0.95;724;408;1132;10000
