ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.binary.twoString.StringEqual;FP;TP;0.85;724;463;1187;50
1;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.85;656;396;1052;10000
2;daikon.inv.binary.twoString.StringEqual;FP;FP;0.7;800;444;1244;10000
3;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;706;357;1063;10000
4;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;720;379;1099;10000
5;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.85;717;429;1146;10000
6;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;718;344;1062;10000
7;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.75;659;411;1070;100
8;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.9;666;371;1037;10000
9;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.85;666;368;1034;100
10;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;599;356;955;10000
11;daikon.inv.unary.string.OneOfString;TP;FP;0.95;697;357;1054;10000
12;daikon.inv.unary.string.OneOfString;TP;FP;0.95;677;389;1066;10000
13;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;662;350;1012;10000
14;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;671;380;1051;10000
15;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;650;290;940;10000
16;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;670;277;947;10000
17;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;602;318;920;10000
18;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.95;650;330;980;10000
19;daikon.inv.unary.string.OneOfString;TP;TP;0.95;666;310;976;10000
20;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;593;271;864;10000
21;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.95;663;312;975;10000
22;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.85;725;497;1222;10000
23;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.95;729;412;1141;10000
24;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;717;508;1225;50
25;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;785;524;1309;50
26;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.85;718;476;1194;10000
27;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.7;722;465;1187;10000
28;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.95;699;378;1077;10000
29;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;710;519;1229;10000
30;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;719;362;1081;10000
31;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;699;380;1079;10000
32;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;718;397;1115;10000
33;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;766;374;1140;10000
34;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.8;710;429;1139;100
35;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;721;422;1143;10000
36;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.85;706;473;1179;10000
37;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;722;400;1122;10000
38;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;832;417;1249;10000
