ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.unary.string.OneOfString;FP;TP;0.9;785;256;1041;1000
1;daikon.inv.unary.string.OneOfString;TP;TP;0.9;816;248;1064;10000
2;daikon.inv.unary.scalar.LowerBoundFloat;TP;TP;0.9;805;287;1092;10000
3;daikon.inv.unary.string.OneOfString;FP;TP;0.9;845;231;1076;500
4;daikon.inv.unary.string.OneOfString;FP;TP;0.9;799;236;1035;10000
5;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;840;273;1113;10000
6;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;1099;224;1323;10000
7;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.9;863;277;1140;50
8;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.9;1042;249;1291;50
9;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.9;875;213;1088;100
10;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.9;822;219;1041;100
11;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.9;831;271;1102;10000
12;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.9;804;307;1111;50
13;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.9;1015;264;1279;10000
14;daikon.inv.unary.scalar.LowerBound;TP;TP;0.9;788;232;1020;10000
15;daikon.inv.unary.scalar.LowerBoundFloat;FP;TP;0.9;778;246;1024;500
16;daikon.inv.unary.string.OneOfString;FP;TP;0.9;811;289;1100;50
17;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;772;197;969;10000
18;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;782;178;960;10000
19;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;744;198;942;10000
20;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;754;206;960;10000
21;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;688;296;984;10000
22;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;754;249;1003;10000
23;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;764;217;981;10000
24;daikon.inv.unary.scalar.NonZero;TP;TP;1.0;752;210;962;10000
25;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.9;762;267;1029;10000
26;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;760;261;1021;10000
27;daikon.inv.unary.sequence.OneOfSequence;FP;TP;0.9;784;234;1018;100
28;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;744;251;995;10000
29;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.9;754;245;999;10000
30;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;746;226;972;10000
31;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.9;756;226;982;10000
32;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;688;232;920;10000
33;daikon.inv.unary.string.OneOfString;FP;TP;0.9;772;234;1006;1000
34;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;739;197;936;10000
35;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.9;749;219;968;10000
36;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;690;198;888;10000
37;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;805;300;1105;10000
38;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;769;213;982;10000
39;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.9;779;236;1015;10000
40;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;688;212;900;10000
41;daikon.inv.unary.scalar.LowerBound;FP;TP;0.95;793;228;1021;10000
42;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;767;198;965;10000
43;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.9;777;238;1015;10000
44;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;689;236;925;10000
45;daikon.inv.unary.scalar.LowerBound;FP;TP;0.9;797;244;1041;500
46;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;769;276;1045;10000
47;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.9;779;245;1024;10000
48;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;688;248;936;10000
49;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;750;206;956;10000
50;daikon.inv.unary.sequence.OneOfSequence;FP;FP;0.9;774;230;1004;50
51;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.8;1050;299;1349;500
52;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.9;1050;254;1304;100
53;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.9;1214;232;1446;10000
54;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.9;911;269;1180;10000
55;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;862;251;1113;10000
56;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;842;263;1105;10000
57;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;880;240;1120;10000
58;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;876;252;1128;10000
59;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;867;244;1111;10000
60;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;874;224;1098;10000
61;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.9;868;258;1126;10000
62;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;1070;219;1289;10000
63;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;1092;205;1297;10000
64;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;1073;225;1298;10000
65;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;1060;254;1314;10000
66;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;1129;233;1362;10000
67;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;978;227;1205;10000
68;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;1072;224;1296;10000
69;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;876;287;1163;10000
70;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;882;266;1148;10000
71;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;873;287;1160;500
72;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;1061;268;1329;100
73;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;1083;239;1322;10000
74;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;1078;186;1264;50
75;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.95;1075;238;1313;500
76;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;1131;250;1381;10000
77;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;1133;292;1425;10000
78;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;998;215;1213;10000
79;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;1000;270;1270;10000
80;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;1077;268;1345;100
81;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;935;234;1169;100
82;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;887;273;1160;1000
83;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;853;228;1081;50
84;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;861;268;1129;10000
85;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;853;275;1128;100
86;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;1061;289;1350;500
87;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;1060;251;1311;100
88;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;1113;242;1355;500
89;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;1115;227;1342;500
90;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;951;250;1201;50
91;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;TP;0.9;963;231;1194;1000
92;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;809;285;1094;50
93;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.95;890;260;1150;10000
94;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;891;225;1116;500
95;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;1033;296;1329;100
96;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;1093;223;1316;100
97;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;1073;237;1310;1000
98;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;1013;262;1275;100
99;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.95;887;236;1123;500
100;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;1028;233;1261;100
101;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;1089;282;1371;100
102;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;1079;287;1366;1000
103;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;1011;307;1318;100
104;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;1064;205;1269;10000
105;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.95;1056;264;1320;1000
106;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.95;957;264;1221;10000
107;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;1062;259;1321;500
108;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;1035;236;1271;50
109;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.95;1072;244;1316;10000
110;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;967;284;1251;500
111;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;977;206;1183;50
112;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.6;1091;336;1427;500
113;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.9;1028;288;1316;50
114;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;869;183;1052;50
115;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.9;1142;276;1418;500
116;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;977;237;1214;50
117;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.6;1074;223;1297;1000
118;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;1056;238;1294;50
119;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.8;835;289;1124;50
120;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;855;230;1085;100
121;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;857;221;1078;100
122;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;972;209;1181;100
123;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;882;281;1163;50
124;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.95;859;252;1111;100
125;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;856;300;1156;100
126;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.7;976;322;1298;100
127;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.3;854;274;1128;1000
128;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;884;269;1153;500
129;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;839;237;1076;50
130;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;836;220;1056;1000
131;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;830;255;1085;10000
132;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;829;223;1052;100
133;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;TP;0.9;841;283;1124;1000
134;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.95;832;227;1059;10000
135;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;824;257;1081;50
136;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;840;263;1103;1000
137;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.95;834;253;1087;10000
138;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.95;836;256;1092;10000
139;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;837;254;1091;50
140;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;TP;0.9;874;212;1086;50
141;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;838;248;1086;100
142;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;839;261;1100;100
143;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.6;841;251;1092;50
144;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;838;249;1087;10000
145;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;837;281;1118;100
146;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.9;836;256;1092;100
147;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.8;842;287;1129;10000
148;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;839;237;1076;100
149;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.6;832;229;1061;100
150;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;863;237;1100;1000
151;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;867;242;1109;10000
152;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;823;215;1038;100
153;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;853;260;1113;100
154;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;TP;0.95;1220;279;1499;1000
155;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;824;254;1078;50
156;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;1213;235;1448;10000
157;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.95;1152;274;1426;1000
158;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.8;858;306;1164;500
159;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;1194;297;1491;10000
160;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.8;724;251;975;10000
161;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;1191;221;1412;10000
162;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;1227;297;1524;10000
163;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.8;1225;336;1561;10000
164;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.9;709;187;896;10000
165;daikon.inv.unary.string.OneOfString;TP;FP;0.8;708;220;928;10000
166;daikon.inv.unary.string.OneOfString;TP;FP;0.7;722;270;992;10000
167;daikon.inv.unary.string.OneOfString;TP;FP;0.7;760;227;987;10000
168;daikon.inv.unary.string.OneOfString;TP;TP;0.9;789;190;979;10000
169;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;638;174;812;10000
170;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.9;718;257;975;10000
171;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.9;725;210;935;10000
172;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;1148;243;1391;10000
173;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;1158;185;1343;10000
174;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.9;773;166;939;100
175;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.9;788;203;991;1000
176;daikon.inv.binary.twoScalar.IntGreaterThan;TP;TP;0.95;796;187;983;10000
177;daikon.inv.binary.sequenceScalar.SeqIntEqual;TP;FP;0.9;1216;259;1475;10000
178;daikon.inv.unary.string.FixedLengthString;TP;TP;0.9;883;223;1106;10000
179;daikon.inv.unary.string.IsUrl;TP;TP;0.95;878;228;1106;10000
180;daikon.inv.unary.string.IsUrl;TP;TP;0.9;868;290;1158;10000
181;daikon.inv.unary.string.IsUrl;TP;TP;0.95;889;245;1134;10000
182;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;927;241;1168;10000
183;daikon.inv.unary.string.IsUrl;TP;TP;0.95;922;224;1146;10000
184;daikon.inv.unary.string.FixedLengthString;TP;TP;0.9;769;217;986;10000
185;daikon.inv.unary.string.IsUrl;TP;TP;0.95;879;235;1114;10000
186;daikon.inv.unary.string.FixedLengthString;TP;TP;0.9;773;221;994;10000
187;daikon.inv.unary.string.IsUrl;TP;TP;0.9;918;238;1156;10000
188;daikon.inv.unary.string.IsUrl;TP;TP;0.95;876;257;1133;10000
189;daikon.inv.unary.string.FixedLengthString;FP;TP;0.9;809;220;1029;100
190;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;788;223;1011;1000
191;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;811;254;1065;1000
192;daikon.inv.unary.string.IsUrl;TP;TP;0.9;827;266;1093;10000
193;daikon.inv.unary.string.IsUrl;TP;TP;0.95;844;240;1084;10000
194;daikon.inv.unary.string.IsUrl;TP;TP;0.9;904;170;1074;10000
195;daikon.inv.unary.string.FixedLengthString;TP;TP;0.9;756;238;994;10000
196;daikon.inv.unary.string.IsUrl;TP;TP;0.95;875;185;1060;10000
197;daikon.inv.unary.string.IsUrl;TP;TP;0.95;857;308;1165;10000
198;daikon.inv.unary.string.IsUrl;TP;TP;0.9;864;262;1126;10000
199;daikon.inv.unary.string.IsUrl;TP;TP;0.9;853;227;1080;10000
200;daikon.inv.binary.twoString.StdString$SubString;FP;FP;0.9;890;250;1140;1000
201;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1005;306;1311;10000
202;daikon.inv.binary.twoString.StdString$SubString;TP;TP;1.0;988;266;1254;10000
203;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;994;298;1292;10000
204;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;983;287;1270;10000
205;daikon.inv.binary.twoSequence.SuperSet;FP;TP;0.9;877;309;1186;50
206;daikon.inv.binary.twoSequence.SuperSet;FP;FP;0.9;875;207;1082;50
207;daikon.inv.binary.twoSequence.SuperSet;FP;FP;0.9;877;241;1118;50
208;daikon.inv.unary.string.FixedLengthString;TP;FP;0.8;683;260;943;10000
209;daikon.inv.unary.string.FixedLengthString;TP;TP;0.9;691;187;878;10000
210;daikon.inv.unary.string.FixedLengthString;TP;FP;0.8;724;229;953;10000
211;daikon.inv.unary.string.FixedLengthString;TP;FP;0.9;739;174;913;10000
212;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.9;726;184;910;10000
213;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;820;198;1018;10000
214;daikon.inv.binary.twoScalar.IntGreaterThan;TP;FP;0.9;797;223;1020;10000
215;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;760;296;1056;10000
216;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;808;172;980;10000
217;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;1047;234;1281;10000
218;daikon.inv.unary.scalar.LowerBound;FP;TP;0.9;789;265;1054;10000
219;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.9;803;250;1053;1000
220;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.9;760;272;1032;10000
221;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;864;229;1093;10000
222;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.9;1071;221;1292;10000
223;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;872;231;1103;10000
224;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;794;320;1114;100
225;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;779;233;1012;100
226;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;807;235;1042;100
227;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;798;214;1012;100
228;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.95;866;317;1183;10000
229;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;881;284;1165;1000
230;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.9;804;228;1032;100
231;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;877;211;1088;1000
232;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;1041;289;1330;10000
233;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;1062;209;1271;1000
234;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.95;1011;283;1294;10000
235;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;805;223;1028;100
236;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.95;989;250;1239;1000
237;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.9;837;264;1101;1000
238;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;852;226;1078;100
239;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.9;864;254;1118;1000
240;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;826;305;1131;100
241;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;834;203;1037;100
242;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;846;243;1089;1000
243;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;832;219;1051;100
244;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;844;271;1115;1000
245;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;0.9;826;218;1044;100
246;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;828;218;1046;100
247;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;819;213;1032;100
248;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;849;235;1084;100
249;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;0.9;851;239;1090;100
250;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;833;253;1086;1000
251;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;834;245;1079;100
252;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;1107;298;1405;1000
253;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;833;201;1034;1000
254;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;862;269;1131;500
255;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;861;242;1103;1000
256;daikon.inv.unary.string.FixedLengthString;FP;TP;0.9;865;239;1104;500
257;daikon.inv.unary.string.IsUrl;TP;TP;0.9;861;269;1130;10000
258;daikon.inv.unary.string.FixedLengthString;TP;TP;0.9;796;193;989;10000
259;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;1090;191;1281;10000
260;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.9;770;262;1032;10000
261;daikon.inv.unary.scalar.LowerBound;FP;TP;1.0;793;274;1067;500
262;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;870;274;1144;10000
263;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;878;247;1125;10000
264;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;857;233;1090;10000
265;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.95;1065;268;1333;500
266;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;914;268;1182;1000
267;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;1006;256;1262;10000
268;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;938;250;1188;1000
269;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.9;878;252;1130;10000
270;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.9;886;214;1100;1000
271;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.9;940;259;1199;1000
272;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;1070;266;1336;500
273;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.95;1068;205;1273;10000
274;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;934;205;1139;1000
275;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;989;278;1267;500
276;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;858;246;1104;10000
277;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;860;270;1130;10000
278;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;862;338;1200;10000
279;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;1113;225;1338;10000
280;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;846;254;1100;1000
281;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;844;248;1092;1000
282;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;TP;0.9;856;235;1091;10000
283;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;TP;0.9;856;261;1117;10000
284;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;846;294;1140;1000
285;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.4;848;275;1123;1000
286;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;848;245;1093;1000
287;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.7;841;240;1081;1000
