ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.unary.string.OneOfString;FP;FP;0.7;781;505;1286;1000
1;daikon.inv.unary.string.OneOfString;TP;TP;0.95;812;423;1235;10000
2;daikon.inv.unary.scalar.LowerBoundFloat;TP;TP;0.95;800;415;1215;10000
3;daikon.inv.unary.string.OneOfString;FP;FP;0.7;845;476;1321;500
4;daikon.inv.unary.string.OneOfString;FP;TP;0.8;795;545;1340;10000
5;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;835;417;1252;10000
6;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;1083;440;1523;10000
7;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.9;858;435;1293;50
8;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.8;1038;450;1488;50
9;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.9;870;473;1343;100
10;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.9;817;477;1294;100
11;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.8;826;488;1314;10000
12;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.8;799;496;1295;50
13;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.7;1010;447;1457;10000
14;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;783;409;1192;10000
15;daikon.inv.unary.scalar.LowerBoundFloat;FP;TP;0.95;773;369;1142;500
16;daikon.inv.unary.string.OneOfString;FP;FP;0.9;812;435;1247;50
17;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;766;406;1172;10000
18;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;776;444;1220;10000
19;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;739;430;1169;10000
20;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;749;419;1168;10000
21;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;683;429;1112;10000
22;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;749;398;1147;10000
23;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;759;439;1198;10000
24;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;747;405;1152;10000
25;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;757;423;1180;10000
26;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;755;366;1121;10000
27;daikon.inv.unary.sequence.OneOfSequence;FP;FP;0.8;779;486;1265;100
28;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;739;411;1150;10000
29;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;749;428;1177;10000
30;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;741;383;1124;10000
31;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;751;358;1109;10000
32;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;683;506;1189;10000
33;daikon.inv.unary.string.OneOfString;FP;FP;0.7;768;402;1170;1000
34;daikon.inv.unary.scalar.NonZero;TP;TP;0.85;734;400;1134;10000
35;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;744;368;1112;10000
36;daikon.inv.unary.scalar.NonZero;TP;TP;0.85;684;424;1108;10000
37;daikon.inv.unary.scalar.LowerBound;TP;TP;0.99;794;449;1243;10000
38;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;763;404;1167;10000
39;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;773;442;1215;10000
40;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;683;415;1098;10000
41;daikon.inv.unary.scalar.LowerBound;FP;TP;0.9;788;453;1241;10000
42;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;762;403;1165;10000
43;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;772;418;1190;10000
44;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;684;482;1166;10000
45;daikon.inv.unary.scalar.LowerBound;FP;FP;0.7;792;436;1228;500
46;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;764;363;1127;10000
47;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;774;385;1159;10000
48;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;683;431;1114;10000
49;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;745;422;1167;10000
50;daikon.inv.unary.sequence.OneOfSequence;FP;FP;0.7;769;456;1225;50
51;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.7;1049;466;1515;500
52;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.7;1050;462;1512;100
53;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.95;1209;420;1629;10000
54;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.95;906;428;1334;10000
55;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;857;515;1372;10000
