ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.unary.string.OneOfString;FP;FP;0.85;781;438;1219;1000
1;daikon.inv.unary.string.OneOfString;TP;TP;0.95;812;350;1162;10000
2;daikon.inv.unary.scalar.LowerBoundFloat;TP;TP;0.95;802;383;1185;10000
3;daikon.inv.unary.string.OneOfString;FP;TP;0.85;845;381;1226;500
4;daikon.inv.unary.string.OneOfString;FP;FP;0.85;795;464;1259;10000
5;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;835;337;1172;10000
6;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;1078;344;1422;10000
7;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.9;858;419;1277;50
8;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.85;1040;426;1466;50
9;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.95;870;427;1297;100
10;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.85;817;459;1276;100
11;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.9;826;412;1238;10000
12;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.85;799;412;1211;50
13;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.95;1010;418;1428;10000
14;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;783;339;1122;10000
15;daikon.inv.unary.scalar.LowerBoundFloat;FP;TP;0.95;773;339;1112;500
16;daikon.inv.unary.string.OneOfString;FP;FP;0.9;812;373;1185;50
17;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;766;359;1125;10000
18;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;776;356;1132;10000
19;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;739;373;1112;10000
20;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;749;333;1082;10000
21;daikon.inv.unary.scalar.NonZero;TP;FP;0.8;683;363;1046;10000
22;daikon.inv.unary.scalar.NonZero;TP;FP;0.85;749;407;1156;10000
23;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;759;312;1071;10000
24;daikon.inv.unary.scalar.NonZero;TP;FP;0.85;747;466;1213;10000
25;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.9;757;410;1167;10000
