ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;918;246;1164;10000
1;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;751;246;997;10000
2;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;770;216;986;10000
3;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;714;227;941;10000
4;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;698;191;889;10000
5;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;731;209;940;10000
6;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;724;232;956;10000
7;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;740;232;972;10000
8;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;765;261;1026;10000
9;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;633;204;837;10000
10;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;633;204;837;10000
11;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;701;193;894;10000
12;daikon.inv.unary.sequence.OneOfSequence;TP;TP;0.9;726;263;989;10000
13;daikon.inv.unary.scalar.NonZero;TP;TP;1.0;621;163;784;10000
14;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;634;230;864;10000
15;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.9;658;209;867;10000
16;daikon.inv.unary.string.OneOfString;TP;TP;0.9;692;238;930;10000
17;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;621;183;804;10000
18;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;726;218;944;10000
19;daikon.inv.unary.sequence.OneOfSequence;TP;FP;0.9;751;212;963;10000
20;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.95;714;174;888;10000
21;daikon.inv.unary.string.OneOfString;TP;TP;0.9;691;227;918;10000
22;daikon.inv.unary.string.FixedLengthString;TP;FP;0.95;824;274;1098;10000
23;daikon.inv.unary.string.IsUrl;TP;TP;0.95;819;203;1022;10000
24;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;812;271;1083;10000
25;daikon.inv.unary.string.IsUrl;TP;TP;1.0;807;185;992;10000
26;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;759;236;995;10000
27;daikon.inv.unary.string.IsUrl;TP;TP;0.9;826;190;1016;10000
28;daikon.inv.unary.string.IsUrl;TP;TP;1.0;819;196;1015;10000
29;daikon.inv.unary.string.FixedLengthString;TP;TP;0.9;667;228;895;10000
30;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;924;198;1122;10000
31;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;832;254;1086;10000
32;daikon.inv.unary.string.IsUrl;TP;TP;0.9;827;255;1082;10000
33;daikon.inv.unary.string.FixedLengthString;TP;TP;0.9;666;195;861;10000
34;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;786;187;973;10000
35;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;980;205;1185;10000
36;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;973;277;1250;10000
37;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;940;221;1161;10000
38;daikon.inv.binary.twoString.StdString$SubString;TP;TP;1.0;933;214;1147;10000
39;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;873;239;1112;10000
40;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;932;252;1184;10000
41;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;988;304;1292;10000
42;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;868;235;1103;10000
43;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;893;232;1125;10000
44;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;880;242;1122;10000
45;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;873;205;1078;10000
46;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;839;280;1119;10000
47;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;828;239;1067;10000
