ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;903;408;1311;10000
1;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;745;449;1194;10000
2;daikon.inv.binary.twoString.StringEqual;TP;FP;0.8;768;425;1193;10000
3;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;710;442;1152;10000
4;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;694;391;1085;10000
5;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;729;505;1234;10000
6;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.95;722;471;1193;10000
7;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.7;736;413;1149;10000
8;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.8;762;453;1215;10000
9;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;629;388;1017;10000
10;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;629;396;1025;10000
11;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;697;438;1135;10000
12;daikon.inv.unary.sequence.OneOfSequence;TP;TP;0.95;722;424;1146;10000
13;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;617;379;996;10000
14;daikon.inv.unary.scalar.NonZero;TP;TP;0.8;630;577;1207;10000
15;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.6;654;483;1137;10000
16;daikon.inv.unary.string.OneOfString;TP;TP;0.95;689;426;1115;10000
17;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;618;411;1029;10000
18;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;723;401;1124;10000
19;daikon.inv.unary.sequence.OneOfSequence;TP;TP;0.9;748;492;1240;10000
20;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.9;712;467;1179;10000
21;daikon.inv.unary.string.OneOfString;TP;TP;0.95;688;392;1080;10000
22;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;814;386;1200;10000
23;daikon.inv.unary.string.IsUrl;TP;TP;0.95;809;318;1127;10000
24;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;805;543;1348;10000
25;daikon.inv.unary.string.IsUrl;TP;TP;0.95;800;417;1217;10000
26;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;752;416;1168;10000
27;daikon.inv.unary.string.IsUrl;TP;TP;0.95;817;336;1153;10000
28;daikon.inv.unary.string.IsUrl;TP;TP;0.95;810;349;1159;10000
29;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;663;394;1057;10000
30;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;895;405;1300;10000
31;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;828;379;1207;10000
32;daikon.inv.unary.string.IsUrl;TP;TP;0.9;823;460;1283;10000
33;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;662;421;1083;10000
34;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;776;421;1197;10000
35;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;965;394;1359;10000
36;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;958;463;1421;10000
37;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;925;428;1353;10000
38;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;921;340;1261;10000
39;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;866;390;1256;10000
40;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;924;385;1309;10000
41;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;982;398;1380;10000
42;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;861;392;1253;10000
43;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;881;393;1274;10000
44;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;871;385;1256;10000
45;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;864;407;1271;10000
46;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;830;397;1227;10000
47;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;821;373;1194;10000
