ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.binary.twoString.StringEqual;TP;FP;0.75;903;427;1330;10000
1;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;745;342;1087;10000
2;daikon.inv.binary.twoString.StringEqual;TP;FP;0.95;738;336;1074;10000
3;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.85;710;409;1119;10000
4;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;694;347;1041;10000
5;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.85;729;405;1134;10000
6;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;722;402;1124;10000
7;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;736;403;1139;10000
8;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.85;762;441;1203;10000
9;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;629;305;934;10000
10;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;629;309;938;10000
11;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;697;333;1030;10000
12;daikon.inv.unary.sequence.OneOfSequence;TP;FP;0.95;722;421;1143;10000
13;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;617;253;870;10000
14;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;630;284;914;10000
15;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.7;654;393;1047;10000
16;daikon.inv.unary.string.OneOfString;TP;FP;0.95;689;363;1052;10000
17;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;618;224;842;10000
18;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;723;330;1053;10000
19;daikon.inv.unary.sequence.OneOfSequence;TP;FP;0.85;748;460;1208;10000
20;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.95;712;321;1033;10000
21;daikon.inv.unary.string.OneOfString;TP;TP;0.95;688;283;971;10000
22;daikon.inv.unary.string.FixedLengthString;TP;FP;0.95;815;491;1306;10000
23;daikon.inv.unary.string.IsUrl;TP;TP;0.95;810;341;1151;10000
24;daikon.inv.unary.string.FixedLengthString;TP;FP;0.95;809;479;1288;10000
25;daikon.inv.unary.string.IsUrl;TP;TP;0.95;804;329;1133;10000
26;daikon.inv.unary.string.FixedLengthString;TP;TP;0.85;758;378;1136;10000
27;daikon.inv.unary.string.IsUrl;TP;TP;0.95;817;386;1203;10000
28;daikon.inv.unary.string.IsUrl;TP;TP;0.95;810;360;1170;10000
29;daikon.inv.unary.string.FixedLengthString;TP;FP;0.9;663;387;1050;10000
30;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;893;338;1231;10000
31;daikon.inv.unary.string.FixedLengthString;TP;FP;0.95;828;365;1193;10000
32;daikon.inv.unary.string.IsUrl;TP;TP;0.95;823;296;1119;10000
33;daikon.inv.unary.string.FixedLengthString;TP;FP;0.85;662;370;1032;10000
34;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;775;410;1185;10000
35;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;965;341;1306;10000
36;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;958;408;1366;10000
37;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;925;343;1268;10000
38;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;935;352;1287;10000
39;daikon.inv.binary.twoString.StdString$SubString;TP;FP;0.95;865;443;1308;10000
40;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;928;370;1298;10000
41;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;974;384;1358;10000
42;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;855;524;1379;10000
43;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;879;323;1202;10000
44;daikon.inv.binary.twoString.StdString$SubString;TP;FP;0.85;871;494;1365;10000
45;daikon.inv.binary.twoString.StdString$SubString;TP;FP;0.7;864;475;1339;10000
46;daikon.inv.binary.twoString.StdString$SubString;TP;FP;0.85;830;406;1236;10000
47;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;824;474;1298;10000
