ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;702;209;911;10000
1;daikon.inv.unary.string.OneOfString;TP;TP;0.9;762;264;1026;10000
2;daikon.inv.binary.twoString.StringEqual;TP;TP;0.9;775;247;1022;10000
3;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;774;245;1019;10000
4;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.9;784;196;980;10000
5;daikon.inv.unary.scalar.LowerBound;TP;TP;0.9;734;227;961;10000
6;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;663;227;890;10000
7;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.95;718;261;979;10000
8;daikon.inv.unary.string.OneOfString;TP;TP;0.95;780;247;1027;10000
9;daikon.inv.unary.string.OneOfString;FP;TP;0.9;726;224;950;100
10;daikon.inv.unary.scalar.LowerBound;TP;TP;0.9;741;218;959;10000
11;daikon.inv.unary.string.OneOfString;TP;TP;0.9;722;226;948;10000
12;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;792;238;1030;10000
13;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;793;251;1044;100
14;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;0.95;791;252;1043;10000
15;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;826;222;1048;50
16;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;0.9;748;254;1002;100
17;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;0.95;780;198;978;10000
18;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;818;193;1011;100
19;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;0.95;737;262;999;100
20;daikon.inv.binary.sequenceString.MemberString;FP;TP;0.9;741;250;991;10000
21;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.9;738;259;997;10000
22;daikon.inv.binary.sequenceString.MemberString;FP;TP;0.9;782;264;1046;10000
23;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.9;783;283;1066;10000
24;daikon.inv.binary.sequenceString.MemberString;FP;FP;1.0;782;293;1075;10000
25;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;0.95;795;210;1005;10000
26;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;0.9;743;257;1000;100
27;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;801;239;1040;10000
28;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;812;189;1001;10000
29;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;831;267;1098;10000
30;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;0.9;750;236;986;100
31;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.9;846;269;1115;100
32;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;751;310;1061;10000
33;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;738;211;949;10000
34;daikon.inv.unary.scalar.NonZero;TP;FP;0.9;998;256;1254;10000
35;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.9;1008;206;1214;10000
36;daikon.inv.unary.scalar.LowerBound;TP;TP;0.9;688;245;933;10000
37;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;681;255;936;10000
38;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;748;214;962;100
39;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;741;259;1000;50
40;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.95;1054;277;1331;10000
41;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;730;241;971;100
42;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;1042;216;1258;50
43;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.9;1047;285;1332;10000
44;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;732;201;933;100
45;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.9;1038;263;1301;10000
46;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;844;204;1048;10000
47;daikon.inv.unary.string.IsUrl;TP;TP;0.9;839;232;1071;10000
48;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;842;173;1015;10000
49;daikon.inv.unary.string.FixedLengthString;TP;TP;0.9;737;214;951;10000
50;daikon.inv.unary.string.FixedLengthString;TP;TP;0.9;862;255;1117;10000
51;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;1039;262;1301;10000
52;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;964;285;1249;10000
53;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;1000;203;1203;10000
54;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;930;249;1179;10000
55;daikon.inv.unary.stringsequence.SequenceFixedLengthString;TP;TP;0.9;745;239;984;10000
56;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;833;238;1071;10000
57;daikon.inv.unary.string.IsUrl;TP;TP;0.95;828;202;1030;10000
58;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;791;224;1015;10000
59;daikon.inv.unary.string.FixedLengthString;TP;FP;1.0;850;220;1070;10000
60;daikon.inv.unary.string.IsUrl;TP;TP;0.9;845;191;1036;10000
61;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;859;258;1117;10000
62;daikon.inv.unary.string.FixedLengthString;TP;FP;0.9;755;216;971;10000
63;daikon.inv.unary.string.FixedLengthString;TP;TP;0.9;882;229;1111;10000
64;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;994;287;1281;10000
65;daikon.inv.unary.string.IsUrl;TP;TP;0.9;989;229;1218;10000
66;daikon.inv.unary.string.FixedLengthString;FP;FP;0.9;701;258;959;100
67;daikon.inv.unary.string.FixedLengthString;TP;TP;0.9;697;219;916;10000
68;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;816;194;1010;10000
69;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;975;309;1284;10000
70;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;981;243;1224;10000
71;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;902;180;1082;10000
72;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;940;223;1163;10000
73;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;1071;245;1316;10000
74;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;993;244;1237;10000
75;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;919;205;1124;10000
76;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1040;227;1267;10000
77;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;957;309;1266;10000
78;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;940;260;1200;10000
79;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;938;253;1191;10000
80;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;866;209;1075;10000
81;daikon.inv.unary.string.IsUrl;TP;TP;0.9;847;165;1012;10000
82;daikon.inv.unary.string.IsUrl;TP;TP;0.9;855;240;1095;10000
83;daikon.inv.unary.string.IsUrl;TP;TP;0.95;876;198;1074;10000
84;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1010;243;1253;10000
85;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;1008;274;1282;10000
86;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1019;258;1277;10000
87;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;950;224;1174;10000
88;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;942;219;1161;10000
89;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;942;292;1234;10000
90;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;827;226;1053;100
91;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;829;288;1117;100
92;daikon.inv.unary.string.OneOfString;FP;TP;0.9;745;219;964;10000
93;daikon.inv.unary.scalar.NonZero;FP;TP;0.9;737;250;987;10000
94;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;796;230;1026;1000
95;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;833;289;1122;10000
96;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;835;292;1127;10000
97;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;822;273;1095;10000
98;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;762;239;1001;1000
99;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;768;248;1016;10000
100;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;845;266;1111;10000
