ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;695;472;1167;10000
1;daikon.inv.unary.string.OneOfString;TP;TP;0.99;756;390;1146;10000
2;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;768;421;1189;10000
3;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;767;429;1196;10000
4;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;777;381;1158;10000
5;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;733;420;1153;10000
6;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;656;393;1049;10000
7;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.9;711;418;1129;10000
8;daikon.inv.unary.string.OneOfString;TP;TP;0.95;774;440;1214;10000
9;daikon.inv.unary.string.OneOfString;FP;FP;0.7;720;501;1221;100
10;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;734;380;1114;10000
11;daikon.inv.unary.string.OneOfString;TP;TP;0.95;716;375;1091;10000
12;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;785;490;1275;10000
13;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.7;794;595;1389;100
14;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.95;785;455;1240;10000
15;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;821;541;1362;50
16;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.7;742;597;1339;100
17;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.8;773;456;1229;10000
18;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.8;811;421;1232;100
19;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.95;730;482;1212;100
20;daikon.inv.binary.sequenceString.MemberString;FP;TP;0.95;733;418;1151;10000
21;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.9;730;452;1182;10000
22;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.9;774;409;1183;10000
23;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;775;453;1228;10000
24;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.9;774;459;1233;10000
25;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;0.95;794;493;1287;10000
26;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;0.95;737;411;1148;100
27;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;795;477;1272;10000
28;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;806;450;1256;10000
29;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.9;825;535;1360;10000
30;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.7;743;461;1204;100
31;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;0.95;839;444;1283;100
32;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;745;457;1202;10000
33;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;731;410;1141;10000
34;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;991;386;1377;10000
35;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;1001;449;1450;10000
36;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;681;424;1105;10000
37;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;674;394;1068;10000
38;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;742;488;1230;100
39;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;735;520;1255;50
40;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.95;1048;405;1453;10000
41;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;723;492;1215;100
42;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.7;1035;568;1603;50
43;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.95;1040;427;1467;10000
44;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;725;422;1147;100
45;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.95;1031;407;1438;10000
46;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;832;375;1207;10000
47;daikon.inv.unary.string.IsUrl;TP;TP;0.95;827;380;1207;10000
48;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;831;399;1230;10000
49;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;730;382;1112;10000
50;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;850;502;1352;10000
51;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1026;458;1484;10000
52;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;952;423;1375;10000
