ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;695;379;1074;10000
1;daikon.inv.unary.string.OneOfString;TP;TP;0.95;756;305;1061;10000
2;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;768;399;1167;10000
3;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;767;329;1096;10000
4;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;777;306;1083;10000
5;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;733;347;1080;10000
6;daikon.inv.unary.scalar.NonZero;TP;FP;0.8;656;354;1010;10000
7;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.85;711;383;1094;10000
8;daikon.inv.unary.string.OneOfString;TP;FP;0.85;774;434;1208;10000
9;daikon.inv.unary.string.OneOfString;FP;FP;0.85;720;321;1041;100
10;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;734;359;1093;10000
11;daikon.inv.unary.string.OneOfString;TP;TP;0.95;716;301;1017;10000
12;daikon.inv.unary.scalar.LowerBound;TP;FP;0.85;785;410;1195;10000
13;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;794;488;1282;100
14;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.85;785;469;1254;10000
15;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.8;821;510;1331;50
16;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.9;742;534;1276;100
17;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.85;773;440;1213;10000
18;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.9;811;417;1228;100
19;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.9;730;505;1235;100
20;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.85;733;409;1142;10000
21;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;730;375;1105;10000
22;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;774;393;1167;10000
23;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;775;433;1208;10000
24;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;774;416;1190;10000
25;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;0.95;794;459;1253;10000
26;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.9;737;508;1245;100
27;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;795;496;1291;10000
28;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;806;441;1247;10000
29;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;825;485;1310;10000
30;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.85;743;545;1288;100
31;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.85;839;452;1291;100
32;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;745;339;1084;10000
33;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;731;400;1131;10000
34;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;991;293;1284;10000
35;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;1001;389;1390;10000
36;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;681;303;984;10000
37;daikon.inv.unary.scalar.LowerBound;TP;FP;0.9;674;404;1078;10000
38;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.7;742;460;1202;100
39;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;735;486;1221;50
40;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.95;1048;288;1336;10000
41;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;723;476;1199;100
42;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;1035;504;1539;50
43;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.95;1040;366;1406;10000
44;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;725;446;1171;100
45;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.95;1031;367;1398;10000
46;daikon.inv.unary.string.FixedLengthString;TP;FP;0.95;834;520;1354;10000
47;daikon.inv.unary.string.IsUrl;TP;TP;0.95;829;372;1201;10000
48;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;841;389;1230;10000
49;daikon.inv.unary.string.FixedLengthString;TP;FP;0.7;730;386;1116;10000
50;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;858;359;1217;10000
51;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1024;454;1478;10000
52;daikon.inv.binary.twoString.StdString$SubString;TP;FP;0.9;952;424;1376;10000
53;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;993;401;1394;10000
54;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;920;529;1449;10000
55;daikon.inv.unary.stringsequence.SequenceFixedLengthString;TP;TP;0.95;738;316;1054;10000
56;daikon.inv.unary.string.FixedLengthString;TP;FP;0.95;824;545;1369;10000
57;daikon.inv.unary.string.IsUrl;TP;TP;0.95;819;372;1191;10000
58;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;789;341;1130;10000
59;daikon.inv.unary.string.FixedLengthString;TP;FP;0.95;845;365;1210;10000
60;daikon.inv.unary.string.IsUrl;TP;TP;0.95;840;323;1163;10000
61;daikon.inv.unary.string.FixedLengthString;TP;FP;0.85;851;360;1211;10000
62;daikon.inv.unary.string.FixedLengthString;TP;FP;0.85;748;406;1154;10000
63;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;871;424;1295;10000
64;daikon.inv.unary.string.FixedLengthString;TP;FP;0.85;994;432;1426;10000
65;daikon.inv.unary.string.IsUrl;TP;TP;0.95;989;311;1300;10000
66;daikon.inv.unary.string.FixedLengthString;FP;FP;0.9;694;355;1049;100
67;daikon.inv.unary.string.FixedLengthString;TP;FP;0.85;690;369;1059;10000
68;daikon.inv.unary.string.FixedLengthString;TP;FP;0.95;813;356;1169;10000
69;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;970;328;1298;10000
70;daikon.inv.binary.twoString.StdString$SubString;TP;FP;0.95;966;463;1429;10000
71;daikon.inv.binary.twoString.StdString$SubString;TP;FP;0.9;894;580;1474;10000
72;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;929;348;1277;10000
73;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1052;401;1453;10000
74;daikon.inv.binary.twoString.StdString$SubString;TP;FP;0.95;979;489;1468;10000
75;daikon.inv.binary.twoString.StdString$SubString;TP;FP;0.9;909;499;1408;10000
76;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1019;345;1364;10000
77;daikon.inv.binary.twoString.StdString$SubString;TP;FP;0.95;955;412;1367;10000
78;daikon.inv.binary.twoString.StdString$SubString;TP;FP;0.95;925;435;1360;10000
79;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;927;385;1312;10000
80;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;857;415;1272;10000
81;daikon.inv.unary.string.IsUrl;TP;TP;0.95;870;367;1237;10000
82;daikon.inv.unary.string.IsUrl;TP;FP;0.9;852;338;1190;10000
83;daikon.inv.unary.string.IsUrl;TP;FP;0.95;862;325;1187;10000
84;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;987;422;1409;10000
85;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;991;369;1360;10000
86;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;988;357;1345;10000
87;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;929;401;1330;10000
88;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;928;356;1284;10000
89;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;927;422;1349;10000
90;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;821;540;1361;100
91;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.85;823;505;1328;100
92;daikon.inv.unary.string.OneOfString;FP;TP;0.95;739;339;1078;10000
93;daikon.inv.unary.scalar.NonZero;FP;FP;0.85;730;388;1118;10000
94;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.95;796;545;1341;1000
95;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;827;490;1317;10000
96;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;829;542;1371;10000
97;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;815;482;1297;10000
98;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;755;494;1249;1000
99;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;763;474;1237;10000
100;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;838;393;1231;10000
101;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;842;428;1270;10000
102;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;683;311;994;10000
