ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;676;186;862;10000
1;daikon.inv.unary.string.OneOfString;TP;TP;0.9;736;251;987;10000
2;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;789;211;1000;10000
3;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.9;780;223;1003;10000
4;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;0.95;819;228;1047;10000
5;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;0.95;808;235;1043;10000
6;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.9;877;245;1122;10000
7;daikon.inv.unary.string.OneOfString;TP;TP;0.9;764;200;964;10000
8;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;663;220;883;10000
9;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;731;176;907;10000
10;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;741;210;951;10000
11;daikon.inv.unary.string.OneOfString;TP;TP;0.9;722;267;989;10000
12;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;748;247;995;10000
13;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.9;758;220;978;10000
14;daikon.inv.unary.string.OneOfString;FP;TP;0.9;731;239;970;50
15;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;714;270;984;10000
16;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.95;778;251;1029;500
17;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;767;218;985;10000
18;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;951;283;1234;100
19;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;787;233;1020;100
20;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.9;800;215;1015;100
21;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;968;295;1263;100
22;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;932;211;1143;1000
23;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;792;266;1058;100
24;daikon.inv.binary.sequenceString.MemberString;TP;TP;0.95;849;253;1102;10000
25;daikon.inv.binary.sequenceString.MemberString;FP;TP;0.9;759;239;998;10000
26;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;907;217;1124;100
27;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;1005;281;1286;50
28;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.95;996;264;1260;100
29;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;995;240;1235;500
30;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;1000;284;1284;100
31;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;845;225;1070;1000
32;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;821;266;1087;100
33;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;839;272;1111;500
34;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;823;227;1050;1000
35;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;838;234;1072;100
36;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;751;232;983;10000
37;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;738;207;945;10000
38;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;839;212;1051;10000
39;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.9;849;242;1091;10000
40;daikon.inv.unary.scalar.LowerBound;TP;TP;0.9;688;230;918;10000
41;daikon.inv.unary.scalar.LowerBound;TP;TP;0.9;684;209;893;10000
42;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.9;747;256;1003;50
43;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;741;265;1006;500
44;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.95;895;289;1184;10000
45;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;739;199;938;50
46;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;730;311;1041;100
47;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;883;321;1204;100
48;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;741;230;971;50
49;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;735;184;919;100
50;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.8;790;257;1047;100
51;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.9;888;281;1169;10000
52;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.9;879;264;1143;10000
53;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;845;187;1032;10000
54;daikon.inv.unary.string.IsUrl;TP;TP;0.95;840;181;1021;10000
55;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;821;224;1045;10000
56;daikon.inv.unary.string.FixedLengthString;TP;TP;0.9;711;214;925;10000
57;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;840;203;1043;10000
58;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1014;261;1275;10000
59;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;930;249;1179;10000
60;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;967;278;1245;10000
61;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;905;206;1111;10000
62;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;895;238;1133;10000
63;daikon.inv.unary.string.IsUrl;TP;TP;0.95;890;265;1155;10000
64;daikon.inv.unary.stringsequence.SequenceFixedLengthString;TP;TP;0.9;930;208;1138;10000
65;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;833;202;1035;10000
66;daikon.inv.unary.string.IsUrl;TP;TP;0.9;828;212;1040;10000
67;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;805;225;1030;10000
68;daikon.inv.unary.string.FixedLengthString;TP;FP;1.0;697;175;872;10000
69;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;818;239;1057;10000
70;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;977;212;1189;10000
71;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.9;900;244;1144;10000
72;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;942;233;1175;10000
73;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;875;216;1091;10000
74;daikon.inv.unary.string.IsUrl;TP;TP;0.9;925;180;1105;10000
75;daikon.inv.unary.string.IsUrl;TP;TP;1.0;940;225;1165;10000
76;daikon.inv.unary.string.IsUrl;TP;TP;0.9;911;192;1103;10000
77;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1060;201;1261;10000
78;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1073;277;1350;10000
79;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1050;274;1324;10000
80;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1000;244;1244;10000
81;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1007;254;1261;10000
82;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;995;268;1263;10000
83;daikon.inv.unary.string.OneOfString;TP;TP;0.9;744;222;966;10000
84;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.9;838;257;1095;10000
85;daikon.inv.unary.scalar.LowerBound;TP;TP;0.9;915;252;1167;10000
86;daikon.inv.unary.scalar.LowerBound;TP;TP;0.9;690;205;895;10000
